,src1,src2,src3,src4,src5,src6,src7,src8,profile,ch,mass,quantile,sigma_v
0,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,100,0.05,7.598847437885652e-25
1,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,100,0.32,1.054086732397907e-24
2,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,100,0.5,1.207712992785256e-24
3,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,100,0.68,1.335191444806695e-24
4,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,100,0.95,2.021527471085757e-24
5,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,200,0.05,1.3154054050602816e-25
6,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,200,0.32,1.7899993343835685e-25
7,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,200,0.5,1.979403184412041e-25
8,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,200,0.68,2.198662653626656e-25
9,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,200,0.95,3.0553800146842518e-25
10,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,500,0.05,8.355721720991844e-26
11,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,500,0.32,1.0871427062392592e-25
12,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,500,0.5,1.237566471218811e-25
13,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,500,0.68,1.368470480229991e-25
14,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,500,0.95,1.91206468105004e-25
15,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,1000,0.05,8.944813343169619e-26
16,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,1000,0.32,1.161106673464601e-25
17,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,1000,0.5,1.3083606828061434e-25
18,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,1000,0.68,1.437776011272136e-25
19,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,1000,0.95,1.957233805074932e-25
20,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,5000,0.05,1.3291261191761789e-25
21,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,5000,0.32,1.8514171185392123e-25
22,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,5000,0.5,2.1313426245048127e-25
23,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,5000,0.68,2.4297548462444536e-25
24,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,5000,0.95,3.5476044371204408e-25
25,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,10000,0.05,1.7755061985361666e-25
26,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,10000,0.32,2.5997656653658724e-25
27,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,10000,0.5,3.0025735529766857e-25
28,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,10000,0.68,3.389573421577832e-25
29,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,10000,0.95,4.776442701465612e-25
30,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,50000,0.05,6.511460921496235e-25
31,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,W,50000,0.32,9.429213688441394e-25
