,name,profile,ch,mass,quantile,tau
1215,SgrII,Einasto,b,70,0.05,1.812052504036116e+23
1216,SgrII,Einasto,b,70,0.32,2.1270217711221e+23
1217,SgrII,Einasto,b,70,0.5,2.3032509122244e+23
1218,SgrII,Einasto,b,70,0.68,2.6985308629940397e+23
1219,SgrII,Einasto,b,70,0.95,4.016561380685995e+23
1220,SgrII,Einasto,b,100,0.05,6.585895446848134e+23
1221,SgrII,Einasto,b,100,0.32,8.332308073796331e+23
1222,SgrII,Einasto,b,100,0.5,9.262323175378874e+23
1223,SgrII,Einasto,b,100,0.68,1.065927009856459e+24
1224,SgrII,Einasto,b,100,0.95,1.5574890911417653e+24
1225,SgrII,Einasto,b,200,0.05,5.1537940460243e+24
1226,SgrII,Einasto,b,200,0.32,6.186869449054739e+24
1227,SgrII,Einasto,b,200,0.5,6.856550711614271e+24
1228,SgrII,Einasto,b,200,0.68,7.51014105948962e+24
1229,SgrII,Einasto,b,200,0.95,1.0670807467955217e+25
1230,SgrII,Einasto,b,500,0.05,2.7948116601216316e+25
1231,SgrII,Einasto,b,500,0.32,3.428394461770919e+25
1232,SgrII,Einasto,b,500,0.5,3.803177307623354e+25
1233,SgrII,Einasto,b,500,0.68,4.216745785850902e+25
1234,SgrII,Einasto,b,500,0.95,5.97495607966939e+25
1235,SgrII,Einasto,b,1000,0.05,5.740468954590366e+25
1236,SgrII,Einasto,b,1000,0.32,7.470244726159716e+25
1237,SgrII,Einasto,b,1000,0.5,8.42181459308307e+25
1238,SgrII,Einasto,b,1000,0.68,9.6522604930696e+25
1239,SgrII,Einasto,b,1000,0.95,1.3303510990314223e+26
1240,SgrII,Einasto,b,5000,0.05,1.6943800684251628e+26
1241,SgrII,Einasto,b,5000,0.32,2.0816035384479392e+26
1242,SgrII,Einasto,b,5000,0.5,2.3754841789086317e+26
1243,SgrII,Einasto,b,5000,0.68,2.7221961116330767e+26
1244,SgrII,Einasto,b,5000,0.95,4.146707482634715e+26
1245,SgrII,Einasto,b,10000,0.05,2.3196512777567523e+26
1246,SgrII,Einasto,b,10000,0.32,2.9271811728071316e+26
1247,SgrII,Einasto,b,10000,0.5,3.2622669117584975e+26
1248,SgrII,Einasto,b,10000,0.68,3.786803969894603e+26
1249,SgrII,Einasto,b,10000,0.95,5.418734312755295e+26
1250,SgrII,Einasto,b,50000,0.05,4.004971182763814e+26
1251,SgrII,Einasto,b,50000,0.32,5.0566562435467265e+26
1252,SgrII,Einasto,b,50000,0.5,5.758164834813632e+26
1253,SgrII,Einasto,b,50000,0.68,6.633153641889363e+26
1254,SgrII,Einasto,b,50000,0.95,9.533009812112785e+26
1255,SgrII,Einasto,b,100000,0.05,4.4422451445983344e+26
1256,SgrII,Einasto,b,100000,0.32,5.793483636258212e+26
1257,SgrII,Einasto,b,100000,0.5,6.494691088022921e+26
1258,SgrII,Einasto,b,100000,0.68,7.636582601868822e+26
1259,SgrII,Einasto,b,100000,0.95,1.057104671876181e+27
1260,SgrII,Einasto,mu,70,0.05,2.763566960301081e+24
1261,SgrII,Einasto,mu,70,0.32,3.409263205189754e+24
1262,SgrII,Einasto,mu,70,0.5,3.898682057840582e+24
1263,SgrII,Einasto,mu,70,0.68,4.603185306830408e+24
1264,SgrII,Einasto,mu,70,0.95,6.591827423592561e+24
1265,SgrII,Einasto,mu,100,0.05,6.557844339321138e+24
1266,SgrII,Einasto,mu,100,0.32,8.06370291110633e+24
1267,SgrII,Einasto,mu,100,0.5,8.797617530817768e+24
1268,SgrII,Einasto,mu,100,0.68,1.0049727504946816e+25
1269,SgrII,Einasto,mu,100,0.95,1.463790702094742e+25
1270,SgrII,Einasto,mu,200,0.05,1.4060112792193458e+25
1271,SgrII,Einasto,mu,200,0.32,1.7029728267303887e+25
1272,SgrII,Einasto,mu,200,0.5,1.927318334410239e+25
1273,SgrII,Einasto,mu,200,0.68,2.158942907273866e+25
1274,SgrII,Einasto,mu,200,0.95,2.9321246265656014e+25
1275,SgrII,Einasto,mu,500,0.05,2.529375110585619e+25
1276,SgrII,Einasto,mu,500,0.32,3.0779158091703163e+25
1277,SgrII,Einasto,mu,500,0.5,3.4749314160942062e+25
1278,SgrII,Einasto,mu,500,0.68,4.083558865194789e+25
1279,SgrII,Einasto,mu,500,0.95,6.136174765351533e+25
1280,SgrII,Einasto,mu,1000,0.05,3.798156010523287e+25
1281,SgrII,Einasto,mu,1000,0.32,4.838810759277759e+25
1282,SgrII,Einasto,mu,1000,0.5,5.50631038152605e+25
1283,SgrII,Einasto,mu,1000,0.68,6.440282621655956e+25
1284,SgrII,Einasto,mu,1000,0.95,9.554311144657146e+25
1285,SgrII,Einasto,mu,5000,0.05,8.419800014040443e+25
1286,SgrII,Einasto,mu,5000,0.32,1.0914614886419551e+26
1287,SgrII,Einasto,mu,5000,0.5,1.2587393539917771e+26
1288,SgrII,Einasto,mu,5000,0.68,1.4799205950197943e+26
1289,SgrII,Einasto,mu,5000,0.95,2.1149818285793673e+26
1290,SgrII,Einasto,mu,10000,0.05,9.965156551774309e+25
1291,SgrII,Einasto,mu,10000,0.32,1.235263313317893e+26
1292,SgrII,Einasto,mu,10000,0.5,1.4405868032729252e+26
1293,SgrII,Einasto,mu,10000,0.68,1.6913534943753813e+26
1294,SgrII,Einasto,mu,10000,0.95,2.4541867264969716e+26
1295,SgrII,Einasto,mu,50000,0.05,7.810445704050122e+25
1296,SgrII,Einasto,mu,50000,0.32,1.0409411072956985e+26
1297,SgrII,Einasto,mu,50000,0.5,1.149754033379361e+26
1298,SgrII,Einasto,mu,50000,0.68,1.3535395803207078e+26
1299,SgrII,Einasto,mu,50000,0.95,2.00911899601629e+26
1300,SgrII,Einasto,mu,100000,0.05,5.882927257264067e+25
1301,SgrII,Einasto,mu,100000,0.32,7.483641431084357e+25
1302,SgrII,Einasto,mu,100000,0.5,8.537385235935687e+25
1303,SgrII,Einasto,mu,100000,0.68,9.729616456141243e+25
1304,SgrII,Einasto,mu,100000,0.95,1.4778189326853608e+26
1305,SgrII,Einasto,tau,70,0.05,5.388049560691778e+24
1306,SgrII,Einasto,tau,70,0.32,6.555154303723991e+24
1307,SgrII,Einasto,tau,70,0.5,7.487364885070204e+24
1308,SgrII,Einasto,tau,70,0.68,8.896206427304772e+24
1309,SgrII,Einasto,tau,70,0.95,1.25129206126143e+25
1310,SgrII,Einasto,tau,100,0.05,1.720654282762963e+25
1311,SgrII,Einasto,tau,100,0.32,2.0986040354491202e+25
1312,SgrII,Einasto,tau,100,0.5,2.333334789499248e+25
1313,SgrII,Einasto,tau,100,0.68,2.659639277975472e+25
1314,SgrII,Einasto,tau,100,0.95,3.6876373682008e+25
1315,SgrII,Einasto,tau,200,0.05,5.783534414190189e+25
1316,SgrII,Einasto,tau,200,0.32,6.967305250641024e+25
1317,SgrII,Einasto,tau,200,0.5,7.873844753316875e+25
1318,SgrII,Einasto,tau,200,0.68,9.196122366483151e+25
1319,SgrII,Einasto,tau,200,0.95,1.3040026966425673e+26
1320,SgrII,Einasto,tau,500,0.05,1.1244862909333605e+26
1321,SgrII,Einasto,tau,500,0.32,1.4350724466310723e+26
1322,SgrII,Einasto,tau,500,0.5,1.6002836332066724e+26
1323,SgrII,Einasto,tau,500,0.68,1.832531382379175e+26
1324,SgrII,Einasto,tau,500,0.95,2.997104526905014e+26
1325,SgrII,Einasto,tau,1000,0.05,1.631648886083174e+26
1326,SgrII,Einasto,tau,1000,0.32,2.012847296225964e+26
1327,SgrII,Einasto,tau,1000,0.5,2.331166772387589e+26
1328,SgrII,Einasto,tau,1000,0.68,2.7664095638077766e+26
1329,SgrII,Einasto,tau,1000,0.95,4.281328916619861e+26
1330,SgrII,Einasto,tau,5000,0.05,3.5179422493294954e+26
1331,SgrII,Einasto,tau,5000,0.32,4.366577855643152e+26
1332,SgrII,Einasto,tau,5000,0.5,4.833571367462119e+26
1333,SgrII,Einasto,tau,5000,0.68,5.577923650727091e+26
1334,SgrII,Einasto,tau,5000,0.95,8.252607829173438e+26
1335,SgrII,Einasto,tau,10000,0.05,3.953600075210191e+26
1336,SgrII,Einasto,tau,10000,0.32,5.330499630165457e+26
1337,SgrII,Einasto,tau,10000,0.5,6.1040961298849054e+26
1338,SgrII,Einasto,tau,10000,0.68,6.96145425640965e+26
1339,SgrII,Einasto,tau,10000,0.95,9.66266951370192e+26
1340,SgrII,Einasto,tau,50000,0.05,3.982102886025861e+26
1341,SgrII,Einasto,tau,50000,0.32,5.021036078529663e+26
1342,SgrII,Einasto,tau,50000,0.5,5.7994816612584145e+26
