,name,profile,ch,mass,quantile,tau
1485,UMaII,Einasto,b,70,0.05,2.6733214308783914e+23
1486,UMaII,Einasto,b,70,0.32,3.1704448796227395e+23
1487,UMaII,Einasto,b,70,0.5,3.4227986418192955e+23
1488,UMaII,Einasto,b,70,0.68,3.7455156931249774e+23
1489,UMaII,Einasto,b,70,0.95,4.694586818098502e+23
1490,UMaII,Einasto,b,100,0.05,8.375515377655694e+23
1491,UMaII,Einasto,b,100,0.32,1.0434373947303893e+24
1492,UMaII,Einasto,b,100,0.5,1.1094381396329658e+24
1493,UMaII,Einasto,b,100,0.68,1.2170168502060968e+24
1494,UMaII,Einasto,b,100,0.95,1.506873177099854e+24
1495,UMaII,Einasto,b,200,0.05,4.669031832046384e+24
1496,UMaII,Einasto,b,200,0.32,5.675094615799849e+24
1497,UMaII,Einasto,b,200,0.5,6.089173923497419e+24
1498,UMaII,Einasto,b,200,0.68,6.457941422605785e+24
1499,UMaII,Einasto,b,200,0.95,7.764380127849324e+24
1500,UMaII,Einasto,b,500,0.05,2.0236224526579224e+25
1501,UMaII,Einasto,b,500,0.32,2.2958431106968816e+25
1502,UMaII,Einasto,b,500,0.5,2.4227164510485387e+25
1503,UMaII,Einasto,b,500,0.68,2.5973865593657366e+25
1504,UMaII,Einasto,b,500,0.95,3.10024786436366e+25
1505,UMaII,Einasto,b,1000,0.05,3.8514786484533154e+25
1506,UMaII,Einasto,b,1000,0.32,4.45614616856115e+25
1507,UMaII,Einasto,b,1000,0.5,4.884223899302384e+25
1508,UMaII,Einasto,b,1000,0.68,5.229615116471244e+25
1509,UMaII,Einasto,b,1000,0.95,6.235657952721163e+25
1510,UMaII,Einasto,b,5000,0.05,9.394275535415974e+25
1511,UMaII,Einasto,b,5000,0.32,1.1082073887447351e+26
1512,UMaII,Einasto,b,5000,0.5,1.1899165995596222e+26
1513,UMaII,Einasto,b,5000,0.68,1.307326177075563e+26
1514,UMaII,Einasto,b,5000,0.95,1.6736931330747045e+26
1515,UMaII,Einasto,b,10000,0.05,1.2182972209897801e+26
1516,UMaII,Einasto,b,10000,0.32,1.48293089401208e+26
1517,UMaII,Einasto,b,10000,0.5,1.662568630554335e+26
1518,UMaII,Einasto,b,10000,0.68,1.8326752036775973e+26
1519,UMaII,Einasto,b,10000,0.95,2.5442263736017395e+26
1520,UMaII,Einasto,b,50000,0.05,1.9523482334445573e+26
1521,UMaII,Einasto,b,50000,0.32,2.468214017544766e+26
1522,UMaII,Einasto,b,50000,0.5,2.8507063352492657e+26
1523,UMaII,Einasto,b,50000,0.68,3.2885745562987656e+26
1524,UMaII,Einasto,b,50000,0.95,4.394648067846744e+26
1525,UMaII,Einasto,b,100000,0.05,2.0541296228043402e+26
1526,UMaII,Einasto,b,100000,0.32,2.708721121896881e+26
1527,UMaII,Einasto,b,100000,0.5,3.1432203017740026e+26
1528,UMaII,Einasto,b,100000,0.68,3.5479711072352414e+26
1529,UMaII,Einasto,b,100000,0.95,4.75777643983451e+26
1530,UMaII,Einasto,mu,70,0.05,2.387313824526101e+24
1531,UMaII,Einasto,mu,70,0.32,2.7444981658333194e+24
1532,UMaII,Einasto,mu,70,0.5,3.0244127282568397e+24
1533,UMaII,Einasto,mu,70,0.68,3.3241673509828e+24
1534,UMaII,Einasto,mu,70,0.95,4.197652458501804e+24
1535,UMaII,Einasto,mu,100,0.05,3.569278982888129e+24
1536,UMaII,Einasto,mu,100,0.32,4.4104525835576935e+24
1537,UMaII,Einasto,mu,100,0.5,4.7544047413545106e+24
1538,UMaII,Einasto,mu,100,0.68,5.25435557117387e+24
1539,UMaII,Einasto,mu,100,0.95,6.32140883991285e+24
1540,UMaII,Einasto,mu,200,0.05,7.609377701920939e+24
1541,UMaII,Einasto,mu,200,0.32,9.134808892054476e+24
1542,UMaII,Einasto,mu,200,0.5,1.0137665957200765e+25
1543,UMaII,Einasto,mu,200,0.68,1.152646796704039e+25
1544,UMaII,Einasto,mu,200,0.95,1.5553697287311047e+25
1545,UMaII,Einasto,mu,500,0.05,1.3380277675914357e+25
1546,UMaII,Einasto,mu,500,0.32,1.685026411665803e+25
1547,UMaII,Einasto,mu,500,0.5,1.852822434688847e+25
1548,UMaII,Einasto,mu,500,0.68,2.081742638791462e+25
1549,UMaII,Einasto,mu,500,0.95,2.8195585676765815e+25
1550,UMaII,Einasto,mu,1000,0.05,2.060440803871876e+25
1551,UMaII,Einasto,mu,1000,0.32,2.570887274149167e+25
1552,UMaII,Einasto,mu,1000,0.5,2.876895710990954e+25
1553,UMaII,Einasto,mu,1000,0.68,3.2193952264157594e+25
1554,UMaII,Einasto,mu,1000,0.95,4.504299134374884e+25
1555,UMaII,Einasto,mu,5000,0.05,3.8571698002482767e+25
1556,UMaII,Einasto,mu,5000,0.32,4.959422923727601e+25
1557,UMaII,Einasto,mu,5000,0.5,5.673996551236991e+25
1558,UMaII,Einasto,mu,5000,0.68,6.669184265757736e+25
1559,UMaII,Einasto,mu,5000,0.95,1.0883171098171251e+26
1560,UMaII,Einasto,mu,10000,0.05,4.1357189207962725e+25
1561,UMaII,Einasto,mu,10000,0.32,5.270031283938214e+25
1562,UMaII,Einasto,mu,10000,0.5,5.9299512230389975e+25
1563,UMaII,Einasto,mu,10000,0.68,7.021270003220905e+25
1564,UMaII,Einasto,mu,10000,0.95,1.0197989516397906e+26
1565,UMaII,Einasto,mu,50000,0.05,3.0155128264364848e+25
1566,UMaII,Einasto,mu,50000,0.32,3.6920385474535434e+25
1567,UMaII,Einasto,mu,50000,0.5,4.285981825343151e+25
1568,UMaII,Einasto,mu,50000,0.68,5.099127311170456e+25
1569,UMaII,Einasto,mu,50000,0.95,7.385371754156341e+25
1570,UMaII,Einasto,mu,100000,0.05,2.0981530752612096e+25
1571,UMaII,Einasto,mu,100000,0.32,2.709804747637761e+25
1572,UMaII,Einasto,mu,100000,0.5,3.171428120222547e+25
1573,UMaII,Einasto,mu,100000,0.68,3.6656031054237077e+25
1574,UMaII,Einasto,mu,100000,0.95,5.171925255280745e+25
1575,UMaII,Einasto,tau,70,0.05,6.935766777435065e+24
1576,UMaII,Einasto,tau,70,0.32,8.323015967818577e+24
1577,UMaII,Einasto,tau,70,0.5,9.079512830982694e+24
1578,UMaII,Einasto,tau,70,0.68,9.869563433869947e+24
1579,UMaII,Einasto,tau,70,0.95,1.2460318263799022e+25
1580,UMaII,Einasto,tau,100,0.05,1.4615228107679957e+25
1581,UMaII,Einasto,tau,100,0.32,1.7317713293604248e+25
1582,UMaII,Einasto,tau,100,0.5,1.8703389625668734e+25
1583,UMaII,Einasto,tau,100,0.68,2.0162298414354666e+25
1584,UMaII,Einasto,tau,100,0.95,2.4520958492468347e+25
1585,UMaII,Einasto,tau,200,0.05,3.4929557934754748e+25
1586,UMaII,Einasto,tau,200,0.32,4.027697889023358e+25
1587,UMaII,Einasto,tau,200,0.5,4.4300054261257905e+25
1588,UMaII,Einasto,tau,200,0.68,4.885523701724648e+25
1589,UMaII,Einasto,tau,200,0.95,5.96785904725067e+25
1590,UMaII,Einasto,tau,500,0.05,6.425497116506481e+25
1591,UMaII,Einasto,tau,500,0.32,7.56701813715533e+25
1592,UMaII,Einasto,tau,500,0.5,8.3528345361292e+25
1593,UMaII,Einasto,tau,500,0.68,9.371286118374124e+25
1594,UMaII,Einasto,tau,500,0.95,1.2706523799481423e+26
1595,UMaII,Einasto,tau,1000,0.05,9.083794895284564e+25
1596,UMaII,Einasto,tau,1000,0.32,1.0814845584343316e+26
1597,UMaII,Einasto,tau,1000,0.5,1.2044136844833062e+26
1598,UMaII,Einasto,tau,1000,0.68,1.3607664211565836e+26
1599,UMaII,Einasto,tau,1000,0.95,1.8392913689687578e+26
1600,UMaII,Einasto,tau,5000,0.05,1.6280710371289588e+26
1601,UMaII,Einasto,tau,5000,0.32,2.1061084519589733e+26
1602,UMaII,Einasto,tau,5000,0.5,2.4221089878212418e+26
1603,UMaII,Einasto,tau,5000,0.68,2.8512568997209022e+26
1604,UMaII,Einasto,tau,5000,0.95,3.846666743412447e+26
1605,UMaII,Einasto,tau,10000,0.05,1.8916053319347447e+26
1606,UMaII,Einasto,tau,10000,0.32,2.4394479732506922e+26
1607,UMaII,Einasto,tau,10000,0.5,2.854623894189223e+26
1608,UMaII,Einasto,tau,10000,0.68,3.305752718155259e+26
