,name,jfactor,profile,ch,mass,quantile,sigma_v
3030,UMi,9.68,Einasto,W,100,0.05,4.3517702533495356e-24
3031,UMi,9.68,Einasto,W,100,0.32,6.613682540659892e-24
3032,UMi,9.68,Einasto,W,100,0.5,8.037766974291373e-24
3033,UMi,9.68,Einasto,W,100,0.68,9.689030930112885e-24
3034,UMi,9.68,Einasto,W,100,0.95,1.5182027573993478e-23
3035,UMi,9.68,Einasto,W,200,0.05,1.3399900484686086e-24
3036,UMi,9.68,Einasto,W,200,0.32,1.990146318643892e-24
3037,UMi,9.68,Einasto,W,200,0.5,2.362601657362435e-24
3038,UMi,9.68,Einasto,W,200,0.68,2.8368236735019163e-24
3039,UMi,9.68,Einasto,W,200,0.95,4.287744173982369e-24
3040,UMi,9.68,Einasto,W,500,0.05,9.9598750792727e-25
3041,UMi,9.68,Einasto,W,500,0.32,1.51833166955704e-24
3042,UMi,9.68,Einasto,W,500,0.5,1.814872488977015e-24
3043,UMi,9.68,Einasto,W,500,0.68,2.2383408345341592e-24
3044,UMi,9.68,Einasto,W,500,0.95,3.382203699130673e-24
3045,UMi,9.68,Einasto,W,1000,0.05,1.0820516395786743e-24
3046,UMi,9.68,Einasto,W,1000,0.32,1.6852552930899946e-24
3047,UMi,9.68,Einasto,W,1000,0.5,2.034447508692622e-24
3048,UMi,9.68,Einasto,W,1000,0.68,2.5025706373994467e-24
3049,UMi,9.68,Einasto,W,1000,0.95,3.849121014497849e-24
3050,UMi,9.68,Einasto,W,5000,0.05,2.0157153360526e-24
3051,UMi,9.68,Einasto,W,5000,0.32,3.1877283405109717e-24
3052,UMi,9.68,Einasto,W,5000,0.5,3.8986703859085765e-24
3053,UMi,9.68,Einasto,W,5000,0.68,4.810330109505359e-24
3054,UMi,9.68,Einasto,W,5000,0.95,7.461048577007528e-24
3055,UMi,9.68,Einasto,W,10000,0.05,3.184429318510972e-24
3056,UMi,9.68,Einasto,W,10000,0.32,5.131032150847191e-24
3057,UMi,9.68,Einasto,W,10000,0.5,6.294565337032639e-24
3058,UMi,9.68,Einasto,W,10000,0.68,7.826839323660692e-24
3059,UMi,9.68,Einasto,W,10000,0.95,1.2024213511066873e-23
3060,UMi,9.68,Einasto,W,50000,0.05,1.1974680846584406e-23
3061,UMi,9.68,Einasto,W,50000,0.32,1.958848874986097e-23
3062,UMi,9.68,Einasto,W,50000,0.5,2.4394218189732069e-23
3063,UMi,9.68,Einasto,W,50000,0.68,3.036439007417191e-23
3064,UMi,9.68,Einasto,W,50000,0.95,4.62245102917626e-23
3065,UMi,9.68,Einasto,W,100000,0.05,2.3004829504363037e-23
3066,UMi,9.68,Einasto,W,100000,0.32,3.78487243389189e-23
3067,UMi,9.68,Einasto,W,100000,0.5,4.66899043602101e-23
3068,UMi,9.68,Einasto,W,100000,0.68,5.81156699166998e-23
3069,UMi,9.68,Einasto,W,100000,0.95,9.060047694007708e-23
3070,UMi,9.68,Einasto,Z,100,0.05,7.159141887633009e-24
3071,UMi,9.68,Einasto,Z,100,0.32,1.0964140482019657e-23
3072,UMi,9.68,Einasto,Z,100,0.5,1.3278124140188445e-23
3073,UMi,9.68,Einasto,Z,100,0.68,1.588191907548667e-23
3074,UMi,9.68,Einasto,Z,100,0.95,2.466032312855907e-23
3075,UMi,9.68,Einasto,Z,200,0.05,1.731469312055877e-24
3076,UMi,9.68,Einasto,Z,200,0.32,2.5849370084958732e-24
3077,UMi,9.68,Einasto,Z,200,0.5,3.0783433915770382e-24
3078,UMi,9.68,Einasto,Z,200,0.68,3.6965666963231965e-24
3079,UMi,9.68,Einasto,Z,200,0.95,5.834489078698927e-24
3080,UMi,9.68,Einasto,Z,500,0.05,1.2409342895055716e-24
3081,UMi,9.68,Einasto,Z,500,0.32,1.8810438453871325e-24
3082,UMi,9.68,Einasto,Z,500,0.5,2.2435352884955514e-24
3083,UMi,9.68,Einasto,Z,500,0.68,2.7530600363430216e-24
3084,UMi,9.68,Einasto,Z,500,0.95,4.278305705334583e-24
3085,UMi,9.68,Einasto,Z,1000,0.05,1.3206563429206811e-24
3086,UMi,9.68,Einasto,Z,1000,0.32,2.0311038689499927e-24
3087,UMi,9.68,Einasto,Z,1000,0.5,2.439441397186756e-24
3088,UMi,9.68,Einasto,Z,1000,0.68,2.9825869424889232e-24
3089,UMi,9.68,Einasto,Z,1000,0.95,4.510135253833835e-24
3090,UMi,9.68,Einasto,Z,5000,0.05,2.5361457104783763e-24
3091,UMi,9.68,Einasto,Z,5000,0.32,3.977026601183955e-24
3092,UMi,9.68,Einasto,Z,5000,0.5,4.78449451620606e-24
3093,UMi,9.68,Einasto,Z,5000,0.68,5.865685139004408e-24
3094,UMi,9.68,Einasto,Z,5000,0.95,9.098051579338513e-24
3095,UMi,9.68,Einasto,Z,10000,0.05,3.79592474557363e-24
3096,UMi,9.68,Einasto,Z,10000,0.32,5.966998211968941e-24
3097,UMi,9.68,Einasto,Z,10000,0.5,7.309716530975936e-24
3098,UMi,9.68,Einasto,Z,10000,0.68,9.034961552943009e-24
3099,UMi,9.68,Einasto,Z,10000,0.95,1.4037317791617574e-23
3100,UMi,9.68,Einasto,Z,50000,0.05,1.1913369939210201e-23
3101,UMi,9.68,Einasto,Z,50000,0.32,1.9547856399140557e-23
3102,UMi,9.68,Einasto,Z,50000,0.5,2.4365817959494e-23
3103,UMi,9.68,Einasto,Z,50000,0.68,3.0296971574110754e-23
3104,UMi,9.68,Einasto,Z,50000,0.95,4.6372076280296973e-23
3105,UMi,9.68,Einasto,Z,100000,0.05,2.244292603969249e-23
3106,UMi,9.68,Einasto,Z,100000,0.32,3.6815369073207604e-23
3107,UMi,9.68,Einasto,Z,100000,0.5,4.550850660881728e-23
3108,UMi,9.68,Einasto,Z,100000,0.68,5.689210656523733e-23
3109,UMi,9.68,Einasto,Z,100000,0.95,8.776433221560808e-23
3110,UMi,9.68,Einasto,b,70,0.05,1.200369252415643e-23
3111,UMi,9.68,Einasto,b,70,0.32,1.850368057119669e-23
3112,UMi,9.68,Einasto,b,70,0.5,2.2466785548004774e-23
3113,UMi,9.68,Einasto,b,70,0.68,2.707540764050433e-23
3114,UMi,9.68,Einasto,b,70,0.95,4.268459484050795e-23
3115,UMi,9.68,Einasto,b,100,0.05,5.2681423781112685e-24
3116,UMi,9.68,Einasto,b,100,0.32,7.978238324432811e-24
3117,UMi,9.68,Einasto,b,100,0.5,9.648756978554772e-24
3118,UMi,9.68,Einasto,b,100,0.68,1.15367070405471e-23
3119,UMi,9.68,Einasto,b,100,0.95,1.769496089016715e-23
3120,UMi,9.68,Einasto,b,200,0.05,1.9779291451375634e-24
3121,UMi,9.68,Einasto,b,200,0.32,2.9733231403999494e-24
3122,UMi,9.68,Einasto,b,200,0.5,3.541355977008766e-24
3123,UMi,9.68,Einasto,b,200,0.68,4.260819977144897e-24
3124,UMi,9.68,Einasto,b,200,0.95,6.628550190811306e-24
3125,UMi,9.68,Einasto,b,500,0.05,1.24893495848423e-24
3126,UMi,9.68,Einasto,b,500,0.32,1.8629287637831422e-24
3127,UMi,9.68,Einasto,b,500,0.5,2.2251722532791294e-24
3128,UMi,9.68,Einasto,b,500,0.68,2.6813468516104936e-24
3129,UMi,9.68,Einasto,b,500,0.95,4.123379261509185e-24
3130,UMi,9.68,Einasto,b,1000,0.05,1.2505588452294335e-24
3131,UMi,9.68,Einasto,b,1000,0.32,1.9202228163790137e-24
3132,UMi,9.68,Einasto,b,1000,0.5,2.294033955901326e-24
3133,UMi,9.68,Einasto,b,1000,0.68,2.8165872952441342e-24
3134,UMi,9.68,Einasto,b,1000,0.95,4.2589012441483664e-24
3135,UMi,9.68,Einasto,b,5000,0.05,2.29188588960437e-24
3136,UMi,9.68,Einasto,b,5000,0.32,3.584076442254165e-24
3137,UMi,9.68,Einasto,b,5000,0.5,4.3425507984308396e-24
3138,UMi,9.68,Einasto,b,5000,0.68,5.324877408217367e-24
3139,UMi,9.68,Einasto,b,5000,0.95,8.151841696181448e-24
3140,UMi,9.68,Einasto,b,10000,0.05,3.3957460310488514e-24
3141,UMi,9.68,Einasto,b,10000,0.32,5.3080751010416566e-24
3142,UMi,9.68,Einasto,b,10000,0.5,6.4836107075727736e-24
3143,UMi,9.68,Einasto,b,10000,0.68,7.954524655440597e-24
3144,UMi,9.68,Einasto,b,10000,0.95,1.235388585062919e-23
3145,UMi,9.68,Einasto,b,50000,0.05,1.0141739350157688e-23
3146,UMi,9.68,Einasto,b,50000,0.32,1.6482738265403648e-23
