,name,profile,ch,mass,quantile,tau
1755,UMi,Einasto,b,70,0.05,2.2336692914791578e+24
1756,UMi,Einasto,b,70,0.32,2.5153664163668377e+24
1757,UMi,Einasto,b,70,0.5,2.6748772093071396e+24
1758,UMi,Einasto,b,70,0.68,2.950367644195073e+24
1759,UMi,Einasto,b,70,0.95,3.787145718162019e+24
1760,UMi,Einasto,b,100,0.05,7.038582242070307e+24
1761,UMi,Einasto,b,100,0.32,8.286396842197461e+24
1762,UMi,Einasto,b,100,0.5,8.88794439691241e+24
1763,UMi,Einasto,b,100,0.68,9.665827731749416e+24
1764,UMi,Einasto,b,100,0.95,1.160256506094352e+25
1765,UMi,Einasto,b,200,0.05,3.857940813076707e+25
1766,UMi,Einasto,b,200,0.32,4.4368279339677775e+25
1767,UMi,Einasto,b,200,0.5,4.688547663541835e+25
1768,UMi,Einasto,b,200,0.68,4.914616971188942e+25
1769,UMi,Einasto,b,200,0.95,5.787882697129222e+25
1770,UMi,Einasto,b,500,0.05,1.5524197495229593e+26
1771,UMi,Einasto,b,500,0.32,1.768923568037131e+26
1772,UMi,Einasto,b,500,0.5,1.8597423858381516e+26
1773,UMi,Einasto,b,500,0.68,1.9653960703368104e+26
1774,UMi,Einasto,b,500,0.95,2.3171877241382962e+26
1775,UMi,Einasto,b,1000,0.05,3.114636374132344e+26
1776,UMi,Einasto,b,1000,0.32,3.541234409250883e+26
1777,UMi,Einasto,b,1000,0.5,3.738062853794526e+26
1778,UMi,Einasto,b,1000,0.68,3.946839092865456e+26
1779,UMi,Einasto,b,1000,0.95,4.8233454178602384e+26
1780,UMi,Einasto,b,5000,0.05,7.789735680796485e+26
1781,UMi,Einasto,b,5000,0.32,9.217963524652992e+26
1782,UMi,Einasto,b,5000,0.5,9.755703129537412e+26
1783,UMi,Einasto,b,5000,0.68,1.0481283160695507e+27
1784,UMi,Einasto,b,5000,0.95,1.3046490101514565e+27
1785,UMi,Einasto,b,10000,0.05,1.07072257783319e+27
1786,UMi,Einasto,b,10000,0.32,1.2509363424203375e+27
1787,UMi,Einasto,b,10000,0.5,1.3442105355357334e+27
1788,UMi,Einasto,b,10000,0.68,1.473641897035621e+27
1789,UMi,Einasto,b,10000,0.95,1.8809087253646075e+27
1790,UMi,Einasto,b,50000,0.05,1.7048080405936947e+27
1791,UMi,Einasto,b,50000,0.32,2.0424751506018453e+27
1792,UMi,Einasto,b,50000,0.5,2.2426549285838488e+27
1793,UMi,Einasto,b,50000,0.68,2.5631246714101285e+27
1794,UMi,Einasto,b,50000,0.95,3.5960587248612476e+27
1795,UMi,Einasto,b,100000,0.05,1.809879874471638e+27
1796,UMi,Einasto,b,100000,0.32,2.2481105719002241e+27
1797,UMi,Einasto,b,100000,0.5,2.55542773380111e+27
1798,UMi,Einasto,b,100000,0.68,2.9907108940326455e+27
1799,UMi,Einasto,b,100000,0.95,4.258691506944274e+27
1800,UMi,Einasto,mu,70,0.05,1.74634583521458e+25
1801,UMi,Einasto,mu,70,0.32,2.167261704016511e+25
1802,UMi,Einasto,mu,70,0.5,2.358517593609778e+25
1803,UMi,Einasto,mu,70,0.68,2.568719694028303e+25
1804,UMi,Einasto,mu,70,0.95,3.182567392810859e+25
1805,UMi,Einasto,mu,100,0.05,2.9085353102834793e+25
1806,UMi,Einasto,mu,100,0.32,3.5260200382089358e+25
1807,UMi,Einasto,mu,100,0.5,3.8261873910070676e+25
1808,UMi,Einasto,mu,100,0.68,4.128340910526578e+25
1809,UMi,Einasto,mu,100,0.95,5.340034996424094e+25
1810,UMi,Einasto,mu,200,0.05,5.8244232048756725e+25
1811,UMi,Einasto,mu,200,0.32,7.303281776303157e+25
1812,UMi,Einasto,mu,200,0.5,7.97852786069333e+25
1813,UMi,Einasto,mu,200,0.68,8.851204544370446e+25
1814,UMi,Einasto,mu,200,0.95,1.1552277771956443e+26
1815,UMi,Einasto,mu,500,0.05,1.1494670714923794e+26
1816,UMi,Einasto,mu,500,0.32,1.3729651586812398e+26
1817,UMi,Einasto,mu,500,0.5,1.5272847473077741e+26
1818,UMi,Einasto,mu,500,0.68,1.7294787863739068e+26
1819,UMi,Einasto,mu,500,0.95,2.424745510076606e+26
1820,UMi,Einasto,mu,1000,0.05,1.7085837125403475e+26
1821,UMi,Einasto,mu,1000,0.32,2.1096948321354435e+26
1822,UMi,Einasto,mu,1000,0.5,2.3921025365783895e+26
1823,UMi,Einasto,mu,1000,0.68,2.6261725313666007e+26
1824,UMi,Einasto,mu,1000,0.95,3.772949124894091e+26
1825,UMi,Einasto,mu,5000,0.05,3.3349944093370485e+26
1826,UMi,Einasto,mu,5000,0.32,4.024196508131778e+26
1827,UMi,Einasto,mu,5000,0.5,4.414850913595336e+26
1828,UMi,Einasto,mu,5000,0.68,5.005001970428032e+26
1829,UMi,Einasto,mu,5000,0.95,7.559623675367316e+26
1830,UMi,Einasto,mu,10000,0.05,3.419717489579564e+26
1831,UMi,Einasto,mu,10000,0.32,4.340491156772764e+26
1832,UMi,Einasto,mu,10000,0.5,4.866385795254008e+26
1833,UMi,Einasto,mu,10000,0.68,5.72438621041258e+26
1834,UMi,Einasto,mu,10000,0.95,8.481618328297957e+26
1835,UMi,Einasto,mu,50000,0.05,2.436990577707748e+26
1836,UMi,Einasto,mu,50000,0.32,3.052074529303194e+26
1837,UMi,Einasto,mu,50000,0.5,3.48840849738454e+26
1838,UMi,Einasto,mu,50000,0.68,4.1657872097401744e+26
1839,UMi,Einasto,mu,50000,0.95,6.243623758923375e+26
1840,UMi,Einasto,mu,100000,0.05,1.6683753667013115e+26
1841,UMi,Einasto,mu,100000,0.32,2.183301323914565e+26
1842,UMi,Einasto,mu,100000,0.5,2.4680442651743524e+26
1843,UMi,Einasto,mu,100000,0.68,2.8999670211465725e+26
1844,UMi,Einasto,mu,100000,0.95,4.4463407498461454e+26
1845,UMi,Einasto,tau,70,0.05,5.373428718224222e+25
1846,UMi,Einasto,tau,70,0.32,6.691706510093337e+25
1847,UMi,Einasto,tau,70,0.5,7.202887042870788e+25
1848,UMi,Einasto,tau,70,0.68,7.75423472112591e+25
1849,UMi,Einasto,tau,70,0.95,9.600795397943348e+25
1850,UMi,Einasto,tau,100,0.05,1.147030145605405e+26
1851,UMi,Einasto,tau,100,0.32,1.3464811100947513e+26
1852,UMi,Einasto,tau,100,0.5,1.4409131725466464e+26
1853,UMi,Einasto,tau,100,0.68,1.5353297539281251e+26
1854,UMi,Einasto,tau,100,0.95,1.7769535953280463e+26
1855,UMi,Einasto,tau,200,0.05,2.7849716049484248e+26
1856,UMi,Einasto,tau,200,0.32,3.2038790477117794e+26
1857,UMi,Einasto,tau,200,0.5,3.4245121368018975e+26
1858,UMi,Einasto,tau,200,0.68,3.655761184447917e+26
1859,UMi,Einasto,tau,200,0.95,4.661397502724428e+26
1860,UMi,Einasto,tau,500,0.05,5.530459479002095e+26
1861,UMi,Einasto,tau,500,0.32,6.3238862664111e+26
1862,UMi,Einasto,tau,500,0.5,6.769101230528903e+26
1863,UMi,Einasto,tau,500,0.68,7.370978012184745e+26
1864,UMi,Einasto,tau,500,0.95,9.635895181416076e+26
1865,UMi,Einasto,tau,1000,0.05,7.61335614597815e+26
1866,UMi,Einasto,tau,1000,0.32,9.035077501033223e+26
1867,UMi,Einasto,tau,1000,0.5,9.95604873448899e+26
1868,UMi,Einasto,tau,1000,0.68,1.0918935715958973e+27
1869,UMi,Einasto,tau,1000,0.95,1.4056025865335067e+27
1870,UMi,Einasto,tau,5000,0.05,1.4012257882251436e+27
1871,UMi,Einasto,tau,5000,0.32,1.712390344098065e+27
1872,UMi,Einasto,tau,5000,0.5,1.9143231584750652e+27
1873,UMi,Einasto,tau,5000,0.68,2.2332805451546173e+27
1874,UMi,Einasto,tau,5000,0.95,3.2195424295540786e+27
1875,UMi,Einasto,tau,10000,0.05,1.6066428607277252e+27
1876,UMi,Einasto,tau,10000,0.32,1.9555717423604754e+27
1877,UMi,Einasto,tau,10000,0.5,2.2410268420288254e+27
1878,UMi,Einasto,tau,10000,0.68,2.539055624420554e+27
1879,UMi,Einasto,tau,10000,0.95,3.993517843159986e+27
1880,UMi,Einasto,tau,50000,0.05,1.267304593326326e+27
1881,UMi,Einasto,tau,50000,0.32,1.6003336177827483e+27
1882,UMi,Einasto,tau,50000,0.5,1.8390160502558033e+27
1883,UMi,Einasto,tau,50000,0.68,2.1719427523305816e+27
1884,UMi,Einasto,tau,50000,0.95,3.243389866686188e+27
1885,UMi,Einasto,tau,100000,0.05,9.086912721523221e+26
1886,UMi,Einasto,tau,100000,0.32,1.1760218449440305e+27
1887,UMi,Einasto,tau,100000,0.5,1.3728118250343063e+27
1888,UMi,Einasto,tau,100000,0.68,1.6335618559323994e+27
1889,UMi,Einasto,tau,100000,0.95,2.3903389761053121e+27
