,src1,src2,profile,ch,mass,quantile,tau
0,UMi,CBe,Burkert,W,70,0.05,
1,UMi,CBe,Burkert,W,70,0.32,
2,UMi,CBe,Burkert,W,70,0.5,
3,UMi,CBe,Burkert,W,70,0.68,
4,UMi,CBe,Burkert,W,70,0.95,
5,UMi,CBe,Burkert,W,100,0.05,5.151872077021234e+25
6,UMi,CBe,Burkert,W,100,0.32,6.182638959131296e+25
7,UMi,CBe,Burkert,W,100,0.5,6.724771731558488e+25
8,UMi,CBe,Burkert,W,100,0.68,7.35599736347429e+25
9,UMi,CBe,Burkert,W,100,0.95,9.365261183150712e+25
10,UMi,CBe,Burkert,W,200,0.05,3.246820691102516e+26
11,UMi,CBe,Burkert,W,200,0.32,3.871725620938038e+26
12,UMi,CBe,Burkert,W,200,0.5,4.164941741869649e+26
13,UMi,CBe,Burkert,W,200,0.68,4.524329888508486e+26
14,UMi,CBe,Burkert,W,200,0.95,5.7013644313581686e+26
15,UMi,CBe,Burkert,W,500,0.05,9.470332404083092e+26
16,UMi,CBe,Burkert,W,500,0.32,1.128338960696922e+27
17,UMi,CBe,Burkert,W,500,0.5,1.215501702717044e+27
18,UMi,CBe,Burkert,W,500,0.68,1.320767607921648e+27
19,UMi,CBe,Burkert,W,500,0.95,1.676445041895339e+27
20,UMi,CBe,Burkert,W,1000,0.05,1.5245844275569827e+27
21,UMi,CBe,Burkert,W,1000,0.32,1.7801730922099107e+27
22,UMi,CBe,Burkert,W,1000,0.5,1.9129901943125808e+27
23,UMi,CBe,Burkert,W,1000,0.68,2.074754129072816e+27
24,UMi,CBe,Burkert,W,1000,0.95,2.574040488687641e+27
25,UMi,CBe,Burkert,W,5000,0.05,3.167185500522525e+27
26,UMi,CBe,Burkert,W,5000,0.32,3.718364264568538e+27
27,UMi,CBe,Burkert,W,5000,0.5,4.0320168176938057e+27
28,UMi,CBe,Burkert,W,5000,0.68,4.3852213672974094e+27
29,UMi,CBe,Burkert,W,5000,0.95,5.203155576130826e+27
