,name,profile,ch,mass,quantile,tau
810,Scl,Burkert,b,70,0.05,6.0337695303408695e+22
811,Scl,Burkert,b,70,0.32,7.493376723839293e+22
812,Scl,Burkert,b,70,0.5,8.409649267418705e+22
813,Scl,Burkert,b,70,0.68,9.515765136308123e+22
814,Scl,Burkert,b,70,0.95,1.3927710172978414e+23
815,Scl,Burkert,b,100,0.05,2.4310145239154444e+23
816,Scl,Burkert,b,100,0.32,3.081866255173443e+23
817,Scl,Burkert,b,100,0.5,3.486999635272958e+23
818,Scl,Burkert,b,100,0.68,3.9969052984317736e+23
819,Scl,Burkert,b,100,0.95,5.4709465516976646e+23
820,Scl,Burkert,b,200,0.05,1.860850643418485e+24
821,Scl,Burkert,b,200,0.32,2.2928386784559324e+24
822,Scl,Burkert,b,200,0.5,2.5645414447155474e+24
823,Scl,Burkert,b,200,0.68,2.89284486100751e+24
824,Scl,Burkert,b,200,0.95,3.958432794889471e+24
825,Scl,Burkert,b,500,0.05,1.0398895026150142e+25
826,Scl,Burkert,b,500,0.32,1.2901178686337679e+25
827,Scl,Burkert,b,500,0.5,1.4413914623028196e+25
828,Scl,Burkert,b,500,0.68,1.6266929546649222e+25
829,Scl,Burkert,b,500,0.95,2.296180827348976e+25
830,Scl,Burkert,b,1000,0.05,2.213186594530786e+25
831,Scl,Burkert,b,1000,0.32,2.764175012777644e+25
832,Scl,Burkert,b,1000,0.5,3.146548166918916e+25
833,Scl,Burkert,b,1000,0.68,3.544983960713584e+25
834,Scl,Burkert,b,1000,0.95,4.855094638862401e+25
835,Scl,Burkert,b,5000,0.05,6.075223817336437e+25
836,Scl,Burkert,b,5000,0.32,7.697540078593657e+25
837,Scl,Burkert,b,5000,0.5,8.6892854512618e+25
838,Scl,Burkert,b,5000,0.68,9.909594626569042e+25
839,Scl,Burkert,b,5000,0.95,1.3880442636762111e+26
840,Scl,Burkert,b,10000,0.05,8.46579327956553e+25
841,Scl,Burkert,b,10000,0.32,1.0686624513210449e+26
842,Scl,Burkert,b,10000,0.5,1.1947965841457053e+26
843,Scl,Burkert,b,10000,0.68,1.3866915107677624e+26
844,Scl,Burkert,b,10000,0.95,1.9790107477373948e+26
845,Scl,Burkert,b,50000,0.05,1.4326676690368869e+26
846,Scl,Burkert,b,50000,0.32,1.8907643129603094e+26
847,Scl,Burkert,b,50000,0.5,2.201670980123101e+26
848,Scl,Burkert,b,50000,0.68,2.4874669146370053e+26
849,Scl,Burkert,b,50000,0.95,3.6704811423762685e+26
850,Scl,Burkert,b,100000,0.05,1.6468891989104457e+26
851,Scl,Burkert,b,100000,0.32,2.1797971325031277e+26
852,Scl,Burkert,b,100000,0.5,2.4520609200088224e+26
853,Scl,Burkert,b,100000,0.68,2.8747486549052015e+26
854,Scl,Burkert,b,100000,0.95,4.1070868603151945e+26
855,Scl,Burkert,mu,70,0.05,1.0587280019792561e+24
856,Scl,Burkert,mu,70,0.32,1.2727762459321783e+24
857,Scl,Burkert,mu,70,0.5,1.4170226955877067e+24
858,Scl,Burkert,mu,70,0.68,1.6406607421260295e+24
859,Scl,Burkert,mu,70,0.95,2.3322264488156487e+24
860,Scl,Burkert,mu,100,0.05,2.3866961931927643e+24
861,Scl,Burkert,mu,100,0.32,2.999128111082795e+24
862,Scl,Burkert,mu,100,0.5,3.387722808726294e+24
863,Scl,Burkert,mu,100,0.68,3.8859372084050447e+24
864,Scl,Burkert,mu,100,0.95,5.502619293935958e+24
865,Scl,Burkert,mu,200,0.05,4.867951978418457e+24
866,Scl,Burkert,mu,200,0.32,6.099815410215189e+24
867,Scl,Burkert,mu,200,0.5,6.860263492363381e+24
868,Scl,Burkert,mu,200,0.68,7.825998549791961e+24
869,Scl,Burkert,mu,200,0.95,1.1552873111711282e+25
870,Scl,Burkert,mu,500,0.05,9.033033200855907e+24
871,Scl,Burkert,mu,500,0.32,1.1469735837700053e+25
872,Scl,Burkert,mu,500,0.5,1.2724890047808009e+25
873,Scl,Burkert,mu,500,0.68,1.47902074664356e+25
874,Scl,Burkert,mu,500,0.95,2.177526818093411e+25
875,Scl,Burkert,mu,1000,0.05,1.4066956285166032e+25
876,Scl,Burkert,mu,1000,0.32,1.7876119189726488e+25
877,Scl,Burkert,mu,1000,0.5,2.039354721294666e+25
878,Scl,Burkert,mu,1000,0.68,2.3542861077251014e+25
879,Scl,Burkert,mu,1000,0.95,3.454449939798553e+25
880,Scl,Burkert,mu,5000,0.05,3.068693663249442e+25
881,Scl,Burkert,mu,5000,0.32,3.905480124204965e+25
882,Scl,Burkert,mu,5000,0.5,4.553975762831383e+25
883,Scl,Burkert,mu,5000,0.68,5.284106258219918e+25
884,Scl,Burkert,mu,5000,0.95,7.777300899591049e+25
885,Scl,Burkert,mu,10000,0.05,3.3837086845066277e+25
886,Scl,Burkert,mu,10000,0.32,4.49082683081139e+25
887,Scl,Burkert,mu,10000,0.5,5.1527398272499025e+25
888,Scl,Burkert,mu,10000,0.68,6.075515290847507e+25
889,Scl,Burkert,mu,10000,0.95,9.366813317913225e+25
890,Scl,Burkert,mu,50000,0.05,2.871113472343706e+25
891,Scl,Burkert,mu,50000,0.32,3.7543209775625876e+25
892,Scl,Burkert,mu,50000,0.5,4.3207335540992315e+25
893,Scl,Burkert,mu,50000,0.68,5.127962680522894e+25
894,Scl,Burkert,mu,50000,0.95,7.7021532970050136e+25
895,Scl,Burkert,mu,100000,0.05,2.1117717209524638e+25
896,Scl,Burkert,mu,100000,0.32,2.750718272419187e+25
897,Scl,Burkert,mu,100000,0.5,3.2279571108816793e+25
898,Scl,Burkert,mu,100000,0.68,3.767710325245872e+25
899,Scl,Burkert,mu,100000,0.95,5.59008264582065e+25
900,Scl,Burkert,tau,70,0.05,1.9634954872579022e+24
901,Scl,Burkert,tau,70,0.32,2.4842676627181686e+24
902,Scl,Burkert,tau,70,0.5,2.765775394207478e+24
903,Scl,Burkert,tau,70,0.68,3.1858787794632776e+24
904,Scl,Burkert,tau,70,0.95,4.550578461722114e+24
905,Scl,Burkert,tau,100,0.05,6.25350855889706e+24
906,Scl,Burkert,tau,100,0.32,7.797982457728576e+24
907,Scl,Burkert,tau,100,0.5,8.863950029405137e+24
908,Scl,Burkert,tau,100,0.68,1.0118028159993415e+25
909,Scl,Burkert,tau,100,0.95,1.41881128626895e+25
910,Scl,Burkert,tau,200,0.05,2.061131010823199e+25
911,Scl,Burkert,tau,200,0.32,2.54972729316173e+25
912,Scl,Burkert,tau,200,0.5,2.891151181753899e+25
913,Scl,Burkert,tau,200,0.68,3.3528973423624285e+25
914,Scl,Burkert,tau,200,0.95,4.913955606886531e+25
915,Scl,Burkert,tau,500,0.05,4.092565999156212e+25
916,Scl,Burkert,tau,500,0.32,5.156010034691547e+25
917,Scl,Burkert,tau,500,0.5,5.7875386742150535e+25
918,Scl,Burkert,tau,500,0.68,6.672587631156846e+25
919,Scl,Burkert,tau,500,0.95,9.682459079220034e+25
920,Scl,Burkert,tau,1000,0.05,5.7138839811107415e+25
921,Scl,Burkert,tau,1000,0.32,7.328697631117093e+25
922,Scl,Burkert,tau,1000,0.5,8.639787859054743e+25
923,Scl,Burkert,tau,1000,0.68,9.72286909896203e+25
924,Scl,Burkert,tau,1000,0.95,1.367022080943651e+26
925,Scl,Burkert,tau,5000,0.05,1.247882249696051e+26
926,Scl,Burkert,tau,5000,0.32,1.592155337630122e+26
927,Scl,Burkert,tau,5000,0.5,1.859488691820682e+26
928,Scl,Burkert,tau,5000,0.68,2.163987444195903e+26
929,Scl,Burkert,tau,5000,0.95,3.1330360480040456e+26
930,Scl,Burkert,tau,10000,0.05,1.3728848537117014e+26
931,Scl,Burkert,tau,10000,0.32,1.8575196385590435e+26
932,Scl,Burkert,tau,10000,0.5,2.1615674664650696e+26
933,Scl,Burkert,tau,10000,0.68,2.4875124144883798e+26
934,Scl,Burkert,tau,10000,0.95,3.5802557837359734e+26
