,src1,src2,profile,ch,mass,quantile,Unnamed: 0,tau
0,CBe,UMi,Einasto,W,100,0.05,1775.25,1.6371977613363386e+25
1,CBe,UMi,Einasto,W,100,0.32,11215.800000000001,2.0551550230152637e+25
2,CBe,UMi,Einasto,W,100,0.5,17509.5,2.2119038742470923e+25
3,CBe,UMi,Einasto,W,100,0.68,23803.2,2.43962191365027e+25
4,CBe,UMi,Einasto,W,100,0.95,33243.75,3.0899771311034192e+25
5,CBe,UMi,Einasto,W,200,0.05,1776.25,1.179945164343426e+26
6,CBe,UMi,Einasto,W,200,0.32,11216.800000000001,1.3984799265481893e+26
7,CBe,UMi,Einasto,W,200,0.5,17510.5,1.485741591843239e+26
8,CBe,UMi,Einasto,W,200,0.68,23804.2,1.608589795771519e+26
9,CBe,UMi,Einasto,W,200,0.95,33244.75,1.8896536913482717e+26
10,CBe,UMi,Einasto,W,500,0.05,1777.25,3.7193063017852385e+26
11,CBe,UMi,Einasto,W,500,0.32,11217.800000000001,4.4638994854591865e+26
12,CBe,UMi,Einasto,W,500,0.5,17511.5,4.8829149029032836e+26
13,CBe,UMi,Einasto,W,500,0.68,23805.2,5.376223562695994e+26
14,CBe,UMi,Einasto,W,500,0.95,33245.75,6.567281647050039e+26
15,CBe,UMi,Einasto,W,1000,0.05,1778.25,6.787472222040757e+26
16,CBe,UMi,Einasto,W,1000,0.32,11218.800000000001,8.007712643202206e+26
17,CBe,UMi,Einasto,W,1000,0.5,17512.5,8.713242248916087e+26
18,CBe,UMi,Einasto,W,1000,0.68,23806.2,9.4721356793125e+26
19,CBe,UMi,Einasto,W,1000,0.95,33246.75,1.1553551125039702e+27
20,CBe,UMi,Einasto,W,5000,0.05,1779.25,1.5310254883146987e+27
21,CBe,UMi,Einasto,W,5000,0.32,11219.800000000001,1.993520711468364e+27
22,CBe,UMi,Einasto,W,5000,0.5,17513.5,2.210305383507889e+27
23,CBe,UMi,Einasto,W,5000,0.68,23807.2,2.583801096866196e+27
24,CBe,UMi,Einasto,W,5000,0.95,33247.75,3.631769476359055e+27
25,CBe,UMi,Einasto,W,10000,0.05,1780.25,1.8303212758654852e+27
26,CBe,UMi,Einasto,W,10000,0.32,11220.800000000001,2.4623715429054248e+27
27,CBe,UMi,Einasto,W,10000,0.5,17514.5,2.8755344759089764e+27
28,CBe,UMi,Einasto,W,10000,0.68,23808.2,3.326397989218735e+27
29,CBe,UMi,Einasto,W,10000,0.95,33248.75,4.592418094644249e+27
30,CBe,UMi,Einasto,W,50000,0.05,1781.25,2.130187653809238e+27
31,CBe,UMi,Einasto,W,50000,0.32,11221.800000000001,3.078962561524674e+27
32,CBe,UMi,Einasto,W,50000,0.5,17515.5,3.6618822500425567e+27
33,CBe,UMi,Einasto,W,50000,0.68,23809.2,4.356361040018012e+27
34,CBe,UMi,Einasto,W,50000,0.95,33249.75,7.373692950943033e+27
35,CBe,UMi,Einasto,W,100000,0.05,1782.25,2.1615108994164433e+27
36,CBe,UMi,Einasto,W,100000,0.32,11222.800000000001,3.144375836976722e+27
37,CBe,UMi,Einasto,W,100000,0.5,17516.5,3.760007463805595e+27
38,CBe,UMi,Einasto,W,100000,0.68,23810.2,4.4816039105647305e+27
39,CBe,UMi,Einasto,W,100000,0.95,33250.75,7.36511848238868e+27
40,CBe,UMi,Einasto,b,70,0.05,1748.25,4.010894245163685e+24
41,CBe,UMi,Einasto,b,70,0.32,11188.800000000001,5.158539554854652e+24
42,CBe,UMi,Einasto,b,70,0.5,17482.5,5.551680199927749e+24
43,CBe,UMi,Einasto,b,70,0.68,23776.2,6.160264280117166e+24
44,CBe,UMi,Einasto,b,70,0.95,33216.75,8.018050796531361e+24
45,CBe,UMi,Einasto,b,100,0.05,1749.25,1.369609911487144e+25
46,CBe,UMi,Einasto,b,100,0.32,11189.800000000001,1.708932831234647e+25
47,CBe,UMi,Einasto,b,100,0.5,17483.5,1.8346456144460364e+25
48,CBe,UMi,Einasto,b,100,0.68,23777.2,1.99381330802419e+25
49,CBe,UMi,Einasto,b,100,0.95,33217.75,2.5023016497528564e+25
50,CBe,UMi,Einasto,b,200,0.05,1750.25,7.9132112613635e+25
51,CBe,UMi,Einasto,b,200,0.32,11190.800000000001,9.302266456487244e+25
52,CBe,UMi,Einasto,b,200,0.5,17484.5,9.950453175966227e+25
53,CBe,UMi,Einasto,b,200,0.68,23778.2,1.067483411279466e+26
54,CBe,UMi,Einasto,b,200,0.95,33218.75,1.280731206682684e+26
55,CBe,UMi,Einasto,b,500,0.05,1751.25,3.14259838036093e+26
56,CBe,UMi,Einasto,b,500,0.32,11191.800000000001,3.7139213126094216e+26
57,CBe,UMi,Einasto,b,500,0.5,17485.5,4.055507052658062e+26
58,CBe,UMi,Einasto,b,500,0.68,23779.2,4.3380645818202916e+26
59,CBe,UMi,Einasto,b,500,0.95,33219.75,5.258108124794791e+26
60,CBe,UMi,Einasto,b,1000,0.05,1752.25,5.891623878642031e+26
61,CBe,UMi,Einasto,b,1000,0.32,11192.800000000001,7.098956253747956e+26
62,CBe,UMi,Einasto,b,1000,0.5,17486.5,7.784393503621136e+26
63,CBe,UMi,Einasto,b,1000,0.68,23780.2,8.672336030215239e+26
64,CBe,UMi,Einasto,b,1000,0.95,33220.75,1.0460017895900049e+27
65,CBe,UMi,Einasto,b,5000,0.05,1753.25,1.5196985953831086e+27
66,CBe,UMi,Einasto,b,5000,0.32,11193.800000000001,1.8202513980133652e+27
67,CBe,UMi,Einasto,b,5000,0.5,17487.5,1.9973722189433175e+27
68,CBe,UMi,Einasto,b,5000,0.68,23781.2,2.2036380711811315e+27
69,CBe,UMi,Einasto,b,5000,0.95,33221.75,2.8301617256919434e+27
70,CBe,UMi,Einasto,b,10000,0.05,1754.25,1.9025561721956186e+27
71,CBe,UMi,Einasto,b,10000,0.32,11194.800000000001,2.393502615388195e+27
72,CBe,UMi,Einasto,b,10000,0.5,17488.5,2.725979754813405e+27
73,CBe,UMi,Einasto,b,10000,0.68,23782.2,3.0825448276198044e+27
74,CBe,UMi,Einasto,b,10000,0.95,33222.75,4.069265257779682e+27
75,CBe,UMi,Einasto,b,50000,0.05,1755.25,2.584474129190092e+27
76,CBe,UMi,Einasto,b,50000,0.32,11195.800000000001,3.6773494149937316e+27
77,CBe,UMi,Einasto,b,50000,0.5,17489.5,4.318399497053459e+27
78,CBe,UMi,Einasto,b,50000,0.68,23783.2,5.362926903972026e+27
79,CBe,UMi,Einasto,b,50000,0.95,33223.75,8.337999843047525e+27
80,CBe,UMi,Einasto,b,100000,0.05,1756.25,2.713970192758509e+27
81,CBe,UMi,Einasto,b,100000,0.32,11196.800000000001,4.0120165881885606e+27
82,CBe,UMi,Einasto,b,100000,0.5,17490.5,4.745171618515267e+27
83,CBe,UMi,Einasto,b,100000,0.68,23784.2,5.743279321371875e+27
84,CBe,UMi,Einasto,b,100000,0.95,33224.75,9.668707119628935e+27
85,CBe,UMi,Einasto,mu,70,0.05,1766.25,3.55618570214217e+25
86,CBe,UMi,Einasto,mu,70,0.32,11206.800000000001,4.477359764016879e+25
87,CBe,UMi,Einasto,mu,70,0.5,17500.5,4.920914743341723e+25
88,CBe,UMi,Einasto,mu,70,0.68,23794.2,5.416046408677742e+25
89,CBe,UMi,Einasto,mu,70,0.95,33234.75,6.781218114156968e+25
90,CBe,UMi,Einasto,mu,100,0.05,1767.25,5.442753531431035e+25
91,CBe,UMi,Einasto,mu,100,0.32,11207.800000000001,6.981144435125078e+25
92,CBe,UMi,Einasto,mu,100,0.5,17501.5,7.81828982317409e+25
93,CBe,UMi,Einasto,mu,100,0.68,23795.2,8.778493166093509e+25
94,CBe,UMi,Einasto,mu,100,0.95,33235.75,1.1987300828418694e+26
95,CBe,UMi,Einasto,mu,200,0.05,1768.25,1.0162198003440304e+26
96,CBe,UMi,Einasto,mu,200,0.32,11208.800000000001,1.3489959475343748e+26
97,CBe,UMi,Einasto,mu,200,0.5,17502.5,1.566239276440542e+26
98,CBe,UMi,Einasto,mu,200,0.68,23796.2,1.8229017296092996e+26
99,CBe,UMi,Einasto,mu,200,0.95,33236.75,2.574763293908894e+26
100,CBe,UMi,Einasto,mu,500,0.05,1769.25,1.881093463561528e+26
101,CBe,UMi,Einasto,mu,500,0.32,11209.800000000001,2.46331117722898e+26
102,CBe,UMi,Einasto,mu,500,0.5,17503.5,2.8338019349453143e+26
103,CBe,UMi,Einasto,mu,500,0.68,23797.2,3.337634014280295e+26
104,CBe,UMi,Einasto,mu,500,0.95,33237.75,4.8029573448407836e+26
105,CBe,UMi,Einasto,mu,1000,0.05,1770.25,2.729974787569681e+26
106,CBe,UMi,Einasto,mu,1000,0.32,11210.800000000001,3.7474829764131876e+26
107,CBe,UMi,Einasto,mu,1000,0.5,17504.5,4.464612179695832e+26
108,CBe,UMi,Einasto,mu,1000,0.68,23798.2,5.344561897409702e+26
109,CBe,UMi,Einasto,mu,1000,0.95,33238.75,7.798533999461503e+26
110,CBe,UMi,Einasto,mu,5000,0.05,1771.25,4.9064473696241705e+26
111,CBe,UMi,Einasto,mu,5000,0.32,11211.800000000001,6.831949660096514e+26
112,CBe,UMi,Einasto,mu,5000,0.5,17505.5,8.292477289652098e+26
113,CBe,UMi,Einasto,mu,5000,0.68,23799.2,1.0499389550998333e+27
114,CBe,UMi,Einasto,mu,5000,0.95,33239.75,1.7606545707118428e+27
115,CBe,UMi,Einasto,mu,10000,0.05,1772.25,4.9125516137279385e+26
116,CBe,UMi,Einasto,mu,10000,0.32,11212.800000000001,7.163191027390686e+26
117,CBe,UMi,Einasto,mu,10000,0.5,17506.5,8.700506672315795e+26
118,CBe,UMi,Einasto,mu,10000,0.68,23800.2,1.0656791591914804e+27
119,CBe,UMi,Einasto,mu,10000,0.95,33240.75,1.773791464692864e+27
120,CBe,UMi,Einasto,mu,50000,0.05,1773.25,3.3357552449758754e+26
121,CBe,UMi,Einasto,mu,50000,0.32,11213.800000000001,4.854533574663912e+26
122,CBe,UMi,Einasto,mu,50000,0.5,17507.5,5.865054948292401e+26
123,CBe,UMi,Einasto,mu,50000,0.68,23801.2,7.362345426787803e+26
124,CBe,UMi,Einasto,mu,50000,0.95,33241.75,1.3143072621756254e+27
125,CBe,UMi,Einasto,mu,100000,0.05,1774.25,2.3837512807383908e+26
126,CBe,UMi,Einasto,mu,100000,0.32,11214.800000000001,3.480884082845874e+26
127,CBe,UMi,Einasto,mu,100000,0.5,17508.5,4.126236647143723e+26
128,CBe,UMi,Einasto,mu,100000,0.68,23802.2,5.258789465602181e+26
129,CBe,UMi,Einasto,mu,100000,0.95,33242.75,8.975057206832051e+26
130,CBe,UMi,Einasto,tau,70,0.05,1757.25,1.0838904704938182e+26
131,CBe,UMi,Einasto,tau,70,0.32,11197.800000000001,1.3588679988253564e+26
132,CBe,UMi,Einasto,tau,70,0.5,17491.5,1.4748419966574438e+26
133,CBe,UMi,Einasto,tau,70,0.68,23785.2,1.6292511759296923e+26
134,CBe,UMi,Einasto,tau,70,0.95,33225.75,2.058563036920879e+26
135,CBe,UMi,Einasto,tau,100,0.05,1758.25,2.3401724702875244e+26
136,CBe,UMi,Einasto,tau,100,0.32,11198.800000000001,2.8154655024461782e+26
137,CBe,UMi,Einasto,tau,100,0.5,17492.5,3.0234954647393123e+26
138,CBe,UMi,Einasto,tau,100,0.68,23786.2,3.311158341251095e+26
139,CBe,UMi,Einasto,tau,100,0.95,33226.75,3.974996887181007e+26
140,CBe,UMi,Einasto,tau,200,0.05,1759.25,5.092787474077524e+26
141,CBe,UMi,Einasto,tau,200,0.32,11199.800000000001,6.30847166741366e+26
142,CBe,UMi,Einasto,tau,200,0.5,17493.5,7.03553119010853e+26
143,CBe,UMi,Einasto,tau,200,0.68,23787.2,7.964800330821971e+26
144,CBe,UMi,Einasto,tau,200,0.95,33227.75,1.0443565950331684e+27
145,CBe,UMi,Einasto,tau,500,0.05,1760.25,9.312631320980701e+26
146,CBe,UMi,Einasto,tau,500,0.32,11200.800000000001,1.189999949573528e+27
147,CBe,UMi,Einasto,tau,500,0.5,17494.5,1.3483374635767893e+27
148,CBe,UMi,Einasto,tau,500,0.68,23788.2,1.529192204110476e+27
149,CBe,UMi,Einasto,tau,500,0.95,33228.75,2.0267439312288086e+27
150,CBe,UMi,Einasto,tau,1000,0.05,1761.25,1.3341713143198207e+27
151,CBe,UMi,Einasto,tau,1000,0.32,11201.800000000001,1.700248277584266e+27
152,CBe,UMi,Einasto,tau,1000,0.5,17495.5,1.902484392326365e+27
153,CBe,UMi,Einasto,tau,1000,0.68,23789.2,2.1716876299763203e+27
154,CBe,UMi,Einasto,tau,1000,0.95,33229.75,3.0627826726948663e+27
155,CBe,UMi,Einasto,tau,5000,0.05,1762.25,2.116306683894908e+27
156,CBe,UMi,Einasto,tau,5000,0.32,11202.800000000001,3.0032603766139257e+27
157,CBe,UMi,Einasto,tau,5000,0.5,17496.5,3.6731643677346544e+27
158,CBe,UMi,Einasto,tau,5000,0.68,23790.2,4.553315475636195e+27
159,CBe,UMi,Einasto,tau,5000,0.95,33230.75,7.262821361213767e+27
160,CBe,UMi,Einasto,tau,10000,0.05,1763.25,2.2798430241759712e+27
161,CBe,UMi,Einasto,tau,10000,0.32,11203.800000000001,3.4515707869179e+27
162,CBe,UMi,Einasto,tau,10000,0.5,17497.5,4.1421675870203753e+27
163,CBe,UMi,Einasto,tau,10000,0.68,23791.2,5.141478836724782e+27
164,CBe,UMi,Einasto,tau,10000,0.95,33231.75,8.765027621123027e+27
165,CBe,UMi,Einasto,tau,50000,0.05,1764.25,1.7724056917049675e+27
166,CBe,UMi,Einasto,tau,50000,0.32,11204.800000000001,2.6387191151501327e+27
167,CBe,UMi,Einasto,tau,50000,0.5,17498.5,3.150174957555394e+27
168,CBe,UMi,Einasto,tau,50000,0.68,23792.2,3.8550447198384717e+27
169,CBe,UMi,Einasto,tau,50000,0.95,33232.75,6.859815656413951e+27
170,CBe,UMi,Einasto,tau,100000,0.05,1765.25,1.2669084234124765e+27
171,CBe,UMi,Einasto,tau,100000,0.32,11205.800000000001,1.843340123111728e+27
172,CBe,UMi,Einasto,tau,100000,0.5,17499.5,2.2327465573343249e+27
173,CBe,UMi,Einasto,tau,100000,0.68,23793.2,2.8349993322939107e+27
174,CBe,UMi,Einasto,tau,100000,0.95,33233.75,5.003018754054724e+27
