,name,profile,ch,mass,quantile,tau
270,DraI,Burkert,b,70,0.05,2.8203004133640855e+23
271,DraI,Burkert,b,70,0.32,3.648105476334083e+23
272,DraI,Burkert,b,70,0.5,4.0665444693095434e+23
273,DraI,Burkert,b,70,0.68,4.495535223354649e+23
274,DraI,Burkert,b,70,0.95,6.791493711613684e+23
275,DraI,Burkert,b,100,0.05,9.651434984640094e+23
276,DraI,Burkert,b,100,0.32,1.2054173983833369e+24
277,DraI,Burkert,b,100,0.5,1.3360215920210014e+24
278,DraI,Burkert,b,100,0.68,1.5149055523787604e+24
279,DraI,Burkert,b,100,0.95,2.1423765344724357e+24
280,DraI,Burkert,b,200,0.05,5.560531151453296e+24
281,DraI,Burkert,b,200,0.32,6.525703378953309e+24
282,DraI,Burkert,b,200,0.5,7.190734685083094e+24
283,DraI,Burkert,b,200,0.68,8.107411991539509e+24
284,DraI,Burkert,b,200,0.95,1.12688898252237e+25
285,DraI,Burkert,b,500,0.05,2.2908351846316047e+25
286,DraI,Burkert,b,500,0.32,2.6595319217855794e+25
287,DraI,Burkert,b,500,0.5,2.959941760404401e+25
288,DraI,Burkert,b,500,0.68,3.2702104135665533e+25
289,DraI,Burkert,b,500,0.95,4.510650628806765e+25
290,DraI,Burkert,b,1000,0.05,4.130993971496239e+25
291,DraI,Burkert,b,1000,0.32,5.017285464013948e+25
292,DraI,Burkert,b,1000,0.5,5.5436604345426775e+25
293,DraI,Burkert,b,1000,0.68,6.2365481153332175e+25
294,DraI,Burkert,b,1000,0.95,8.554745362555723e+25
295,DraI,Burkert,b,5000,0.05,9.615444561841895e+25
296,DraI,Burkert,b,5000,0.32,1.1907181232451267e+26
297,DraI,Burkert,b,5000,0.5,1.3189065459914208e+26
298,DraI,Burkert,b,5000,0.68,1.4948846766386278e+26
299,DraI,Burkert,b,5000,0.95,2.098610104551995e+26
300,DraI,Burkert,b,10000,0.05,1.2889615423232845e+26
301,DraI,Burkert,b,10000,0.32,1.6010252015260816e+26
302,DraI,Burkert,b,10000,0.5,1.7899223805486316e+26
303,DraI,Burkert,b,10000,0.68,2.0198636029637266e+26
304,DraI,Burkert,b,10000,0.95,2.7598195796035536e+26
305,DraI,Burkert,b,50000,0.05,2.0837044026900697e+26
306,DraI,Burkert,b,50000,0.32,2.554205851443633e+26
307,DraI,Burkert,b,50000,0.5,2.9558149678293466e+26
308,DraI,Burkert,b,50000,0.68,3.47819747729168e+26
309,DraI,Burkert,b,50000,0.95,4.656012763259605e+26
310,DraI,Burkert,b,100000,0.05,2.265430149329359e+26
311,DraI,Burkert,b,100000,0.32,2.8480285953915506e+26
312,DraI,Burkert,b,100000,0.5,3.237189410933286e+26
313,DraI,Burkert,b,100000,0.68,3.851256889545809e+26
314,DraI,Burkert,b,100000,0.95,5.439193462148998e+26
315,DraI,Burkert,mu,70,0.05,2.7106412524961314e+24
316,DraI,Burkert,mu,70,0.32,3.2944059715616857e+24
317,DraI,Burkert,mu,70,0.5,3.6025724213404625e+24
318,DraI,Burkert,mu,70,0.68,4.038787023480788e+24
319,DraI,Burkert,mu,70,0.95,5.891968220802484e+24
320,DraI,Burkert,mu,100,0.05,4.355303936303385e+24
321,DraI,Burkert,mu,100,0.32,5.450894326707735e+24
322,DraI,Burkert,mu,100,0.5,6.050057635425849e+24
323,DraI,Burkert,mu,100,0.68,6.897065603464879e+24
324,DraI,Burkert,mu,100,0.95,9.538262550165981e+24
325,DraI,Burkert,mu,200,0.05,8.468990276267963e+24
326,DraI,Burkert,mu,200,0.32,1.0155722791191303e+25
327,DraI,Burkert,mu,200,0.5,1.1528335313207303e+25
328,DraI,Burkert,mu,200,0.68,1.3069205779346335e+25
329,DraI,Burkert,mu,200,0.95,1.8349563990135821e+25
330,DraI,Burkert,mu,500,0.05,1.4173400817856564e+25
331,DraI,Burkert,mu,500,0.32,1.7429045079474199e+25
332,DraI,Burkert,mu,500,0.5,1.9804621450395477e+25
333,DraI,Burkert,mu,500,0.68,2.247416491659848e+25
334,DraI,Burkert,mu,500,0.95,3.2788757986150216e+25
335,DraI,Burkert,mu,1000,0.05,2.1905499288598972e+25
336,DraI,Burkert,mu,1000,0.32,2.643333343300786e+25
337,DraI,Burkert,mu,1000,0.5,3.010338915796571e+25
338,DraI,Burkert,mu,1000,0.68,3.450052460810418e+25
339,DraI,Burkert,mu,1000,0.95,4.882869053843716e+25
340,DraI,Burkert,mu,5000,0.05,4.0868968364533275e+25
341,DraI,Burkert,mu,5000,0.32,5.192492767772988e+25
342,DraI,Burkert,mu,5000,0.5,5.97069292353787e+25
343,DraI,Burkert,mu,5000,0.68,6.9506864260905565e+25
344,DraI,Burkert,mu,5000,0.95,9.990022970995665e+25
345,DraI,Burkert,mu,10000,0.05,4.122385434673222e+25
346,DraI,Burkert,mu,10000,0.32,5.144859848067724e+25
347,DraI,Burkert,mu,10000,0.5,5.940094654004361e+25
348,DraI,Burkert,mu,10000,0.68,7.073803717430249e+25
349,DraI,Burkert,mu,10000,0.95,1.078509504090711e+26
350,DraI,Burkert,mu,50000,0.05,2.6289801393889654e+25
351,DraI,Burkert,mu,50000,0.32,3.2458996451501274e+25
352,DraI,Burkert,mu,50000,0.5,3.7984605740144466e+25
353,DraI,Burkert,mu,50000,0.68,4.520185167766469e+25
354,DraI,Burkert,mu,50000,0.95,6.532874663626609e+25
355,DraI,Burkert,mu,100000,0.05,1.8613777979888536e+25
356,DraI,Burkert,mu,100000,0.32,2.3539178629551803e+25
357,DraI,Burkert,mu,100000,0.5,2.6894022391250097e+25
358,DraI,Burkert,mu,100000,0.68,3.145151965875272e+25
359,DraI,Burkert,mu,100000,0.95,4.48030269344507e+25
360,DraI,Burkert,tau,70,0.05,8.263523248512444e+24
361,DraI,Burkert,tau,70,0.32,9.97788224647947e+24
362,DraI,Burkert,tau,70,0.5,1.0981835620547995e+25
363,DraI,Burkert,tau,70,0.68,1.2208725015541176e+25
364,DraI,Burkert,tau,70,0.95,1.7239288368302743e+25
365,DraI,Burkert,tau,100,0.05,1.6945410900114887e+25
366,DraI,Burkert,tau,100,0.32,2.0061326733233386e+25
367,DraI,Burkert,tau,100,0.5,2.1872988840794486e+25
368,DraI,Burkert,tau,100,0.68,2.4478802551763195e+25
369,DraI,Burkert,tau,100,0.95,3.380252069268825e+25
370,DraI,Burkert,tau,200,0.05,3.6447842114325643e+25
371,DraI,Burkert,tau,200,0.32,4.544402528483754e+25
372,DraI,Burkert,tau,200,0.5,5.1108338480824965e+25
373,DraI,Burkert,tau,200,0.68,5.797552673262632e+25
374,DraI,Burkert,tau,200,0.95,7.900981712751825e+25
375,DraI,Burkert,tau,500,0.05,6.5285515015946645e+25
376,DraI,Burkert,tau,500,0.32,8.103354580591268e+25
377,DraI,Burkert,tau,500,0.5,8.933961819037655e+25
378,DraI,Burkert,tau,500,0.68,1.0361059483758207e+26
379,DraI,Burkert,tau,500,0.95,1.4621674677487926e+26
380,DraI,Burkert,tau,1000,0.05,9.129967494224072e+25
381,DraI,Burkert,tau,1000,0.32,1.132880695479984e+26
382,DraI,Burkert,tau,1000,0.5,1.2631230203214221e+26
383,DraI,Burkert,tau,1000,0.68,1.4491598474015319e+26
384,DraI,Burkert,tau,1000,0.95,2.095006728178445e+26
385,DraI,Burkert,tau,5000,0.05,1.7243975406694907e+26
386,DraI,Burkert,tau,5000,0.32,2.182367356578153e+26
387,DraI,Burkert,tau,5000,0.5,2.506840259166571e+26
388,DraI,Burkert,tau,5000,0.68,2.927579977659256e+26
389,DraI,Burkert,tau,5000,0.95,4.1213629255491276e+26
390,DraI,Burkert,tau,10000,0.05,1.9731102283306004e+26
391,DraI,Burkert,tau,10000,0.32,2.4661490810175227e+26
392,DraI,Burkert,tau,10000,0.5,2.9091828798847193e+26
393,DraI,Burkert,tau,10000,0.68,3.438958803242607e+26
394,DraI,Burkert,tau,10000,0.95,4.827917922210513e+26
395,DraI,Burkert,tau,50000,0.05,1.3569815061917365e+26
396,DraI,Burkert,tau,50000,0.32,1.7645735824416083e+26
397,DraI,Burkert,tau,50000,0.5,2.0999213443720186e+26
398,DraI,Burkert,tau,50000,0.68,2.5128256958268635e+26
399,DraI,Burkert,tau,50000,0.95,3.604403223783684e+26
400,DraI,Burkert,tau,100000,0.05,9.57426955137149e+25
401,DraI,Burkert,tau,100000,0.32,1.217648913727926e+26
402,DraI,Burkert,tau,100000,0.5,1.4431246934183322e+26
403,DraI,Burkert,tau,100000,0.68,1.7188573457179704e+26
404,DraI,Burkert,tau,100000,0.95,2.5067695946162955e+26
