,name,jfactor,profile,ch,mass,quantile,sigma_v
3530,Wil1,1.8196470756555263,Einasto,W,100,0.05,2.864160810728533e-24
3531,Wil1,1.8196470756555263,Einasto,W,100,0.32,4.580615352482965e-24
3532,Wil1,1.8196470756555263,Einasto,W,100,0.5,5.6020741715821344e-24
3533,Wil1,1.8196470756555263,Einasto,W,100,0.68,6.748704891375175e-24
3534,Wil1,1.8196470756555263,Einasto,W,100,0.95,1.0612966436172545e-23
3535,Wil1,1.8196470756555263,Einasto,W,200,0.05,7.629790451784195e-25
3536,Wil1,1.8196470756555263,Einasto,W,200,0.32,1.2400635080970422e-24
3537,Wil1,1.8196470756555263,Einasto,W,200,0.5,1.5126969294937927e-24
3538,Wil1,1.8196470756555263,Einasto,W,200,0.68,1.859776363568093e-24
3539,Wil1,1.8196470756555263,Einasto,W,200,0.95,2.8221009607715914e-24
3540,Wil1,1.8196470756555263,Einasto,W,500,0.05,5.1453544345315805e-25
3541,Wil1,1.8196470756555263,Einasto,W,500,0.32,8.398741404735693e-25
3542,Wil1,1.8196470756555263,Einasto,W,500,0.5,1.03668553958798e-24
3543,Wil1,1.8196470756555263,Einasto,W,500,0.68,1.2872697681705699e-24
3544,Wil1,1.8196470756555263,Einasto,W,500,0.95,1.944847963976111e-24
3545,Wil1,1.8196470756555263,Einasto,W,1000,0.05,5.384104496249464e-25
3546,Wil1,1.8196470756555263,Einasto,W,1000,0.32,8.754607989993791e-25
3547,Wil1,1.8196470756555263,Einasto,W,1000,0.5,1.0812169414514343e-24
3548,Wil1,1.8196470756555263,Einasto,W,1000,0.68,1.3275405640286192e-24
3549,Wil1,1.8196470756555263,Einasto,W,1000,0.95,2.0255338939785787e-24
3550,Wil1,1.8196470756555263,Einasto,W,5000,0.05,8.915955510846751e-25
3551,Wil1,1.8196470756555263,Einasto,W,5000,0.32,1.454077291111244e-24
3552,Wil1,1.8196470756555263,Einasto,W,5000,0.5,1.816482064336896e-24
3553,Wil1,1.8196470756555263,Einasto,W,5000,0.68,2.2455983257147643e-24
3554,Wil1,1.8196470756555263,Einasto,W,5000,0.95,3.4540977880345554e-24
3555,Wil1,1.8196470756555263,Einasto,W,10000,0.05,1.4025815061053636e-24
3556,Wil1,1.8196470756555263,Einasto,W,10000,0.32,2.2643575169129384e-24
3557,Wil1,1.8196470756555263,Einasto,W,10000,0.5,2.8527579853767928e-24
3558,Wil1,1.8196470756555263,Einasto,W,10000,0.68,3.5233838877058436e-24
3559,Wil1,1.8196470756555263,Einasto,W,10000,0.95,5.414252602816437e-24
3560,Wil1,1.8196470756555263,Einasto,W,50000,0.05,5.1560927807425256e-24
3561,Wil1,1.8196470756555263,Einasto,W,50000,0.32,8.544708738945498e-24
3562,Wil1,1.8196470756555263,Einasto,W,50000,0.5,1.0620112888152948e-23
3563,Wil1,1.8196470756555263,Einasto,W,50000,0.68,1.3336117457184477e-23
3564,Wil1,1.8196470756555263,Einasto,W,50000,0.95,2.067544464015516e-23
3565,Wil1,1.8196470756555263,Einasto,W,100000,0.05,9.961271855722499e-24
3566,Wil1,1.8196470756555263,Einasto,W,100000,0.32,1.6484884032910584e-23
3567,Wil1,1.8196470756555263,Einasto,W,100000,0.5,2.0493707612284256e-23
3568,Wil1,1.8196470756555263,Einasto,W,100000,0.68,2.537167834903681e-23
3569,Wil1,1.8196470756555263,Einasto,W,100000,0.95,4.035251014959599e-23
3570,Wil1,1.8196470756555263,Einasto,Z,100,0.05,4.810122074726223e-24
3571,Wil1,1.8196470756555263,Einasto,Z,100,0.32,7.707001461906696e-24
3572,Wil1,1.8196470756555263,Einasto,Z,100,0.5,9.419178955836265e-24
3573,Wil1,1.8196470756555263,Einasto,Z,100,0.68,1.1325378365552019e-23
3574,Wil1,1.8196470756555263,Einasto,Z,100,0.95,1.7592964178065318e-23
3575,Wil1,1.8196470756555263,Einasto,Z,200,0.05,1.0073873485300671e-24
3576,Wil1,1.8196470756555263,Einasto,Z,200,0.32,1.63950625466573e-24
3577,Wil1,1.8196470756555263,Einasto,Z,200,0.5,2.0075881866438994e-24
3578,Wil1,1.8196470756555263,Einasto,Z,200,0.68,2.4385391869422774e-24
3579,Wil1,1.8196470756555263,Einasto,Z,200,0.95,3.7998870728421146e-24
3580,Wil1,1.8196470756555263,Einasto,Z,500,0.05,6.4721169274405705e-25
3581,Wil1,1.8196470756555263,Einasto,Z,500,0.32,1.0595398735875391e-24
3582,Wil1,1.8196470756555263,Einasto,Z,500,0.5,1.3142070510147503e-24
3583,Wil1,1.8196470756555263,Einasto,Z,500,0.68,1.6249110750415043e-24
3584,Wil1,1.8196470756555263,Einasto,Z,500,0.95,2.438038726001884e-24
3585,Wil1,1.8196470756555263,Einasto,Z,1000,0.05,6.705569719816965e-25
3586,Wil1,1.8196470756555263,Einasto,Z,1000,0.32,1.0948290805783715e-24
3587,Wil1,1.8196470756555263,Einasto,Z,1000,0.5,1.3645749083493048e-24
3588,Wil1,1.8196470756555263,Einasto,Z,1000,0.68,1.673368107135126e-24
3589,Wil1,1.8196470756555263,Einasto,Z,1000,0.95,2.5308419268371703e-24
3590,Wil1,1.8196470756555263,Einasto,Z,5000,0.05,1.1709321409297108e-24
