,name,name2,profile,ch,mass,quantile,sigma_v
0,CBe,Wil1,Einasto,W,100,0.05,4.2046630285698645e-24
1,CBe,Wil1,Einasto,W,100,0.32,7.072365260743921e-24
2,CBe,Wil1,Einasto,W,100,0.5,9.367108506358036e-24
3,CBe,Wil1,Einasto,W,100,0.68,1.4546558806355406e-23
4,CBe,Wil1,Einasto,W,100,0.95,9.41165813892514e-23
5,CBe,Wil1,Einasto,W,200,0.05,1.2862382499385983e-24
6,CBe,Wil1,Einasto,W,200,0.32,2.1262532437809953e-24
7,CBe,Wil1,Einasto,W,200,0.5,3.1582089694366583e-24
8,CBe,Wil1,Einasto,W,200,0.68,5.120695888330097e-24
9,CBe,Wil1,Einasto,W,200,0.95,1.264934444186567e-23
10,CBe,Wil1,Einasto,W,500,0.05,9.373973097285772e-25
11,CBe,Wil1,Einasto,W,500,0.32,1.5136930514891691e-24
12,CBe,Wil1,Einasto,W,500,0.5,2.144928238723592e-24
13,CBe,Wil1,Einasto,W,500,0.68,3.2690363487207924e-24
14,CBe,Wil1,Einasto,W,500,0.95,8.527044281106171e-24
15,CBe,Wil1,Einasto,W,1000,0.05,9.511207417034182e-25
16,CBe,Wil1,Einasto,W,1000,0.32,1.7385399423357588e-24
17,CBe,Wil1,Einasto,W,1000,0.5,2.205786665489197e-24
18,CBe,Wil1,Einasto,W,1000,0.68,3.354346258086664e-24
19,CBe,Wil1,Einasto,W,1000,0.95,1.2184269959876017e-23
20,CBe,Wil1,Einasto,W,5000,0.05,1.7096290318644024e-24
21,CBe,Wil1,Einasto,W,5000,0.32,3.0960139777075493e-24
22,CBe,Wil1,Einasto,W,5000,0.5,4.178336826638451e-24
23,CBe,Wil1,Einasto,W,5000,0.68,5.7774400021611354e-24
24,CBe,Wil1,Einasto,W,5000,0.95,1.7842216585181633e-23
25,CBe,Wil1,Einasto,W,10000,0.05,2.5362617676163198e-24
26,CBe,Wil1,Einasto,W,10000,0.32,4.491290731506181e-24
27,CBe,Wil1,Einasto,W,10000,0.5,6.527677046101135e-24
28,CBe,Wil1,Einasto,W,10000,0.68,9.851763712983928e-24
29,CBe,Wil1,Einasto,W,10000,0.95,2.4468155500518344e-23
30,CBe,Wil1,Einasto,W,50000,0.05,9.777708183746255e-24
31,CBe,Wil1,Einasto,W,50000,0.32,1.7833498480765557e-23
32,CBe,Wil1,Einasto,W,50000,0.5,2.3539641431930677e-23
33,CBe,Wil1,Einasto,W,50000,0.68,3.254113407349961e-23
34,CBe,Wil1,Einasto,W,50000,0.95,1.3683391624637713e-22
35,CBe,Wil1,Einasto,W,100000,0.05,2.0960850215214578e-23
36,CBe,Wil1,Einasto,W,100000,0.32,3.306455568854556e-23
37,CBe,Wil1,Einasto,W,100000,0.5,4.442277630629507e-23
38,CBe,Wil1,Einasto,W,100000,0.68,6.148129623662636e-23
39,CBe,Wil1,Einasto,W,100000,0.95,2.04314800655272e-22
40,CBe,Wil1,Einasto,b,70,0.05,1.1814082722418745e-23
41,CBe,Wil1,Einasto,b,70,0.32,2.057579658036685e-23
42,CBe,Wil1,Einasto,b,70,0.5,3.078435606564688e-23
43,CBe,Wil1,Einasto,b,70,0.68,5.2374797430301453e-23
44,CBe,Wil1,Einasto,b,70,0.95,1.737598326718567e-22
45,CBe,Wil1,Einasto,b,100,0.05,5.1231173419358254e-24
46,CBe,Wil1,Einasto,b,100,0.32,8.259446970783216e-24
47,CBe,Wil1,Einasto,b,100,0.5,1.1292695064292543e-23
48,CBe,Wil1,Einasto,b,100,0.68,1.6794493115341676e-23
49,CBe,Wil1,Einasto,b,100,0.95,1.0640018373349456e-22
50,CBe,Wil1,Einasto,b,200,0.05,1.945147589749981e-24
51,CBe,Wil1,Einasto,b,200,0.32,3.218427720932875e-24
52,CBe,Wil1,Einasto,b,200,0.5,4.582650473376213e-24
53,CBe,Wil1,Einasto,b,200,0.68,6.8912177977298e-24
54,CBe,Wil1,Einasto,b,200,0.95,2.0581766685107442e-23
55,CBe,Wil1,Einasto,b,500,0.05,1.1546695024282723e-24
56,CBe,Wil1,Einasto,b,500,0.32,1.9885843097739183e-24
57,CBe,Wil1,Einasto,b,500,0.5,2.6413540776041303e-24
58,CBe,Wil1,Einasto,b,500,0.68,4.2434204637151066e-24
59,CBe,Wil1,Einasto,b,500,0.95,1.253752265020505e-23
60,CBe,Wil1,Einasto,b,1000,0.05,1.1517909183590768e-24
61,CBe,Wil1,Einasto,b,1000,0.32,1.8798958614627164e-24
62,CBe,Wil1,Einasto,b,1000,0.5,2.4831801136177926e-24
63,CBe,Wil1,Einasto,b,1000,0.68,3.834077379565459e-24
64,CBe,Wil1,Einasto,b,1000,0.95,9.800516864253684e-24
65,CBe,Wil1,Einasto,b,5000,0.05,1.9967440018418385e-24
66,CBe,Wil1,Einasto,b,5000,0.32,3.541823896218301e-24
67,CBe,Wil1,Einasto,b,5000,0.5,5.0892446006553926e-24
68,CBe,Wil1,Einasto,b,5000,0.68,7.681706171000077e-24
69,CBe,Wil1,Einasto,b,5000,0.95,2.564302964059007e-23
70,CBe,Wil1,Einasto,b,10000,0.05,2.6476005762155327e-24
71,CBe,Wil1,Einasto,b,10000,0.32,5.249112308233041e-24
72,CBe,Wil1,Einasto,b,10000,0.5,6.438531368941449e-24
73,CBe,Wil1,Einasto,b,10000,0.68,1.035692039712725e-23
74,CBe,Wil1,Einasto,b,10000,0.95,4.1535016751191214e-23
75,CBe,Wil1,Einasto,b,50000,0.05,7.720778328557831e-24
76,CBe,Wil1,Einasto,b,50000,0.32,1.4750771624592545e-23
77,CBe,Wil1,Einasto,b,50000,0.5,1.9443685454825144e-23
78,CBe,Wil1,Einasto,b,50000,0.68,3.0096190125500705e-23
79,CBe,Wil1,Einasto,b,50000,0.95,1.0185789614781144e-22
80,CBe,Wil1,Einasto,b,100000,0.05,1.5172522211659845e-23
81,CBe,Wil1,Einasto,b,100000,0.32,2.5911689256839462e-23
82,CBe,Wil1,Einasto,b,100000,0.5,3.330023405207593e-23
83,CBe,Wil1,Einasto,b,100000,0.68,4.9093155941061567e-23
84,CBe,Wil1,Einasto,b,100000,0.95,1.7153391066602362e-22
85,CBe,Wil1,Einasto,mu,70,0.05,1.2666858507908751e-24
86,CBe,Wil1,Einasto,mu,70,0.32,2.3392621326191607e-24
87,CBe,Wil1,Einasto,mu,70,0.5,3.446520892499662e-24
88,CBe,Wil1,Einasto,mu,70,0.68,5.4156731311899125e-24
89,CBe,Wil1,Einasto,mu,70,0.95,1.6695157621158104e-23
90,CBe,Wil1,Einasto,mu,100,0.05,1.113293133626449e-24
91,CBe,Wil1,Einasto,mu,100,0.32,1.7343935485008424e-24
92,CBe,Wil1,Einasto,mu,100,0.5,2.4402717079484474e-24
93,CBe,Wil1,Einasto,mu,100,0.68,3.5685059618786765e-24
94,CBe,Wil1,Einasto,mu,100,0.95,1.3149716306994085e-23
95,CBe,Wil1,Einasto,mu,200,0.05,9.575577408978087e-25
96,CBe,Wil1,Einasto,mu,200,0.32,2.0348439900884995e-24
97,CBe,Wil1,Einasto,mu,200,0.5,2.7334283081629206e-24
98,CBe,Wil1,Einasto,mu,200,0.68,3.3990853140280955e-24
99,CBe,Wil1,Einasto,mu,200,0.95,1.1382654287394e-23
100,CBe,Wil1,Einasto,mu,500,0.05,1.5428015820335682e-24
101,CBe,Wil1,Einasto,mu,500,0.32,2.58733485032255e-24
102,CBe,Wil1,Einasto,mu,500,0.5,3.789126309903833e-24
103,CBe,Wil1,Einasto,mu,500,0.68,4.7250431632738875e-24
104,CBe,Wil1,Einasto,mu,500,0.95,2.106359866425014e-23
105,CBe,Wil1,Einasto,mu,1000,0.05,1.5306390038663761e-24
106,CBe,Wil1,Einasto,mu,1000,0.32,2.984525408067396e-24
107,CBe,Wil1,Einasto,mu,1000,0.5,4.1684175446581934e-24
108,CBe,Wil1,Einasto,mu,1000,0.68,6.89223498162893e-24
109,CBe,Wil1,Einasto,mu,1000,0.95,2.0527500917096523e-23
110,CBe,Wil1,Einasto,mu,5000,0.05,3.789945845781971e-24
