,name,profile,ch,mass,quantile,sigma_v
350,RetII,Einasto,W,100,0.05,6.490995058498698e-23
351,RetII,Einasto,W,100,0.32,1.3200423141075149e-22
352,RetII,Einasto,W,100,0.5,1.8941337757922884e-22
353,RetII,Einasto,W,100,0.68,2.9141079169203553e-22
354,RetII,Einasto,W,100,0.95,1.758253897977976e-21
355,RetII,Einasto,W,200,0.05,1.0719076913215902e-23
356,RetII,Einasto,W,200,0.32,2.1883235434209767e-23
357,RetII,Einasto,W,200,0.5,2.943373991671324e-23
358,RetII,Einasto,W,200,0.68,4.420041470474355e-23
359,RetII,Einasto,W,200,0.95,2.4507030621785504e-22
360,RetII,Einasto,W,500,0.05,6.58013799819727e-24
361,RetII,Einasto,W,500,0.32,1.1880970738938557e-23
362,RetII,Einasto,W,500,0.5,1.8127706394632492e-23
363,RetII,Einasto,W,500,0.68,2.810826053108941e-23
364,RetII,Einasto,W,500,0.95,1.2933282129997523e-22
365,RetII,Einasto,W,1000,0.05,6.855573813341769e-24
366,RetII,Einasto,W,1000,0.32,1.2622152679207481e-23
367,RetII,Einasto,W,1000,0.5,1.8675113904758718e-23
368,RetII,Einasto,W,1000,0.68,2.794219733993755e-23
369,RetII,Einasto,W,1000,0.95,1.4640821145984454e-22
370,RetII,Einasto,W,5000,0.05,1.162803764570397e-23
371,RetII,Einasto,W,5000,0.32,2.1567107539938206e-23
372,RetII,Einasto,W,5000,0.5,3.195410056397862e-23
373,RetII,Einasto,W,5000,0.68,4.712182957995819e-23
374,RetII,Einasto,W,5000,0.95,2.4231998648871244e-22
375,RetII,Einasto,W,10000,0.05,1.511339318671931e-23
376,RetII,Einasto,W,10000,0.32,2.768685841641824e-23
377,RetII,Einasto,W,10000,0.5,4.2102969583862174e-23
378,RetII,Einasto,W,10000,0.68,6.806213541455703e-23
379,RetII,Einasto,W,10000,0.95,3.4062624997553325e-22
380,RetII,Einasto,W,50000,0.05,5.543465767158641e-23
