,name,profile,ch,mass,quantile,tau
1050,UMi,Einasto,W,100,0.05,1.478391673380128e+24
1051,UMi,Einasto,W,100,0.32,2.8777225021355443e+24
1052,UMi,Einasto,W,100,0.5,3.771300678080334e+24
1053,UMi,Einasto,W,100,0.68,4.7851127083717456e+24
1054,UMi,Einasto,W,100,0.95,8.352201981248712e+24
1055,UMi,Einasto,W,200,0.05,6.942928624085751e+24
1056,UMi,Einasto,W,200,0.32,1.3664708690324658e+25
1057,UMi,Einasto,W,200,0.5,1.7926249096268218e+25
1058,UMi,Einasto,W,200,0.68,2.341809196248027e+25
1059,UMi,Einasto,W,200,0.95,3.8356928422143796e+25
1060,UMi,Einasto,W,500,0.05,2.7888382686124973e+25
1061,UMi,Einasto,W,500,0.32,5.2587667543985545e+25
1062,UMi,Einasto,W,500,0.5,6.80956939819593e+25
1063,UMi,Einasto,W,500,0.68,8.83385133966465e+25
1064,UMi,Einasto,W,500,0.95,1.5450294414390651e+26
1065,UMi,Einasto,W,1000,0.05,5.020416349416853e+25
1066,UMi,Einasto,W,1000,0.32,9.635556580421094e+25
1067,UMi,Einasto,W,1000,0.5,1.2355942369978794e+26
1068,UMi,Einasto,W,1000,0.68,1.5771209158649722e+26
1069,UMi,Einasto,W,1000,0.95,2.705151563040831e+26
1070,UMi,Einasto,W,5000,0.05,1.946407056473439e+26
1071,UMi,Einasto,W,5000,0.32,4.062818007049322e+26
1072,UMi,Einasto,W,5000,0.5,5.430752638933802e+26
1073,UMi,Einasto,W,5000,0.68,6.89808349431938e+26
1074,UMi,Einasto,W,5000,0.95,1.1994534828178175e+27
1075,UMi,Einasto,W,10000,0.05,2.8726611267403034e+26
1076,UMi,Einasto,W,10000,0.32,5.703218694308879e+26
1077,UMi,Einasto,W,10000,0.5,7.625785143387983e+26
1078,UMi,Einasto,W,10000,0.68,9.732741342307922e+26
1079,UMi,Einasto,W,10000,0.95,1.661980719014221e+27
1080,UMi,Einasto,W,50000,0.05,4.5240214345867295e+26
1081,UMi,Einasto,W,50000,0.32,9.06659820234833e+26
1082,UMi,Einasto,W,50000,0.5,1.2095326712881234e+27
1083,UMi,Einasto,W,50000,0.68,1.5319971808759396e+27
1084,UMi,Einasto,W,50000,0.95,2.6351975906580426e+27
1085,UMi,Einasto,W,100000,0.05,4.978323430423019e+26
1086,UMi,Einasto,W,100000,0.32,9.738044360062146e+26
1087,UMi,Einasto,W,100000,0.5,1.2976297468112707e+27
1088,UMi,Einasto,W,100000,0.68,1.6984131694391653e+27
1089,UMi,Einasto,W,100000,0.95,2.889650057506408e+27
1090,UMi,Einasto,b,70,0.05,3.871181639943061e+23
1091,UMi,Einasto,b,70,0.32,7.907098896507614e+23
1092,UMi,Einasto,b,70,0.5,1.0289315200222017e+24
1093,UMi,Einasto,b,70,0.68,1.2906119873773948e+24
1094,UMi,Einasto,b,70,0.95,2.2642286823934973e+24
1095,UMi,Einasto,b,100,0.05,1.1169049404548552e+24
1096,UMi,Einasto,b,100,0.32,2.2374875689053184e+24
1097,UMi,Einasto,b,100,0.5,2.934112885398608e+24
1098,UMi,Einasto,b,100,0.68,3.710676789690679e+24
1099,UMi,Einasto,b,100,0.95,6.407488047750876e+24
1100,UMi,Einasto,b,200,0.05,4.906843188464318e+24
1101,UMi,Einasto,b,200,0.32,9.385545701235562e+24
1102,UMi,Einasto,b,200,0.5,1.2469010736092575e+25
1103,UMi,Einasto,b,200,0.68,1.6159682282429143e+25
1104,UMi,Einasto,b,200,0.95,2.6490934411701627e+25
1105,UMi,Einasto,b,500,0.05,1.865504639217751e+25
1106,UMi,Einasto,b,500,0.32,3.7883010002711698e+25
1107,UMi,Einasto,b,500,0.5,4.937232624249313e+25
1108,UMi,Einasto,b,500,0.68,6.447547656180533e+25
1109,UMi,Einasto,b,500,0.95,1.10312222693738e+26
1110,UMi,Einasto,b,1000,0.05,4.606489755923304e+25
1111,UMi,Einasto,b,1000,0.32,8.967912764336407e+25
1112,UMi,Einasto,b,1000,0.5,1.1298539427500016e+26
1113,UMi,Einasto,b,1000,0.68,1.4714470241065303e+26
1114,UMi,Einasto,b,1000,0.95,2.621313722698485e+26
1115,UMi,Einasto,b,5000,0.05,1.376345216966141e+26
1116,UMi,Einasto,b,5000,0.32,2.653893321480671e+26
1117,UMi,Einasto,b,5000,0.5,3.4179261241123764e+26
1118,UMi,Einasto,b,5000,0.68,4.4458468320786416e+26
1119,UMi,Einasto,b,5000,0.95,7.641074173836843e+26
1120,UMi,Einasto,b,10000,0.05,2.327715402324423e+26
1121,UMi,Einasto,b,10000,0.32,4.523046968169321e+26
1122,UMi,Einasto,b,10000,0.5,5.797536517137087e+26
