,name,profile,ch,mass,quantile,tau
1225,Wil1,Einasto,W,100,0.05,7.027393578331017e+21
1226,Wil1,Einasto,W,100,0.32,3.6447802143536457e+22
1227,Wil1,Einasto,W,100,0.5,5.99492177590192e+22
1228,Wil1,Einasto,W,100,0.68,8.987299718046207e+22
1229,Wil1,Einasto,W,100,0.95,1.8211767420454612e+23
1230,Wil1,Einasto,W,200,0.05,4.785289486374458e+22
1231,Wil1,Einasto,W,200,0.32,2.5495759972251943e+23
1232,Wil1,Einasto,W,200,0.5,4.006830128031628e+23
1233,Wil1,Einasto,W,200,0.68,6.128683481749769e+23
1234,Wil1,Einasto,W,200,0.95,1.2782417101400131e+24
1235,Wil1,Einasto,W,500,0.05,1.5796939038582617e+23
1236,Wil1,Einasto,W,500,0.32,8.503232288837623e+23
1237,Wil1,Einasto,W,500,0.5,1.3626102291763693e+24
1238,Wil1,Einasto,W,500,0.68,2.1057892681626916e+24
1239,Wil1,Einasto,W,500,0.95,4.351139279837945e+24
1240,Wil1,Einasto,W,1000,0.05,3.102830812360812e+23
1241,Wil1,Einasto,W,1000,0.32,1.5105292982923347e+24
1242,Wil1,Einasto,W,1000,0.5,2.418586916541108e+24
1243,Wil1,Einasto,W,1000,0.68,3.707420884912243e+24
1244,Wil1,Einasto,W,1000,0.95,7.662586457633119e+24
1245,Wil1,Einasto,W,5000,0.05,1.0121429546847377e+24
1246,Wil1,Einasto,W,5000,0.32,4.4526632823905264e+24
1247,Wil1,Einasto,W,5000,0.5,7.295390192330098e+24
1248,Wil1,Einasto,W,5000,0.68,1.049383145009408e+25
1249,Wil1,Einasto,W,5000,0.95,2.1221127513592157e+25
1250,Wil1,Einasto,W,10000,0.05,1.1140795479866521e+24
1251,Wil1,Einasto,W,10000,0.32,5.981546516980452e+24
1252,Wil1,Einasto,W,10000,0.5,9.039218128017077e+24
1253,Wil1,Einasto,W,10000,0.68,1.3437953736655755e+25
1254,Wil1,Einasto,W,10000,0.95,2.728585807991344e+25
1255,Wil1,Einasto,W,50000,0.05,1.4289811269612717e+24
1256,Wil1,Einasto,W,50000,0.32,7.979857479610458e+24
1257,Wil1,Einasto,W,50000,0.5,1.2564127007028858e+25
1258,Wil1,Einasto,W,50000,0.68,1.8377553742402098e+25
1259,Wil1,Einasto,W,50000,0.95,3.700438336512673e+25
1260,Wil1,Einasto,W,100000,0.05,1.373746758850354e+24
1261,Wil1,Einasto,W,100000,0.32,8.400319124561406e+24
1262,Wil1,Einasto,W,100000,0.5,1.307785854202371e+25
1263,Wil1,Einasto,W,100000,0.68,1.9529815873603044e+25
1264,Wil1,Einasto,W,100000,0.95,3.690381632574303e+25
1265,Wil1,Einasto,b,70,0.05,1.7522549798882037e+21
1266,Wil1,Einasto,b,70,0.32,9.214730858344196e+21
1267,Wil1,Einasto,b,70,0.5,1.519374336400926e+22
1268,Wil1,Einasto,b,70,0.68,2.256721433156982e+22
1269,Wil1,Einasto,b,70,0.95,4.705316329833897e+22
1270,Wil1,Einasto,b,100,0.05,5.73126774415451e+21
1271,Wil1,Einasto,b,100,0.32,3.0458205078194466e+22
1272,Wil1,Einasto,b,100,0.5,4.946648388279194e+22
1273,Wil1,Einasto,b,100,0.68,7.389144588577791e+22
1274,Wil1,Einasto,b,100,0.95,1.4956424087322756e+23
1275,Wil1,Einasto,b,200,0.05,3.064513303795772e+22
1276,Wil1,Einasto,b,200,0.32,1.632878679967042e+23
1277,Wil1,Einasto,b,200,0.5,2.602994473956351e+23
1278,Wil1,Einasto,b,200,0.68,4.048477389606422e+23
1279,Wil1,Einasto,b,200,0.95,8.113976470384685e+23
