,name,profile,ch,mass,quantile,tau
0,CBe,Burkert,b,70,0.05,1.98103207584773e+25
1,CBe,Burkert,b,70,0.32,2.2186558938952193e+25
2,CBe,Burkert,b,70,0.5,2.3758580375123458e+25
3,CBe,Burkert,b,70,0.68,2.5435488270632615e+25
4,CBe,Burkert,b,70,0.95,3.127159061931822e+25
5,CBe,Burkert,b,100,0.05,6.427079230479306e+25
6,CBe,Burkert,b,100,0.32,7.189598575643197e+25
7,CBe,Burkert,b,100,0.5,7.6055754279227156e+25
8,CBe,Burkert,b,100,0.68,8.071731427915857e+25
9,CBe,Burkert,b,100,0.95,9.501832314295204e+25
10,CBe,Burkert,b,200,0.05,3.402092438229932e+26
11,CBe,Burkert,b,200,0.32,3.8841853419689685e+26
12,CBe,Burkert,b,200,0.5,4.050537709195477e+26
13,CBe,Burkert,b,200,0.68,4.242038572591713e+26
14,CBe,Burkert,b,200,0.95,4.71141941156333e+26
15,CBe,Burkert,b,500,0.05,1.334324173465143e+27
16,CBe,Burkert,b,500,0.32,1.550708954329696e+27
17,CBe,Burkert,b,500,0.5,1.6292873970948579e+27
18,CBe,Burkert,b,500,0.68,1.731246827567446e+27
19,CBe,Burkert,b,500,0.95,2.0248972097169547e+27
20,CBe,Burkert,b,1000,0.05,2.68178136614355e+27
21,CBe,Burkert,b,1000,0.32,3.0435299089606535e+27
22,CBe,Burkert,b,1000,0.5,3.2353443230841754e+27
23,CBe,Burkert,b,1000,0.68,3.432047771994674e+27
24,CBe,Burkert,b,1000,0.95,4.071608338893258e+27
25,CBe,Burkert,b,5000,0.05,6.434757508768804e+27
26,CBe,Burkert,b,5000,0.32,7.319501505714897e+27
27,CBe,Burkert,b,5000,0.5,7.774970216169671e+27
28,CBe,Burkert,b,5000,0.68,8.30005657580279e+27
29,CBe,Burkert,b,5000,0.95,9.859820004045654e+27
30,CBe,Burkert,b,10000,0.05,8.246458947777796e+27
31,CBe,Burkert,b,10000,0.32,9.916253229510411e+27
32,CBe,Burkert,b,10000,0.5,1.085185494156066e+28
33,CBe,Burkert,b,10000,0.68,1.1973582282213029e+28
34,CBe,Burkert,b,10000,0.95,1.527106005925359e+28
35,CBe,Burkert,b,50000,0.05,1.343319037054089e+28
36,CBe,Burkert,b,50000,0.32,1.6596667537257712e+28
37,CBe,Burkert,b,50000,0.5,1.9213801047992853e+28
