,name,profile,ch,mass,quantile,tau
135,CBe,Einasto,b,70,0.05,1.8069316398981776e+24
136,CBe,Einasto,b,70,0.32,2.0703893779875756e+24
137,CBe,Einasto,b,70,0.5,2.2003904895519572e+24
138,CBe,Einasto,b,70,0.68,2.3689488026345917e+24
139,CBe,Einasto,b,70,0.95,2.909231302329208e+24
140,CBe,Einasto,b,100,0.05,5.713442379282964e+24
141,CBe,Einasto,b,100,0.32,6.655556907486373e+24
142,CBe,Einasto,b,100,0.5,7.098745043153887e+24
143,CBe,Einasto,b,100,0.68,7.515863475420975e+24
144,CBe,Einasto,b,100,0.95,9.084193956647458e+24
145,CBe,Einasto,b,200,0.05,3.0706389284951413e+25
146,CBe,Einasto,b,200,0.32,3.562248519872946e+25
147,CBe,Einasto,b,200,0.5,3.7710112693202207e+25
148,CBe,Einasto,b,200,0.68,3.968554454406266e+25
149,CBe,Einasto,b,200,0.95,4.6346755670392235e+25
150,CBe,Einasto,b,500,0.05,1.2836491418351163e+26
151,CBe,Einasto,b,500,0.32,1.4564344370994541e+26
152,CBe,Einasto,b,500,0.5,1.5386564480359438e+26
153,CBe,Einasto,b,500,0.68,1.6529566047108572e+26
154,CBe,Einasto,b,500,0.95,1.9425256386303112e+26
155,CBe,Einasto,b,1000,0.05,2.5082201637877535e+26
156,CBe,Einasto,b,1000,0.32,2.7896353819245505e+26
157,CBe,Einasto,b,1000,0.5,3.003260990001534e+26
158,CBe,Einasto,b,1000,0.68,3.213247623592851e+26
159,CBe,Einasto,b,1000,0.95,3.868217752347485e+26
160,CBe,Einasto,b,5000,0.05,5.8384862813675134e+26
161,CBe,Einasto,b,5000,0.32,6.780728090695902e+26
162,CBe,Einasto,b,5000,0.5,7.19075095422834e+26
163,CBe,Einasto,b,5000,0.68,7.636732087205095e+26
164,CBe,Einasto,b,5000,0.95,9.629287106864962e+26
165,CBe,Einasto,b,10000,0.05,7.76030392639071e+26
166,CBe,Einasto,b,10000,0.32,8.905971690433982e+26
167,CBe,Einasto,b,10000,0.5,9.72569462141994e+26
168,CBe,Einasto,b,10000,0.68,1.0696254341269849e+27
169,CBe,Einasto,b,10000,0.95,1.370452206883529e+27
170,CBe,Einasto,b,50000,0.05,1.1799793581413819e+27
