,src1,src2,profile,ch,mass,quantile,sigma_v
0,CBe,Wil1,Burkert,W,100,0.05,9.725779691722022e-26
1,CBe,Wil1,Burkert,W,100,0.32,1.1933770982357669e-25
2,CBe,Wil1,Burkert,W,100,0.5,1.2911247948903903e-25
3,CBe,Wil1,Burkert,W,100,0.68,1.390687244298763e-25
4,CBe,Wil1,Burkert,W,100,0.95,1.7370337062380989e-25
5,CBe,Wil1,Burkert,W,200,0.05,3.677416231574508e-26
6,CBe,Wil1,Burkert,W,200,0.32,4.3291151729691407e-26
7,CBe,Wil1,Burkert,W,200,0.5,4.56722541170646e-26
8,CBe,Wil1,Burkert,W,200,0.68,4.797987510949357e-26
9,CBe,Wil1,Burkert,W,200,0.95,5.757284259131403e-26
10,CBe,Wil1,Burkert,W,500,0.05,3.0344382032410407e-26
11,CBe,Wil1,Burkert,W,500,0.32,3.47273485215072e-26
12,CBe,Wil1,Burkert,W,500,0.5,3.6957173279595996e-26
13,CBe,Wil1,Burkert,W,500,0.68,3.908166119949492e-26
14,CBe,Wil1,Burkert,W,500,0.95,4.636194946896041e-26
15,CBe,Wil1,Burkert,W,1000,0.05,3.349513196111154e-26
16,CBe,Wil1,Burkert,W,1000,0.32,3.871260795134355e-26
17,CBe,Wil1,Burkert,W,1000,0.5,4.092509196837575e-26
18,CBe,Wil1,Burkert,W,1000,0.68,4.341860490158165e-26
19,CBe,Wil1,Burkert,W,1000,0.95,5.134362143825762e-26
20,CBe,Wil1,Burkert,W,5000,0.05,4.9664411212315983e-26
21,CBe,Wil1,Burkert,W,5000,0.32,6.371438201250316e-26
22,CBe,Wil1,Burkert,W,5000,0.5,7.105367009371292e-26
23,CBe,Wil1,Burkert,W,5000,0.68,7.77808248563949e-26
24,CBe,Wil1,Burkert,W,5000,0.95,1.1207484239593889e-25
25,CBe,Wil1,Burkert,W,10000,0.05,7.063009653387752e-26
26,CBe,Wil1,Burkert,W,10000,0.32,9.604939297025232e-26
27,CBe,Wil1,Burkert,W,10000,0.5,1.0771087790282654e-25
28,CBe,Wil1,Burkert,W,10000,0.68,1.2158615820439817e-25
29,CBe,Wil1,Burkert,W,10000,0.95,1.7851352125430935e-25
30,CBe,Wil1,Burkert,W,50000,0.05,2.284353939187529e-25
31,CBe,Wil1,Burkert,W,50000,0.32,3.3076271649716246e-25
32,CBe,Wil1,Burkert,W,50000,0.5,3.883714606570271e-25
33,CBe,Wil1,Burkert,W,50000,0.68,4.529149931943944e-25
34,CBe,Wil1,Burkert,W,50000,0.95,6.76064055275675e-25
35,CBe,Wil1,Burkert,W,100000,0.05,4.255228141754234e-25
36,CBe,Wil1,Burkert,W,100000,0.32,6.366378206624604e-25
37,CBe,Wil1,Burkert,W,100000,0.5,7.649393886945205e-25
38,CBe,Wil1,Burkert,W,100000,0.68,8.996031361693113e-25
39,CBe,Wil1,Burkert,W,100000,0.95,1.4315303634486576e-24
40,CBe,Wil1,Burkert,b,70,0.05,2.4793610088950243e-25
41,CBe,Wil1,Burkert,b,70,0.32,3.151581988858731e-25
42,CBe,Wil1,Burkert,b,70,0.5,3.4418441121521866e-25
43,CBe,Wil1,Burkert,b,70,0.68,3.711696094741464e-25
44,CBe,Wil1,Burkert,b,70,0.95,4.758578576042146e-25
45,CBe,Wil1,Burkert,b,100,0.05,1.1885451735791869e-25
46,CBe,Wil1,Burkert,b,100,0.32,1.4487040914827742e-25
47,CBe,Wil1,Burkert,b,100,0.5,1.5611743866363238e-25
48,CBe,Wil1,Burkert,b,100,0.68,1.6723059941327352e-25
49,CBe,Wil1,Burkert,b,100,0.95,2.0816393836735296e-25
50,CBe,Wil1,Burkert,b,200,0.05,5.1363952565704916e-26
51,CBe,Wil1,Burkert,b,200,0.32,6.002026518179425e-26
52,CBe,Wil1,Burkert,b,200,0.5,6.345160359513876e-26
53,CBe,Wil1,Burkert,b,200,0.68,6.711522565384217e-26
54,CBe,Wil1,Burkert,b,200,0.95,7.763642468037084e-26
55,CBe,Wil1,Burkert,b,500,0.05,3.4631615192002967e-26
56,CBe,Wil1,Burkert,b,500,0.32,4.024137584601357e-26
57,CBe,Wil1,Burkert,b,500,0.5,4.268775080850288e-26
58,CBe,Wil1,Burkert,b,500,0.68,4.4827962778496556e-26
59,CBe,Wil1,Burkert,b,500,0.95,5.253205136835896e-26
60,CBe,Wil1,Burkert,b,1000,0.05,3.513815912317353e-26
61,CBe,Wil1,Burkert,b,1000,0.32,4.093490633231708e-26
62,CBe,Wil1,Burkert,b,1000,0.5,4.412873500833956e-26
63,CBe,Wil1,Burkert,b,1000,0.68,4.6978950019395117e-26
64,CBe,Wil1,Burkert,b,1000,0.95,5.726229613185381e-26
65,CBe,Wil1,Burkert,b,5000,0.05,6.094452820035045e-26
66,CBe,Wil1,Burkert,b,5000,0.32,7.364543881687893e-26
67,CBe,Wil1,Burkert,b,5000,0.5,7.931579213205342e-26
68,CBe,Wil1,Burkert,b,5000,0.68,8.526724784632462e-26
69,CBe,Wil1,Burkert,b,5000,0.95,1.3512014133221458e-25
70,CBe,Wil1,Burkert,b,10000,0.05,8.119715793395292e-26
71,CBe,Wil1,Burkert,b,10000,0.32,1.0385979070773044e-25
72,CBe,Wil1,Burkert,b,10000,0.5,1.1432101810838074e-25
73,CBe,Wil1,Burkert,b,10000,0.68,1.2423960597108385e-25
74,CBe,Wil1,Burkert,b,10000,0.95,1.8144770802296924e-25
75,CBe,Wil1,Burkert,b,50000,0.05,1.90381569086279e-25
76,CBe,Wil1,Burkert,b,50000,0.32,2.761942891646176e-25
77,CBe,Wil1,Burkert,b,50000,0.5,3.1944047940130552e-25
78,CBe,Wil1,Burkert,b,50000,0.68,3.730596679762761e-25
79,CBe,Wil1,Burkert,b,50000,0.95,5.409408788075564e-25
80,CBe,Wil1,Burkert,b,100000,0.05,3.334197412042802e-25
81,CBe,Wil1,Burkert,b,100000,0.32,4.9627787005209565e-25
82,CBe,Wil1,Burkert,b,100000,0.5,5.881843064777464e-25
83,CBe,Wil1,Burkert,b,100000,0.68,6.888229640124561e-25
84,CBe,Wil1,Burkert,b,100000,0.95,1.058032678103845e-24
85,CBe,Wil1,Burkert,mu,70,0.05,3.457697100708836e-26
86,CBe,Wil1,Burkert,mu,70,0.32,4.244993165110257e-26
87,CBe,Wil1,Burkert,mu,70,0.5,4.591477225310777e-26
88,CBe,Wil1,Burkert,mu,70,0.68,4.945067756011477e-26
89,CBe,Wil1,Burkert,mu,70,0.95,6.095835295349599e-26
90,CBe,Wil1,Burkert,mu,100,0.05,3.002215406403531e-26
91,CBe,Wil1,Burkert,mu,100,0.32,3.731475350849208e-26
92,CBe,Wil1,Burkert,mu,100,0.5,4.0495505079595406e-26
93,CBe,Wil1,Burkert,mu,100,0.68,4.393019815239987e-26
94,CBe,Wil1,Burkert,mu,100,0.95,5.507568045269999e-26
95,CBe,Wil1,Burkert,mu,200,0.05,2.9694247566870483e-26
96,CBe,Wil1,Burkert,mu,200,0.32,3.754267556034972e-26
97,CBe,Wil1,Burkert,mu,200,0.5,4.156169583920549e-26
98,CBe,Wil1,Burkert,mu,200,0.68,4.588892309424445e-26
99,CBe,Wil1,Burkert,mu,200,0.95,5.887832403751828e-26
100,CBe,Wil1,Burkert,mu,500,0.05,3.9142383352295606e-26
101,CBe,Wil1,Burkert,mu,500,0.32,5.017654444419501e-26
102,CBe,Wil1,Burkert,mu,500,0.5,5.548948879542766e-26
103,CBe,Wil1,Burkert,mu,500,0.68,6.145145558209747e-26
104,CBe,Wil1,Burkert,mu,500,0.95,8.85722594485073e-26
105,CBe,Wil1,Burkert,mu,1000,0.05,4.641891947000626e-26
106,CBe,Wil1,Burkert,mu,1000,0.32,6.26978030960119e-26
107,CBe,Wil1,Burkert,mu,1000,0.5,7.185685437745587e-26
108,CBe,Wil1,Burkert,mu,1000,0.68,8.206977714450163e-26
109,CBe,Wil1,Burkert,mu,1000,0.95,1.1522957325944482e-25
110,CBe,Wil1,Burkert,mu,5000,0.05,9.62157728294306e-26
111,CBe,Wil1,Burkert,mu,5000,0.32,1.4009694302986085e-25
112,CBe,Wil1,Burkert,mu,5000,0.5,1.7114417007709328e-25
113,CBe,Wil1,Burkert,mu,5000,0.68,2.0887763969557257e-25
114,CBe,Wil1,Burkert,mu,5000,0.95,3.1362663913931507e-25
115,CBe,Wil1,Burkert,mu,10000,0.05,1.8063871195704428e-25
116,CBe,Wil1,Burkert,mu,10000,0.32,2.7626039088383594e-25
117,CBe,Wil1,Burkert,mu,10000,0.5,3.361141943378879e-25
118,CBe,Wil1,Burkert,mu,10000,0.68,4.075805501827386e-25
119,CBe,Wil1,Burkert,mu,10000,0.95,6.39781069921379e-25
120,CBe,Wil1,Burkert,mu,50000,0.05,1.3989526903949806e-24
121,CBe,Wil1,Burkert,mu,50000,0.32,2.1507546680032144e-24
122,CBe,Wil1,Burkert,mu,50000,0.5,2.5612089288651966e-24
123,CBe,Wil1,Burkert,mu,50000,0.68,3.0947196109496372e-24
124,CBe,Wil1,Burkert,mu,50000,0.95,5.047238649180591e-24
125,CBe,Wil1,Burkert,mu,100000,0.05,3.966683209996453e-24
126,CBe,Wil1,Burkert,mu,100000,0.32,6.159996928073851e-24
127,CBe,Wil1,Burkert,mu,100000,0.5,7.370884392987783e-24
128,CBe,Wil1,Burkert,mu,100000,0.68,9.000608325994724e-24
129,CBe,Wil1,Burkert,mu,100000,0.95,1.416277218247445e-23
130,CBe,Wil1,Burkert,tau,70,0.05,1.8123525155769143e-26
131,CBe,Wil1,Burkert,tau,70,0.32,2.0267677198571864e-26
132,CBe,Wil1,Burkert,tau,70,0.5,2.1353280179235086e-26
133,CBe,Wil1,Burkert,tau,70,0.68,2.251480121629551e-26
134,CBe,Wil1,Burkert,tau,70,0.95,2.498099979937884e-26
135,CBe,Wil1,Burkert,tau,100,0.05,1.5571195611349822e-26
136,CBe,Wil1,Burkert,tau,100,0.32,1.7106000486962654e-26
137,CBe,Wil1,Burkert,tau,100,0.5,1.778970399115256e-26
138,CBe,Wil1,Burkert,tau,100,0.68,1.845162337729198e-26
139,CBe,Wil1,Burkert,tau,100,0.95,2.0125417952568838e-26
140,CBe,Wil1,Burkert,tau,200,0.05,1.4125664363476409e-26
141,CBe,Wil1,Burkert,tau,200,0.32,1.5271112202457122e-26
142,CBe,Wil1,Burkert,tau,200,0.5,1.5866180960551389e-26
143,CBe,Wil1,Burkert,tau,200,0.68,1.6512098203737992e-26
144,CBe,Wil1,Burkert,tau,200,0.95,1.8547814936260243e-26
145,CBe,Wil1,Burkert,tau,500,0.05,1.5724877207520323e-26
146,CBe,Wil1,Burkert,tau,500,0.32,1.749881820947177e-26
147,CBe,Wil1,Burkert,tau,500,0.5,1.846721383678068e-26
148,CBe,Wil1,Burkert,tau,500,0.68,1.9540194937014462e-26
149,CBe,Wil1,Burkert,tau,500,0.95,2.249051296586234e-26
150,CBe,Wil1,Burkert,tau,1000,0.05,1.834091249705104e-26
151,CBe,Wil1,Burkert,tau,1000,0.32,2.0943850984908274e-26
152,CBe,Wil1,Burkert,tau,1000,0.5,2.236995285787002e-26
153,CBe,Wil1,Burkert,tau,1000,0.68,2.3922501116447143e-26
154,CBe,Wil1,Burkert,tau,1000,0.95,2.8510634529010927e-26
155,CBe,Wil1,Burkert,tau,5000,0.05,2.900583541645699e-26
156,CBe,Wil1,Burkert,tau,5000,0.32,3.805346152635858e-26
157,CBe,Wil1,Burkert,tau,5000,0.5,4.440176817653296e-26
158,CBe,Wil1,Burkert,tau,5000,0.68,5.096602442110048e-26
159,CBe,Wil1,Burkert,tau,5000,0.95,7.325198381326416e-26
160,CBe,Wil1,Burkert,tau,10000,0.05,4.273511545285204e-26
161,CBe,Wil1,Burkert,tau,10000,0.32,5.992870532469429e-26
162,CBe,Wil1,Burkert,tau,10000,0.5,7.265395733630729e-26
163,CBe,Wil1,Burkert,tau,10000,0.68,8.68494039666799e-26
164,CBe,Wil1,Burkert,tau,10000,0.95,1.2568767894883004e-25
165,CBe,Wil1,Burkert,tau,50000,0.05,2.6070215705401333e-25
166,CBe,Wil1,Burkert,tau,50000,0.32,4.0727626763277336e-25
167,CBe,Wil1,Burkert,tau,50000,0.5,4.860393344296452e-25
168,CBe,Wil1,Burkert,tau,50000,0.68,5.940156704227715e-25
169,CBe,Wil1,Burkert,tau,50000,0.95,9.422103291760361e-25
170,CBe,Wil1,Burkert,tau,100000,0.05,7.3093209082004265e-25
171,CBe,Wil1,Burkert,tau,100000,0.32,1.1638782976041971e-24
172,CBe,Wil1,Burkert,tau,100000,0.5,1.4018268419873934e-24
173,CBe,Wil1,Burkert,tau,100000,0.68,1.706021083585747e-24
174,CBe,Wil1,Burkert,tau,100000,0.95,2.696166402673333e-24
175,CBe,Wil1,Einasto,W,100,0.05,1.3720149877247702e-24
176,CBe,Wil1,Einasto,W,100,0.32,2.0757204370710113e-24
177,CBe,Wil1,Einasto,W,100,0.5,2.465435445349667e-24
178,CBe,Wil1,Einasto,W,100,0.68,2.9054082833304272e-24
179,CBe,Wil1,Einasto,W,100,0.95,4.284905953221893e-24
180,CBe,Wil1,Einasto,W,200,0.05,3.902701918258925e-25
181,CBe,Wil1,Einasto,W,200,0.32,5.989478565549679e-25
182,CBe,Wil1,Einasto,W,200,0.5,7.06442216824714e-25
183,CBe,Wil1,Einasto,W,200,0.68,8.423280360187055e-25
184,CBe,Wil1,Einasto,W,200,0.95,1.2434225731268771e-24
185,CBe,Wil1,Einasto,W,500,0.05,2.8427439012561422e-25
186,CBe,Wil1,Einasto,W,500,0.32,4.191895866891075e-25
187,CBe,Wil1,Einasto,W,500,0.5,5.0175428085943115e-25
188,CBe,Wil1,Einasto,W,500,0.68,5.9290937356174165e-25
189,CBe,Wil1,Einasto,W,500,0.95,9.056796747543274e-25
