,name,jfactor,profile,ch,mass,quantile,sigma_v
2000,SgrII,1.070590976633129,Einasto,W,100,0.05,1.5074803394996086e-23
2001,SgrII,1.070590976633129,Einasto,W,100,0.32,2.477589062190972e-23
2002,SgrII,1.070590976633129,Einasto,W,100,0.5,3.056406588373028e-23
2003,SgrII,1.070590976633129,Einasto,W,100,0.68,3.787937716467786e-23
2004,SgrII,1.070590976633129,Einasto,W,100,0.95,5.770898457547457e-23
2005,SgrII,1.070590976633129,Einasto,W,200,0.05,2.34065549248926e-24
2006,SgrII,1.070590976633129,Einasto,W,200,0.32,3.818186904423991e-24
2007,SgrII,1.070590976633129,Einasto,W,200,0.5,4.7552873939206666e-24
2008,SgrII,1.070590976633129,Einasto,W,200,0.68,5.8589573872611145e-24
2009,SgrII,1.070590976633129,Einasto,W,200,0.95,8.601736543184499e-24
2010,SgrII,1.070590976633129,Einasto,W,500,0.05,1.3440427591415318e-24
2011,SgrII,1.070590976633129,Einasto,W,500,0.32,2.222884775507967e-24
2012,SgrII,1.070590976633129,Einasto,W,500,0.5,2.7448904476607967e-24
2013,SgrII,1.070590976633129,Einasto,W,500,0.68,3.3702175108865774e-24
2014,SgrII,1.070590976633129,Einasto,W,500,0.95,5.18455550908571e-24
2015,SgrII,1.070590976633129,Einasto,W,1000,0.05,1.347246084246103e-24
2016,SgrII,1.070590976633129,Einasto,W,1000,0.32,2.217983134982687e-24
2017,SgrII,1.070590976633129,Einasto,W,1000,0.5,2.78045826361846e-24
2018,SgrII,1.070590976633129,Einasto,W,1000,0.68,3.4065263177064004e-24
2019,SgrII,1.070590976633129,Einasto,W,1000,0.95,5.214795047759887e-24
2020,SgrII,1.070590976633129,Einasto,W,5000,0.05,2.071093118264186e-24
2021,SgrII,1.070590976633129,Einasto,W,5000,0.32,3.423577657626193e-24
2022,SgrII,1.070590976633129,Einasto,W,5000,0.5,4.2458441344350476e-24
2023,SgrII,1.070590976633129,Einasto,W,5000,0.68,5.2154101154588e-24
2024,SgrII,1.070590976633129,Einasto,W,5000,0.95,7.803503102654583e-24
2025,SgrII,1.070590976633129,Einasto,W,10000,0.05,2.8827832733731213e-24
2026,SgrII,1.070590976633129,Einasto,W,10000,0.32,4.745142440405923e-24
2027,SgrII,1.070590976633129,Einasto,W,10000,0.5,5.895176877453802e-24
2028,SgrII,1.070590976633129,Einasto,W,10000,0.68,7.245292711740961e-24
2029,SgrII,1.070590976633129,Einasto,W,10000,0.95,1.1270144405244643e-23
2030,SgrII,1.070590976633129,Einasto,W,50000,0.05,1.066797713151664e-23
2031,SgrII,1.070590976633129,Einasto,W,50000,0.32,1.7500138473403698e-23
2032,SgrII,1.070590976633129,Einasto,W,50000,0.5,2.1713654699151322e-23
2033,SgrII,1.070590976633129,Einasto,W,50000,0.68,2.702239902268173e-23
2034,SgrII,1.070590976633129,Einasto,W,50000,0.95,4.1412450492148363e-23
2035,SgrII,1.070590976633129,Einasto,W,100000,0.05,1.9780982432378443e-23
2036,SgrII,1.070590976633129,Einasto,W,100000,0.32,3.240587653737706e-23
2037,SgrII,1.070590976633129,Einasto,W,100000,0.5,4.048608801502616e-23
2038,SgrII,1.070590976633129,Einasto,W,100000,0.68,5.049100509145458e-23
2039,SgrII,1.070590976633129,Einasto,W,100000,0.95,7.714800399876179e-23
2040,SgrII,1.070590976633129,Einasto,Z,100,0.05,2.7658825812766893e-23
2041,SgrII,1.070590976633129,Einasto,Z,100,0.32,4.4471952114671563e-23
2042,SgrII,1.070590976633129,Einasto,Z,100,0.5,5.390952626543417e-23
2043,SgrII,1.070590976633129,Einasto,Z,100,0.68,6.589078142496721e-23
2044,SgrII,1.070590976633129,Einasto,Z,100,0.95,9.245514419168284e-23
2045,SgrII,1.070590976633129,Einasto,Z,200,0.05,3.311980667625861e-24
2046,SgrII,1.070590976633129,Einasto,Z,200,0.32,5.3647282625814825e-24
2047,SgrII,1.070590976633129,Einasto,Z,200,0.5,6.719704509490917e-24
2048,SgrII,1.070590976633129,Einasto,Z,200,0.68,8.299107784182645e-24
2049,SgrII,1.070590976633129,Einasto,Z,200,0.95,1.1988045186757633e-23
2050,SgrII,1.070590976633129,Einasto,Z,500,0.05,1.7142616534591977e-24
2051,SgrII,1.070590976633129,Einasto,Z,500,0.32,2.8455555265733513e-24
2052,SgrII,1.070590976633129,Einasto,Z,500,0.5,3.5372172892383396e-24
2053,SgrII,1.070590976633129,Einasto,Z,500,0.68,4.3417446968249276e-24
2054,SgrII,1.070590976633129,Einasto,Z,500,0.95,6.581391010693155e-24
2055,SgrII,1.070590976633129,Einasto,Z,1000,0.05,1.7126068391855725e-24
2056,SgrII,1.070590976633129,Einasto,Z,1000,0.32,2.8360802250308877e-24
2057,SgrII,1.070590976633129,Einasto,Z,1000,0.5,3.511116287789369e-24
2058,SgrII,1.070590976633129,Einasto,Z,1000,0.68,4.3047755965775995e-24
2059,SgrII,1.070590976633129,Einasto,Z,1000,0.95,6.619874091467622e-24
2060,SgrII,1.070590976633129,Einasto,Z,5000,0.05,2.8374041123463805e-24
2061,SgrII,1.070590976633129,Einasto,Z,5000,0.32,4.698804517649874e-24
2062,SgrII,1.070590976633129,Einasto,Z,5000,0.5,5.8278141061843125e-24
2063,SgrII,1.070590976633129,Einasto,Z,5000,0.68,7.145112405412622e-24
2064,SgrII,1.070590976633129,Einasto,Z,5000,0.95,1.0950884619547437e-23
2065,SgrII,1.070590976633129,Einasto,Z,10000,0.05,3.904322882600985e-24
2066,SgrII,1.070590976633129,Einasto,Z,10000,0.32,6.4201617643918414e-24
2067,SgrII,1.070590976633129,Einasto,Z,10000,0.5,8.03335967278476e-24
2068,SgrII,1.070590976633129,Einasto,Z,10000,0.68,9.845075825419747e-24
2069,SgrII,1.070590976633129,Einasto,Z,10000,0.95,1.524596684132218e-23
2070,SgrII,1.070590976633129,Einasto,Z,50000,0.05,1.1081083872451741e-23
2071,SgrII,1.070590976633129,Einasto,Z,50000,0.32,1.8409010766700825e-23
2072,SgrII,1.070590976633129,Einasto,Z,50000,0.5,2.2871140107827358e-23
2073,SgrII,1.070590976633129,Einasto,Z,50000,0.68,2.839376731220875e-23
2074,SgrII,1.070590976633129,Einasto,Z,50000,0.95,4.364863179888626e-23
2075,SgrII,1.070590976633129,Einasto,Z,100000,0.05,1.975326881581272e-23
2076,SgrII,1.070590976633129,Einasto,Z,100000,0.32,3.25177703119023e-23
2077,SgrII,1.070590976633129,Einasto,Z,100000,0.5,4.040432920300029e-23
2078,SgrII,1.070590976633129,Einasto,Z,100000,0.68,5.0548141806875864e-23
2079,SgrII,1.070590976633129,Einasto,Z,100000,0.95,7.639289867033731e-23
2080,SgrII,1.070590976633129,Einasto,b,70,0.05,4.65766663101076e-23
2081,SgrII,1.070590976633129,Einasto,b,70,0.32,7.436627455347245e-23
2082,SgrII,1.070590976633129,Einasto,b,70,0.5,9.022991801265028e-23
2083,SgrII,1.070590976633129,Einasto,b,70,0.68,1.0914259700728835e-22
2084,SgrII,1.070590976633129,Einasto,b,70,0.95,1.9271881090110872e-22
2085,SgrII,1.070590976633129,Einasto,b,100,0.05,1.6966223309502137e-23
2086,SgrII,1.070590976633129,Einasto,b,100,0.32,2.7566222374003017e-23
2087,SgrII,1.070590976633129,Einasto,b,100,0.5,3.398759249032923e-23
2088,SgrII,1.070590976633129,Einasto,b,100,0.68,4.2165193580307383e-23
