,name,profile,ch,mass,quantile,tau
2025,Wil1,Einasto,b,70,0.05,1.525904398856181e+23
2026,Wil1,Einasto,b,70,0.32,1.9594508573356478e+23
2027,Wil1,Einasto,b,70,0.5,2.2202223621277553e+23
2028,Wil1,Einasto,b,70,0.68,2.5498614887058788e+23
2029,Wil1,Einasto,b,70,0.95,3.725867001949621e+23
2030,Wil1,Einasto,b,100,0.05,5.025544295900606e+23
2031,Wil1,Einasto,b,100,0.32,6.350769035834489e+23
2032,Wil1,Einasto,b,100,0.5,7.328024792468284e+23
2033,Wil1,Einasto,b,100,0.68,8.589393879638707e+23
2034,Wil1,Einasto,b,100,0.95,1.201609949461871e+24
2035,Wil1,Einasto,b,200,0.05,2.7840675861712724e+24
2036,Wil1,Einasto,b,200,0.32,3.4716622870682956e+24
2037,Wil1,Einasto,b,200,0.5,3.898261468390061e+24
2038,Wil1,Einasto,b,200,0.68,4.604520745045745e+24
2039,Wil1,Einasto,b,200,0.95,6.664979872723986e+24
2040,Wil1,Einasto,b,500,0.05,1.0200695749685574e+25
2041,Wil1,Einasto,b,500,0.32,1.399337877766935e+25
2042,Wil1,Einasto,b,500,0.5,1.59438386334211e+25
2043,Wil1,Einasto,b,500,0.68,1.8746878193850148e+25
2044,Wil1,Einasto,b,500,0.95,2.6657545283343386e+25
2045,Wil1,Einasto,b,1000,0.05,2.1701108649573206e+25
2046,Wil1,Einasto,b,1000,0.32,2.7454629732111054e+25
2047,Wil1,Einasto,b,1000,0.5,3.0848706600659015e+25
2048,Wil1,Einasto,b,1000,0.68,3.5964769472815997e+25
2049,Wil1,Einasto,b,1000,0.95,5.231153272859632e+25
2050,Wil1,Einasto,b,5000,0.05,5.365866421134072e+25
2051,Wil1,Einasto,b,5000,0.32,6.735899796391382e+25
2052,Wil1,Einasto,b,5000,0.5,7.688515880909716e+25
2053,Wil1,Einasto,b,5000,0.68,8.854454768331298e+25
2054,Wil1,Einasto,b,5000,0.95,1.2284238386788182e+26
2055,Wil1,Einasto,b,10000,0.05,6.785095562658219e+25
2056,Wil1,Einasto,b,10000,0.32,8.604864161824197e+25
2057,Wil1,Einasto,b,10000,0.5,9.852632830193286e+25
2058,Wil1,Einasto,b,10000,0.68,1.1594564792185724e+26
2059,Wil1,Einasto,b,10000,0.95,1.6887907516183903e+26
2060,Wil1,Einasto,b,50000,0.05,1.0717191067818745e+26
2061,Wil1,Einasto,b,50000,0.32,1.379744395641268e+26
2062,Wil1,Einasto,b,50000,0.5,1.588765335059452e+26
