,src1,src2,src3,src4,src5,src6,src7,src8,profile,ch,mass,quantile,tau
0,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100,0.05,8.619958948960561e+24
1,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100,0.32,1.068371278326811e+25
2,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100,0.5,1.1672823939298316e+25
3,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100,0.68,1.2413059734779394e+25
4,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100,0.95,1.5665016661214849e+25
5,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,200,0.05,6.061786649490613e+25
6,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,200,0.32,7.320997386599728e+25
7,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,200,0.5,8.128107310371435e+25
8,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,200,0.68,8.680916523914964e+25
9,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,200,0.95,1.0260285214427247e+26
10,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,500,0.05,1.972807840391937e+26
11,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,500,0.32,2.353193622000016e+26
12,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,500,0.5,2.5534930000814774e+26
13,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,500,0.68,2.7602942413658934e+26
14,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,500,0.95,3.484214104399747e+26
15,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,1000,0.05,3.505706837585224e+26
16,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,1000,0.32,4.251232479188646e+26
17,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,1000,0.5,4.496715910922144e+26
18,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,1000,0.68,4.8267436164026326e+26
19,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,1000,0.95,6.189262232153462e+26
20,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,5000,0.05,7.959926479910823e+26
21,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,5000,0.32,1.056142261974902e+27
22,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,5000,0.5,1.1263233290880077e+27
23,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,5000,0.68,1.3040583647037524e+27
24,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,5000,0.95,1.8270656704271836e+27
25,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,10000,0.05,1.0026720989547558e+27
26,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,10000,0.32,1.3024049061849537e+27
27,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,10000,0.5,1.5880012439672125e+27
28,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,10000,0.68,1.7197959061376342e+27
29,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,10000,0.95,2.609479974283531e+27
30,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,50000,0.05,1.1838206154752825e+27
31,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,50000,0.32,1.7616142278054038e+27
32,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,50000,0.5,2.0750145379593099e+27
33,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,50000,0.68,2.3536555019050572e+27
34,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,50000,0.95,3.065500425108178e+27
35,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100000,0.05,1.1206419265000455e+27
36,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100000,0.32,1.776231155705795e+27
37,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100000,0.5,2.1494750618939197e+27
38,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100000,0.68,2.6035017367262786e+27
39,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100000,0.95,3.671403395694191e+27
40,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.05,2.0791543333501317e+24
41,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.32,2.6476559716395607e+24
42,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.5,2.9533537908216216e+24
43,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.68,3.228180110373568e+24
44,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.95,4.040752097327642e+24
45,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.05,7.166760584595189e+24
46,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.32,8.789674856077228e+24
47,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.5,9.611256921794842e+24
48,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.68,1.0277519163534926e+25
49,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.95,1.2902526742854469e+25
50,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.05,3.9746037262096705e+25
51,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.32,4.81715250717621e+25
52,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.5,5.212310319257979e+25
53,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.68,5.5570842301292334e+25
54,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.95,6.6531270020514315e+25
55,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.05,1.5749423477107507e+26
56,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.32,1.9043091553597134e+26
57,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.5,2.124833023752847e+26
58,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.68,2.2953399093777095e+26
59,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.95,2.8522342186355037e+26
60,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.05,3.019813111537302e+26
61,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.32,3.691755377605112e+26
62,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.5,4.087493225921285e+26
63,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.68,4.448325638158846e+26
64,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.95,5.643451114280023e+26
65,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.05,7.618297127965597e+26
66,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.32,9.37448322775914e+26
67,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.5,1.0364858369611675e+27
68,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.68,1.165966499206065e+27
69,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.95,1.540585188205269e+27
70,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,10000,0.05,9.436416753011355e+26
