,name,jfactor,profile,ch,mass,quantile,sigma_v
500,DraI,0.565834542903996,Burkert,W,100,0.05,1.3190863595483637e-23
501,DraI,0.565834542903996,Burkert,W,100,0.32,2.1509595250769584e-23
502,DraI,0.565834542903996,Burkert,W,100,0.5,2.6334522255790562e-23
503,DraI,0.565834542903996,Burkert,W,100,0.68,3.208937180134955e-23
504,DraI,0.565834542903996,Burkert,W,100,0.95,5.082335918650401e-23
505,DraI,0.565834542903996,Burkert,W,200,0.05,3.9096254317131454e-24
506,DraI,0.565834542903996,Burkert,W,200,0.32,6.0977690389227015e-24
507,DraI,0.565834542903996,Burkert,W,200,0.5,7.512778814941177e-24
508,DraI,0.565834542903996,Burkert,W,200,0.68,9.238196861372272e-24
509,DraI,0.565834542903996,Burkert,W,200,0.95,1.3834264184280584e-23
510,DraI,0.565834542903996,Burkert,W,500,0.05,2.8885567574154628e-24
511,DraI,0.565834542903996,Burkert,W,500,0.32,4.569794538506001e-24
512,DraI,0.565834542903996,Burkert,W,500,0.5,5.7206663999266025e-24
513,DraI,0.565834542903996,Burkert,W,500,0.68,7.044081127775861e-24
514,DraI,0.565834542903996,Burkert,W,500,0.95,1.1004719172756655e-23
515,DraI,0.565834542903996,Burkert,W,1000,0.05,3.2853412782345713e-24
516,DraI,0.565834542903996,Burkert,W,1000,0.32,5.160922452996227e-24
517,DraI,0.565834542903996,Burkert,W,1000,0.5,6.3974599482555814e-24
518,DraI,0.565834542903996,Burkert,W,1000,0.68,7.988870554886451e-24
519,DraI,0.565834542903996,Burkert,W,1000,0.95,1.2799011477636725e-23
520,DraI,0.565834542903996,Burkert,W,5000,0.05,5.8197603546587295e-24
521,DraI,0.565834542903996,Burkert,W,5000,0.32,9.739475871569256e-24
522,DraI,0.565834542903996,Burkert,W,5000,0.5,1.2150577071140913e-23
523,DraI,0.565834542903996,Burkert,W,5000,0.68,1.4834532718254666e-23
524,DraI,0.565834542903996,Burkert,W,5000,0.95,2.2494005761709506e-23
525,DraI,0.565834542903996,Burkert,W,10000,0.05,9.242859590414869e-24
526,DraI,0.565834542903996,Burkert,W,10000,0.32,1.5694227664746762e-23
527,DraI,0.565834542903996,Burkert,W,10000,0.5,1.944670929354015e-23
528,DraI,0.565834542903996,Burkert,W,10000,0.68,2.394239404355603e-23
529,DraI,0.565834542903996,Burkert,W,10000,0.95,3.603589820433858e-23
530,DraI,0.565834542903996,Burkert,W,50000,0.05,3.557947217779562e-23
531,DraI,0.565834542903996,Burkert,W,50000,0.32,5.786582393422515e-23
532,DraI,0.565834542903996,Burkert,W,50000,0.5,7.070141163155367e-23
533,DraI,0.565834542903996,Burkert,W,50000,0.68,8.450867592104166e-23
534,DraI,0.565834542903996,Burkert,W,50000,0.95,1.4103013305265065e-22
535,DraI,0.565834542903996,Burkert,W,100000,0.05,7.127624505603756e-23
536,DraI,0.565834542903996,Burkert,W,100000,0.32,1.1537023165196928e-22
537,DraI,0.565834542903996,Burkert,W,100000,0.5,1.4598930899129102e-22
538,DraI,0.565834542903996,Burkert,W,100000,0.68,1.8109276388268784e-22
539,DraI,0.565834542903996,Burkert,W,100000,0.95,2.765017575216248e-22
540,DraI,0.565834542903996,Burkert,Z,100,0.05,2.169073410888426e-23
541,DraI,0.565834542903996,Burkert,Z,100,0.32,3.518053287774967e-23
542,DraI,0.565834542903996,Burkert,Z,100,0.5,4.273048599502518e-23
543,DraI,0.565834542903996,Burkert,Z,100,0.68,5.175463643043212e-23
544,DraI,0.565834542903996,Burkert,Z,100,0.95,7.531164869080049e-23
545,DraI,0.565834542903996,Burkert,Z,200,0.05,5.0995881759898355e-24
546,DraI,0.565834542903996,Burkert,Z,200,0.32,7.941653361499373e-24
547,DraI,0.565834542903996,Burkert,Z,200,0.5,9.675319703110869e-24
548,DraI,0.565834542903996,Burkert,Z,200,0.68,1.190015534044936e-23
549,DraI,0.565834542903996,Burkert,Z,200,0.95,1.8108504409983316e-23
550,DraI,0.565834542903996,Burkert,Z,500,0.05,3.514704335065671e-24
551,DraI,0.565834542903996,Burkert,Z,500,0.32,5.6529912156134604e-24
552,DraI,0.565834542903996,Burkert,Z,500,0.5,6.951412948648e-24
553,DraI,0.565834542903996,Burkert,Z,500,0.68,8.593678523339597e-24
554,DraI,0.565834542903996,Burkert,Z,500,0.95,1.3008250457912144e-23
555,DraI,0.565834542903996,Burkert,Z,1000,0.05,3.887774560922017e-24
556,DraI,0.565834542903996,Burkert,Z,1000,0.32,6.165313086891032e-24
557,DraI,0.565834542903996,Burkert,Z,1000,0.5,7.707509843617035e-24
558,DraI,0.565834542903996,Burkert,Z,1000,0.68,9.511530433203586e-24
559,DraI,0.565834542903996,Burkert,Z,1000,0.95,1.5176125813783418e-23
560,DraI,0.565834542903996,Burkert,Z,5000,0.05,7.203430387624945e-24
561,DraI,0.565834542903996,Burkert,Z,5000,0.32,1.2255805652311472e-23
562,DraI,0.565834542903996,Burkert,Z,5000,0.5,1.498498268749664e-23
563,DraI,0.565834542903996,Burkert,Z,5000,0.68,1.847270219769899e-23
564,DraI,0.565834542903996,Burkert,Z,5000,0.95,2.805552466814994e-23
565,DraI,0.565834542903996,Burkert,Z,10000,0.05,1.0799879107299102e-23
