,name,profile,ch,mass,quantile,tau
405,DraI,Einasto,b,70,0.05,2.968217036893181e+23
406,DraI,Einasto,b,70,0.32,3.704405404864713e+23
407,DraI,Einasto,b,70,0.5,4.111963240970716e+23
408,DraI,Einasto,b,70,0.68,4.5780170893611086e+23
409,DraI,Einasto,b,70,0.95,6.0309713287455684e+23
410,DraI,Einasto,b,100,0.05,9.10014369870393e+23
411,DraI,Einasto,b,100,0.32,1.2227511664143123e+24
412,DraI,Einasto,b,100,0.5,1.335268602030456e+24
413,DraI,Einasto,b,100,0.68,1.4888927489715027e+24
414,DraI,Einasto,b,100,0.95,2.0120629229625725e+24
415,DraI,Einasto,b,200,0.05,5.560260141684837e+24
416,DraI,Einasto,b,200,0.32,6.559243897963068e+24
417,DraI,Einasto,b,200,0.5,7.417971510650036e+24
418,DraI,Einasto,b,200,0.68,8.252905560357677e+24
419,DraI,Einasto,b,200,0.95,1.0643425445735652e+25
420,DraI,Einasto,b,500,0.05,2.209461279964974e+25
421,DraI,Einasto,b,500,0.32,2.6648849699869383e+25
422,DraI,Einasto,b,500,0.5,2.918197110795655e+25
423,DraI,Einasto,b,500,0.68,3.166878075906412e+25
424,DraI,Einasto,b,500,0.95,4.130343424965805e+25
425,DraI,Einasto,b,1000,0.05,4.312138387649024e+25
426,DraI,Einasto,b,1000,0.32,5.089399898920537e+25
427,DraI,Einasto,b,1000,0.5,5.616695324730315e+25
428,DraI,Einasto,b,1000,0.68,6.069109455412446e+25
429,DraI,Einasto,b,1000,0.95,8.198810288801895e+25
430,DraI,Einasto,b,5000,0.05,9.993771085912628e+25
431,DraI,Einasto,b,5000,0.32,1.1980961608235967e+26
432,DraI,Einasto,b,5000,0.5,1.321747565734198e+26
433,DraI,Einasto,b,5000,0.68,1.4494633528678148e+26
434,DraI,Einasto,b,5000,0.95,2.0266948265217855e+26
435,DraI,Einasto,b,10000,0.05,1.2569332039869152e+26
436,DraI,Einasto,b,10000,0.32,1.580162433822002e+26
437,DraI,Einasto,b,10000,0.5,1.7641779013218698e+26
438,DraI,Einasto,b,10000,0.68,1.9568665939143533e+26
439,DraI,Einasto,b,10000,0.95,2.6808225967980206e+26
440,DraI,Einasto,b,50000,0.05,2.0960861103302905e+26
441,DraI,Einasto,b,50000,0.32,2.6744824399760344e+26
442,DraI,Einasto,b,50000,0.5,3.0580962723361215e+26
443,DraI,Einasto,b,50000,0.68,3.539934630014503e+26
444,DraI,Einasto,b,50000,0.95,4.86188816889417e+26
445,DraI,Einasto,b,100000,0.05,2.3138330470402893e+26
446,DraI,Einasto,b,100000,0.32,2.9529173850156308e+26
447,DraI,Einasto,b,100000,0.5,3.301188863194685e+26
448,DraI,Einasto,b,100000,0.68,3.787165760838864e+26
449,DraI,Einasto,b,100000,0.95,5.446166508004046e+26
450,DraI,Einasto,mu,70,0.05,2.6405262096920555e+24
451,DraI,Einasto,mu,70,0.32,3.256352932177982e+24
452,DraI,Einasto,mu,70,0.5,3.60833166403725e+24
453,DraI,Einasto,mu,70,0.68,4.04951371160058e+24
454,DraI,Einasto,mu,70,0.95,5.443599951215153e+24
455,DraI,Einasto,mu,100,0.05,4.2838042526429693e+24
456,DraI,Einasto,mu,100,0.32,5.252270644862399e+24
457,DraI,Einasto,mu,100,0.5,5.96037236244192e+24
458,DraI,Einasto,mu,100,0.68,6.833779937851723e+24
459,DraI,Einasto,mu,100,0.95,8.823967675083592e+24
460,DraI,Einasto,mu,200,0.05,8.364996448107708e+24
461,DraI,Einasto,mu,200,0.32,9.995081697188302e+24
462,DraI,Einasto,mu,200,0.5,1.114910616765659e+25
463,DraI,Einasto,mu,200,0.68,1.2289436687215235e+25
464,DraI,Einasto,mu,200,0.95,1.694262327769008e+25
465,DraI,Einasto,mu,500,0.05,1.4016325153371037e+25
466,DraI,Einasto,mu,500,0.32,1.8126756704787507e+25
467,DraI,Einasto,mu,500,0.5,2.033245266330654e+25
468,DraI,Einasto,mu,500,0.68,2.3582837824306002e+25
469,DraI,Einasto,mu,500,0.95,3.3497143416331205e+25
470,DraI,Einasto,mu,1000,0.05,2.1507177590112873e+25
471,DraI,Einasto,mu,1000,0.32,2.7029754136732937e+25
472,DraI,Einasto,mu,1000,0.5,3.033208163531835e+25
473,DraI,Einasto,mu,1000,0.68,3.4577679489502095e+25
474,DraI,Einasto,mu,1000,0.95,5.225336251382291e+25
475,DraI,Einasto,mu,5000,0.05,4.151711904358878e+25
476,DraI,Einasto,mu,5000,0.32,5.29189170044414e+25
477,DraI,Einasto,mu,5000,0.5,6.1702640587868785e+25
478,DraI,Einasto,mu,5000,0.68,7.091614593657089e+25
479,DraI,Einasto,mu,5000,0.95,1.055614486660572e+26
480,DraI,Einasto,mu,10000,0.05,4.105877729858788e+25
481,DraI,Einasto,mu,10000,0.32,5.3413136088716435e+25
482,DraI,Einasto,mu,10000,0.5,6.155622914149803e+25
483,DraI,Einasto,mu,10000,0.68,7.095889193506357e+25
484,DraI,Einasto,mu,10000,0.95,1.0644433710597951e+26
485,DraI,Einasto,mu,50000,0.05,2.6084973744492648e+25
486,DraI,Einasto,mu,50000,0.32,3.3746979906946384e+25
487,DraI,Einasto,mu,50000,0.5,3.8595271909301736e+25
488,DraI,Einasto,mu,50000,0.68,4.462299241810149e+25
489,DraI,Einasto,mu,50000,0.95,6.742985189739147e+25
490,DraI,Einasto,mu,100000,0.05,1.7869365183716287e+25
491,DraI,Einasto,mu,100000,0.32,2.326099999988796e+25
492,DraI,Einasto,mu,100000,0.5,2.683798731538066e+25
493,DraI,Einasto,mu,100000,0.68,3.1595887701075466e+25
494,DraI,Einasto,mu,100000,0.95,4.915923695646418e+25
495,DraI,Einasto,tau,70,0.05,8.226036326753382e+24
496,DraI,Einasto,tau,70,0.32,9.793874001987654e+24
497,DraI,Einasto,tau,70,0.5,1.0829566876340122e+25
498,DraI,Einasto,tau,70,0.68,1.2206224554185623e+25
499,DraI,Einasto,tau,70,0.95,1.5943024107473876e+25
500,DraI,Einasto,tau,100,0.05,1.7558617398756243e+25
501,DraI,Einasto,tau,100,0.32,2.0375711628958504e+25
502,DraI,Einasto,tau,100,0.5,2.256543443115844e+25
503,DraI,Einasto,tau,100,0.68,2.4886583713622956e+25
504,DraI,Einasto,tau,100,0.95,3.2960038642995406e+25
505,DraI,Einasto,tau,200,0.05,3.937304730772223e+25
506,DraI,Einasto,tau,200,0.32,4.6925036646595765e+25
507,DraI,Einasto,tau,200,0.5,5.134164479814336e+25
508,DraI,Einasto,tau,200,0.68,5.6539978768571245e+25
509,DraI,Einasto,tau,200,0.95,7.794266658311285e+25
510,DraI,Einasto,tau,500,0.05,6.462197496542768e+25
511,DraI,Einasto,tau,500,0.32,8.271441678821166e+25
512,DraI,Einasto,tau,500,0.5,9.137231290871906e+25
513,DraI,Einasto,tau,500,0.68,1.0174611947756799e+26
514,DraI,Einasto,tau,500,0.95,1.424858939190675e+26
515,DraI,Einasto,tau,1000,0.05,9.413642591838076e+25
516,DraI,Einasto,tau,1000,0.32,1.1615555064342972e+26
517,DraI,Einasto,tau,1000,0.5,1.2986434610139694e+26
518,DraI,Einasto,tau,1000,0.68,1.4797020850377456e+26
519,DraI,Einasto,tau,1000,0.95,2.087508325370283e+26
520,DraI,Einasto,tau,5000,0.05,1.7407798794981392e+26
521,DraI,Einasto,tau,5000,0.32,2.2533908573570227e+26
522,DraI,Einasto,tau,5000,0.5,2.610742938145591e+26
523,DraI,Einasto,tau,5000,0.68,2.9940549027745697e+26
524,DraI,Einasto,tau,5000,0.95,4.046847179585591e+26
525,DraI,Einasto,tau,10000,0.05,1.9487336304219627e+26
526,DraI,Einasto,tau,10000,0.32,2.495024337178343e+26
527,DraI,Einasto,tau,10000,0.5,2.9203813824818117e+26
528,DraI,Einasto,tau,10000,0.68,3.316873118863763e+26
529,DraI,Einasto,tau,10000,0.95,4.882371922261681e+26
530,DraI,Einasto,tau,50000,0.05,1.3945235183021037e+26
531,DraI,Einasto,tau,50000,0.32,1.7924903321513705e+26
