,name,profile,ch,mass,quantile,tau
540,RetII,Burkert,b,70,0.05,4.6393014617211733e+24
541,RetII,Burkert,b,70,0.32,5.396111559831875e+24
542,RetII,Burkert,b,70,0.5,5.943296587528207e+24
543,RetII,Burkert,b,70,0.68,6.670361896391227e+24
544,RetII,Burkert,b,70,0.95,8.837420625168646e+24
545,RetII,Burkert,b,100,0.05,1.722326207114037e+25
546,RetII,Burkert,b,100,0.32,2.087666859777787e+25
547,RetII,Burkert,b,100,0.5,2.2731611986070327e+25
548,RetII,Burkert,b,100,0.68,2.5126764652777786e+25
549,RetII,Burkert,b,100,0.95,3.4293858149137997e+25
550,RetII,Burkert,b,200,0.05,1.2551314450462094e+26
551,RetII,Burkert,b,200,0.32,1.559620947177012e+26
552,RetII,Burkert,b,200,0.5,1.7339014968167996e+26
553,RetII,Burkert,b,200,0.68,1.8745633509714312e+26
554,RetII,Burkert,b,200,0.95,2.3744520057375573e+26
555,RetII,Burkert,b,500,0.05,7.725178991229381e+26
556,RetII,Burkert,b,500,0.32,8.934912424634491e+26
557,RetII,Burkert,b,500,0.5,9.567742942773451e+26
558,RetII,Burkert,b,500,0.68,1.0475957137851777e+27
559,RetII,Burkert,b,500,0.95,1.3729554912970146e+27
560,RetII,Burkert,b,1000,0.05,1.7156083089293762e+27
561,RetII,Burkert,b,1000,0.32,1.95278966542401e+27
562,RetII,Burkert,b,1000,0.5,2.0768845843204605e+27
563,RetII,Burkert,b,1000,0.68,2.3104471178610712e+27
564,RetII,Burkert,b,1000,0.95,3.1917056321055713e+27
565,RetII,Burkert,b,5000,0.05,4.1525040607331283e+27
566,RetII,Burkert,b,5000,0.32,5.066099333670706e+27
567,RetII,Burkert,b,5000,0.5,5.492121250017121e+27
568,RetII,Burkert,b,5000,0.68,6.177094415815318e+27
569,RetII,Burkert,b,5000,0.95,8.12587211089579e+27
570,RetII,Burkert,b,10000,0.05,5.620022018295725e+27
571,RetII,Burkert,b,10000,0.32,6.995828795599405e+27
572,RetII,Burkert,b,10000,0.5,7.634958353744016e+27
573,RetII,Burkert,b,10000,0.68,8.554024529103571e+27
574,RetII,Burkert,b,10000,0.95,1.164397104333003e+28
575,RetII,Burkert,b,50000,0.05,1.0533987898495933e+28
576,RetII,Burkert,b,50000,0.32,1.3048661546687823e+28
577,RetII,Burkert,b,50000,0.5,1.499196985546111e+28
578,RetII,Burkert,b,50000,0.68,1.7380803876091018e+28
579,RetII,Burkert,b,50000,0.95,2.4318900932383467e+28
580,RetII,Burkert,b,100000,0.05,1.234350663831149e+28
581,RetII,Burkert,b,100000,0.32,1.5241581674145318e+28
582,RetII,Burkert,b,100000,0.5,1.7108714639027648e+28
583,RetII,Burkert,b,100000,0.68,1.964765184701945e+28
584,RetII,Burkert,b,100000,0.95,2.7537072806969653e+28
585,RetII,Burkert,mu,70,0.05,6.920748041742082e+25
586,RetII,Burkert,mu,70,0.32,8.571150234600225e+25
587,RetII,Burkert,mu,70,0.5,9.260456531912123e+25
588,RetII,Burkert,mu,70,0.68,1.0385671929207747e+26
589,RetII,Burkert,mu,70,0.95,1.3629692181350848e+26
590,RetII,Burkert,mu,100,0.05,1.615545586147945e+26
591,RetII,Burkert,mu,100,0.32,2.0055811638671524e+26
592,RetII,Burkert,mu,100,0.5,2.226089993385122e+26
593,RetII,Burkert,mu,100,0.68,2.4247654794031388e+26
594,RetII,Burkert,mu,100,0.95,3.383300001697864e+26
595,RetII,Burkert,mu,200,0.05,3.4175994604105426e+26
596,RetII,Burkert,mu,200,0.32,4.2481437896931474e+26
597,RetII,Burkert,mu,200,0.5,4.727104295867256e+26
598,RetII,Burkert,mu,200,0.68,5.4226110554490405e+26
599,RetII,Burkert,mu,200,0.95,7.336261359175573e+26
600,RetII,Burkert,mu,500,0.05,6.177175446718756e+26
601,RetII,Burkert,mu,500,0.32,7.611113425723541e+26
602,RetII,Burkert,mu,500,0.5,8.396961914652341e+26
603,RetII,Burkert,mu,500,0.68,9.534111040960379e+26
604,RetII,Burkert,mu,500,0.95,1.3284265142004996e+27
605,RetII,Burkert,mu,1000,0.05,9.81861253189491e+26
606,RetII,Burkert,mu,1000,0.32,1.1566322876022995e+27
607,RetII,Burkert,mu,1000,0.5,1.275250483447812e+27
608,RetII,Burkert,mu,1000,0.68,1.4967516445386787e+27
609,RetII,Burkert,mu,1000,0.95,2.2458126892376173e+27
610,RetII,Burkert,mu,5000,0.05,2.164440957957052e+27
611,RetII,Burkert,mu,5000,0.32,2.670117158997092e+27
612,RetII,Burkert,mu,5000,0.5,3.07945461795694e+27
613,RetII,Burkert,mu,5000,0.68,3.6243632227911577e+27
614,RetII,Burkert,mu,5000,0.95,5.185329713021449e+27
615,RetII,Burkert,mu,10000,0.05,2.408957780534915e+27
616,RetII,Burkert,mu,10000,0.32,3.0120840914088307e+27
617,RetII,Burkert,mu,10000,0.5,3.443154085448664e+27
618,RetII,Burkert,mu,10000,0.68,4.0185970353955013e+27
619,RetII,Burkert,mu,10000,0.95,5.694032149174297e+27
620,RetII,Burkert,mu,50000,0.05,1.9083595315801755e+27
621,RetII,Burkert,mu,50000,0.32,2.4788619323081934e+27
622,RetII,Burkert,mu,50000,0.5,2.906051794525873e+27
623,RetII,Burkert,mu,50000,0.68,3.3055244892563753e+27
624,RetII,Burkert,mu,50000,0.95,5.054223817718632e+27
625,RetII,Burkert,mu,100000,0.05,1.429431280432888e+27
626,RetII,Burkert,mu,100000,0.32,1.81828134595903e+27
627,RetII,Burkert,mu,100000,0.5,2.0991307163602697e+27
628,RetII,Burkert,mu,100000,0.68,2.3714491214166285e+27
629,RetII,Burkert,mu,100000,0.95,3.469734654985787e+27
630,RetII,Burkert,tau,70,0.05,1.3452176653389926e+26
631,RetII,Burkert,tau,70,0.32,1.6775575542967082e+26
632,RetII,Burkert,tau,70,0.5,1.854026088975349e+26
633,RetII,Burkert,tau,70,0.68,2.0797900033965574e+26
634,RetII,Burkert,tau,70,0.95,2.8683459379605714e+26
