,name,profile,ch,mass,quantile,tau
675,RetII,Einasto,b,70,0.05,1.7466196952464758e+23
676,RetII,Einasto,b,70,0.32,2.02330908072848e+23
677,RetII,Einasto,b,70,0.5,2.2834412435322165e+23
678,RetII,Einasto,b,70,0.68,2.506199667502437e+23
679,RetII,Einasto,b,70,0.95,3.2930000731727316e+23
680,RetII,Einasto,b,100,0.05,6.551584147288195e+23
681,RetII,Einasto,b,100,0.32,7.962252800414351e+23
682,RetII,Einasto,b,100,0.5,8.670536311730588e+23
683,RetII,Einasto,b,100,0.68,9.586632492271485e+23
684,RetII,Einasto,b,100,0.95,1.2459383935928218e+24
685,RetII,Einasto,b,200,0.05,4.7243206040570495e+24
686,RetII,Einasto,b,200,0.32,5.697954908620596e+24
687,RetII,Einasto,b,200,0.5,6.221030548009686e+24
688,RetII,Einasto,b,200,0.68,6.878641975543553e+24
689,RetII,Einasto,b,200,0.95,9.18052644856477e+24
690,RetII,Einasto,b,500,0.05,2.8195964128972853e+25
691,RetII,Einasto,b,500,0.32,3.388320864100273e+25
692,RetII,Einasto,b,500,0.5,3.6647502020650166e+25
693,RetII,Einasto,b,500,0.68,3.9264621394496826e+25
694,RetII,Einasto,b,500,0.95,5.316909856535066e+25
695,RetII,Einasto,b,1000,0.05,6.073185841810423e+25
696,RetII,Einasto,b,1000,0.32,7.3315441091721195e+25
697,RetII,Einasto,b,1000,0.5,8.005352728554374e+25
698,RetII,Einasto,b,1000,0.68,8.818894068958129e+25
699,RetII,Einasto,b,1000,0.95,1.1351768102392749e+26
700,RetII,Einasto,b,5000,0.05,1.5575433061943702e+26
701,RetII,Einasto,b,5000,0.32,1.8767772457374503e+26
702,RetII,Einasto,b,5000,0.5,2.063999078984219e+26
703,RetII,Einasto,b,5000,0.68,2.2788650570542936e+26
704,RetII,Einasto,b,5000,0.95,3.0668265042537605e+26
705,RetII,Einasto,b,10000,0.05,2.150873147606464e+26
706,RetII,Einasto,b,10000,0.32,2.6886191569485076e+26
707,RetII,Einasto,b,10000,0.5,2.9542275961014993e+26
708,RetII,Einasto,b,10000,0.68,3.337729486678864e+26
709,RetII,Einasto,b,10000,0.95,4.595873077443841e+26
710,RetII,Einasto,b,50000,0.05,3.8771767512068316e+26
711,RetII,Einasto,b,50000,0.32,4.855906000045275e+26
712,RetII,Einasto,b,50000,0.5,5.504508142805e+26
713,RetII,Einasto,b,50000,0.68,6.279969804959618e+26
714,RetII,Einasto,b,50000,0.95,8.76801929015648e+26
715,RetII,Einasto,b,100000,0.05,4.38365780798248e+26
716,RetII,Einasto,b,100000,0.32,5.7174750413028e+26
717,RetII,Einasto,b,100000,0.5,6.52050777966691e+26
718,RetII,Einasto,b,100000,0.68,7.4237036353782e+26
719,RetII,Einasto,b,100000,0.95,1.017553130722574e+27
720,RetII,Einasto,mu,70,0.05,2.7250348196314563e+24
721,RetII,Einasto,mu,70,0.32,3.2941976304454574e+24
722,RetII,Einasto,mu,70,0.5,3.549912081412131e+24
723,RetII,Einasto,mu,70,0.68,4.02665930418983e+24
724,RetII,Einasto,mu,70,0.95,5.343097959749604e+24
725,RetII,Einasto,mu,100,0.05,6.201943234671961e+24
726,RetII,Einasto,mu,100,0.32,7.514413338935065e+24
727,RetII,Einasto,mu,100,0.5,8.31103458567716e+24
728,RetII,Einasto,mu,100,0.68,9.328965614243404e+24
729,RetII,Einasto,mu,100,0.95,1.2778250117061829e+25
