,name,profile,ch,mass,quantile,tau
945,Scl,Einasto,b,70,0.05,4.597272497409128e+22
946,Scl,Einasto,b,70,0.32,6.280285069928364e+22
947,Scl,Einasto,b,70,0.5,7.199115102196989e+22
948,Scl,Einasto,b,70,0.68,8.39876366443122e+22
949,Scl,Einasto,b,70,0.95,1.2187999293648233e+23
950,Scl,Einasto,b,100,0.05,1.9795438278022493e+23
951,Scl,Einasto,b,100,0.32,2.5223177133177517e+23
952,Scl,Einasto,b,100,0.5,2.881399212448894e+23
953,Scl,Einasto,b,100,0.68,3.304005211320104e+23
954,Scl,Einasto,b,100,0.95,4.8578150197301334e+23
955,Scl,Einasto,b,200,0.05,1.5252883763709633e+24
956,Scl,Einasto,b,200,0.32,1.8975234535816924e+24
957,Scl,Einasto,b,200,0.5,2.1185517936335044e+24
958,Scl,Einasto,b,200,0.68,2.448845547019306e+24
959,Scl,Einasto,b,200,0.95,3.6558982216870636e+24
960,Scl,Einasto,b,500,0.05,8.153173462512343e+24
961,Scl,Einasto,b,500,0.32,1.0545354482824587e+25
962,Scl,Einasto,b,500,0.5,1.1867441548450727e+25
963,Scl,Einasto,b,500,0.68,1.4118533301930682e+25
964,Scl,Einasto,b,500,0.95,2.0991371560685355e+25
965,Scl,Einasto,b,1000,0.05,1.8386850548695609e+25
966,Scl,Einasto,b,1000,0.32,2.3723709350103697e+25
967,Scl,Einasto,b,1000,0.5,2.698785387358157e+25
968,Scl,Einasto,b,1000,0.68,3.1371117536891358e+25
969,Scl,Einasto,b,1000,0.95,4.611130567166492e+25
970,Scl,Einasto,b,5000,0.05,5.2654856136187455e+25
971,Scl,Einasto,b,5000,0.32,6.605260199190621e+25
972,Scl,Einasto,b,5000,0.5,7.428922929145914e+25
973,Scl,Einasto,b,5000,0.68,8.50988279911533e+25
974,Scl,Einasto,b,5000,0.95,1.2353494407942164e+26
975,Scl,Einasto,b,10000,0.05,6.930655082874952e+25
976,Scl,Einasto,b,10000,0.32,9.062505520033205e+25
977,Scl,Einasto,b,10000,0.5,1.035231811497069e+26
978,Scl,Einasto,b,10000,0.68,1.1901839903609978e+26
979,Scl,Einasto,b,10000,0.95,1.6770082703130764e+26
980,Scl,Einasto,b,50000,0.05,1.2333783933204768e+26
981,Scl,Einasto,b,50000,0.32,1.6137809163644302e+26
982,Scl,Einasto,b,50000,0.5,1.828936328434142e+26
983,Scl,Einasto,b,50000,0.68,2.1138494964108123e+26
984,Scl,Einasto,b,50000,0.95,2.9714606760986915e+26
985,Scl,Einasto,b,100000,0.05,1.4130500913234785e+26
986,Scl,Einasto,b,100000,0.32,1.8182767743222804e+26
987,Scl,Einasto,b,100000,0.5,2.0793876457435152e+26
988,Scl,Einasto,b,100000,0.68,2.392466831944162e+26
989,Scl,Einasto,b,100000,0.95,3.362425792086008e+26
990,Scl,Einasto,mu,70,0.05,7.848086649286484e+23
991,Scl,Einasto,mu,70,0.32,1.0228976576082228e+24
992,Scl,Einasto,mu,70,0.5,1.1833243407808288e+24
993,Scl,Einasto,mu,70,0.68,1.3965575691815037e+24
994,Scl,Einasto,mu,70,0.95,1.931230430313447e+24
995,Scl,Einasto,mu,100,0.05,1.9242531348010888e+24
996,Scl,Einasto,mu,100,0.32,2.3821681419080772e+24
997,Scl,Einasto,mu,100,0.5,2.7292536814118837e+24
998,Scl,Einasto,mu,100,0.68,3.1829750497314706e+24
999,Scl,Einasto,mu,100,0.95,4.917986026280892e+24
1000,Scl,Einasto,mu,200,0.05,4.204394507550869e+24
1001,Scl,Einasto,mu,200,0.32,5.281505628382729e+24
1002,Scl,Einasto,mu,200,0.5,6.001334580953038e+24
1003,Scl,Einasto,mu,200,0.68,6.974681543827078e+24
1004,Scl,Einasto,mu,200,0.95,1.051538528217715e+25
1005,Scl,Einasto,mu,500,0.05,7.624940353094362e+24
1006,Scl,Einasto,mu,500,0.32,9.722924022165451e+24
1007,Scl,Einasto,mu,500,0.5,1.1065896463072912e+25
1008,Scl,Einasto,mu,500,0.68,1.2826936738887805e+25
1009,Scl,Einasto,mu,500,0.95,1.9444379085278097e+25
1010,Scl,Einasto,mu,1000,0.05,1.196594637156745e+25
1011,Scl,Einasto,mu,1000,0.32,1.5339377920991004e+25
1012,Scl,Einasto,mu,1000,0.5,1.7425377344979026e+25
1013,Scl,Einasto,mu,1000,0.68,2.0244879961337898e+25
1014,Scl,Einasto,mu,1000,0.95,2.999312614373248e+25
1015,Scl,Einasto,mu,5000,0.05,2.5706912298669913e+25
1016,Scl,Einasto,mu,5000,0.32,3.3833249908351567e+25
1017,Scl,Einasto,mu,5000,0.5,3.919346246419564e+25
1018,Scl,Einasto,mu,5000,0.68,4.695618456823497e+25
1019,Scl,Einasto,mu,5000,0.95,6.737695978547468e+25
1020,Scl,Einasto,mu,10000,0.05,3.0782060423824404e+25
1021,Scl,Einasto,mu,10000,0.32,3.904201410665294e+25
1022,Scl,Einasto,mu,10000,0.5,4.559185391399233e+25
1023,Scl,Einasto,mu,10000,0.68,5.357888744995974e+25
1024,Scl,Einasto,mu,10000,0.95,7.872581547301042e+25
1025,Scl,Einasto,mu,50000,0.05,2.5663677823805746e+25
1026,Scl,Einasto,mu,50000,0.32,3.231937592671886e+25
1027,Scl,Einasto,mu,50000,0.5,3.8219720132151444e+25
1028,Scl,Einasto,mu,50000,0.68,4.500759149928823e+25
1029,Scl,Einasto,mu,50000,0.95,6.344561947924937e+25
1030,Scl,Einasto,mu,100000,0.05,1.8490618732092723e+25
1031,Scl,Einasto,mu,100000,0.32,2.3991579911937354e+25
1032,Scl,Einasto,mu,100000,0.5,2.8171995576842013e+25
1033,Scl,Einasto,mu,100000,0.68,3.2585729498035755e+25
1034,Scl,Einasto,mu,100000,0.95,4.842808547629512e+25
1035,Scl,Einasto,tau,70,0.05,1.6117410465694671e+24
1036,Scl,Einasto,tau,70,0.32,2.0262754540012065e+24
1037,Scl,Einasto,tau,70,0.5,2.3227128498967543e+24
1038,Scl,Einasto,tau,70,0.68,2.690817156925931e+24
1039,Scl,Einasto,tau,70,0.95,3.7861923559892643e+24
1040,Scl,Einasto,tau,100,0.05,5.053098980771443e+24
1041,Scl,Einasto,tau,100,0.32,6.373189245098252e+24
1042,Scl,Einasto,tau,100,0.5,7.0732067938456e+24
1043,Scl,Einasto,tau,100,0.68,8.273989058410897e+24
1044,Scl,Einasto,tau,100,0.95,1.197790538531839e+25
1045,Scl,Einasto,tau,200,0.05,1.648742236078351e+25
1046,Scl,Einasto,tau,200,0.32,2.1568710876513574e+25
1047,Scl,Einasto,tau,200,0.5,2.437239118943499e+25
1048,Scl,Einasto,tau,200,0.68,2.836327319231901e+25
1049,Scl,Einasto,tau,200,0.95,4.20891930946351e+25
1050,Scl,Einasto,tau,500,0.05,3.376089490020147e+25
1051,Scl,Einasto,tau,500,0.32,4.4546576624052215e+25
1052,Scl,Einasto,tau,500,0.5,5.054352328831687e+25
1053,Scl,Einasto,tau,500,0.68,5.813956474120769e+25
1054,Scl,Einasto,tau,500,0.95,8.72029771362548e+25
1055,Scl,Einasto,tau,1000,0.05,4.803628109793892e+25
1056,Scl,Einasto,tau,1000,0.32,6.3455099325315945e+25
1057,Scl,Einasto,tau,1000,0.5,7.202624837778152e+25
1058,Scl,Einasto,tau,1000,0.68,8.301129954813661e+25
