,name,profile,ch,mass,quantile,tau
1080,SgrII,Burkert,b,70,0.05,1.8734678316617488e+23
1081,SgrII,Burkert,b,70,0.32,2.1770234961087947e+23
1082,SgrII,Burkert,b,70,0.5,2.405286699549536e+23
1083,SgrII,Burkert,b,70,0.68,2.758253812013735e+23
1084,SgrII,Burkert,b,70,0.95,3.626845139905355e+23
1085,SgrII,Burkert,b,100,0.05,6.666549869779942e+23
1086,SgrII,Burkert,b,100,0.32,8.25596159900163e+23
1087,SgrII,Burkert,b,100,0.5,9.096502425625465e+23
1088,SgrII,Burkert,b,100,0.68,1.0317641457058077e+24
1089,SgrII,Burkert,b,100,0.95,1.394705339551691e+24
1090,SgrII,Burkert,b,200,0.05,5.249073603576315e+24
1091,SgrII,Burkert,b,200,0.32,6.402505876031791e+24
1092,SgrII,Burkert,b,200,0.5,6.929321059526436e+24
1093,SgrII,Burkert,b,200,0.68,7.685935690631309e+24
1094,SgrII,Burkert,b,200,0.95,1.0411280710011874e+25
1095,SgrII,Burkert,b,500,0.05,3.1432540224456192e+25
1096,SgrII,Burkert,b,500,0.32,3.6084142805179973e+25
1097,SgrII,Burkert,b,500,0.5,3.967518882404135e+25
1098,SgrII,Burkert,b,500,0.68,4.380086294183265e+25
1099,SgrII,Burkert,b,500,0.95,5.9820656816121035e+25
1100,SgrII,Burkert,b,1000,0.05,6.2187744665968296e+25
1101,SgrII,Burkert,b,1000,0.32,7.753097231169629e+25
1102,SgrII,Burkert,b,1000,0.5,8.577958022692203e+25
1103,SgrII,Burkert,b,1000,0.68,9.6531708334488e+25
1104,SgrII,Burkert,b,1000,0.95,1.2696430234025446e+26
1105,SgrII,Burkert,b,5000,0.05,1.7259421582440502e+26
1106,SgrII,Burkert,b,5000,0.32,2.102227948482245e+26
1107,SgrII,Burkert,b,5000,0.5,2.256352081994216e+26
1108,SgrII,Burkert,b,5000,0.68,2.5192269327820484e+26
1109,SgrII,Burkert,b,5000,0.95,3.4251794299740905e+26
1110,SgrII,Burkert,b,10000,0.05,2.368180354926748e+26
1111,SgrII,Burkert,b,10000,0.32,2.9053559983562426e+26
1112,SgrII,Burkert,b,10000,0.5,3.203091845980444e+26
1113,SgrII,Burkert,b,10000,0.68,3.600051419145962e+26
1114,SgrII,Burkert,b,10000,0.95,4.850154291697892e+26
1115,SgrII,Burkert,b,50000,0.05,4.221860852584761e+26
1116,SgrII,Burkert,b,50000,0.32,5.3089210106749065e+26
1117,SgrII,Burkert,b,50000,0.5,6.016562241535297e+26
1118,SgrII,Burkert,b,50000,0.68,6.76214173780337e+26
1119,SgrII,Burkert,b,50000,0.95,9.468849096703299e+26
1120,SgrII,Burkert,b,100000,0.05,4.873187355577705e+26
1121,SgrII,Burkert,b,100000,0.32,6.1509848026832376e+26
1122,SgrII,Burkert,b,100000,0.5,6.838960877877682e+26
1123,SgrII,Burkert,b,100000,0.68,7.850916641702627e+26
1124,SgrII,Burkert,b,100000,0.95,1.0782098881894066e+27
1125,SgrII,Burkert,mu,70,0.05,2.8908771631679806e+24
1126,SgrII,Burkert,mu,70,0.32,3.691606252653291e+24
1127,SgrII,Burkert,mu,70,0.5,4.16157900456126e+24
1128,SgrII,Burkert,mu,70,0.68,4.3885496010919386e+24
1129,SgrII,Burkert,mu,70,0.95,5.906062241130018e+24
1130,SgrII,Burkert,mu,100,0.05,6.390448617644216e+24
1131,SgrII,Burkert,mu,100,0.32,7.903430729932817e+24
1132,SgrII,Burkert,mu,100,0.5,8.619461786512157e+24
1133,SgrII,Burkert,mu,100,0.68,1.009159931508693e+25
1134,SgrII,Burkert,mu,100,0.95,1.3794174242288058e+25
1135,SgrII,Burkert,mu,200,0.05,1.4067916765673494e+25
1136,SgrII,Burkert,mu,200,0.32,1.751403304345077e+25
1137,SgrII,Burkert,mu,200,0.5,1.950836038622529e+25
1138,SgrII,Burkert,mu,200,0.68,2.2168693747280505e+25
1139,SgrII,Burkert,mu,200,0.95,3.175203254872513e+25
1140,SgrII,Burkert,mu,500,0.05,2.4979182219313093e+25
1141,SgrII,Burkert,mu,500,0.32,2.959668781981299e+25
1142,SgrII,Burkert,mu,500,0.5,3.3614006606760653e+25
1143,SgrII,Burkert,mu,500,0.68,3.943982436382689e+25
1144,SgrII,Burkert,mu,500,0.95,5.526747265838418e+25
1145,SgrII,Burkert,mu,1000,0.05,3.85892510069924e+25
1146,SgrII,Burkert,mu,1000,0.32,4.834037102447616e+25
1147,SgrII,Burkert,mu,1000,0.5,5.416531677936899e+25
1148,SgrII,Burkert,mu,1000,0.68,6.219831895369732e+25
1149,SgrII,Burkert,mu,1000,0.95,9.036710260311267e+25
1150,SgrII,Burkert,mu,5000,0.05,8.373777992650456e+25
1151,SgrII,Burkert,mu,5000,0.32,1.0682119846190822e+26
1152,SgrII,Burkert,mu,5000,0.5,1.2519403223162733e+26
1153,SgrII,Burkert,mu,5000,0.68,1.449685735730947e+26
1154,SgrII,Burkert,mu,5000,0.95,2.0960015238310295e+26
1155,SgrII,Burkert,mu,10000,0.05,9.57958473337812e+25
1156,SgrII,Burkert,mu,10000,0.32,1.1809106700383063e+26
1157,SgrII,Burkert,mu,10000,0.5,1.4376723886673488e+26
1158,SgrII,Burkert,mu,10000,0.68,1.6663385946472376e+26
1159,SgrII,Burkert,mu,10000,0.95,2.377219305211508e+26
1160,SgrII,Burkert,mu,50000,0.05,8.002373194098e+25
1161,SgrII,Burkert,mu,50000,0.32,1.0226842903895646e+26
1162,SgrII,Burkert,mu,50000,0.5,1.187113180820642e+26
1163,SgrII,Burkert,mu,50000,0.68,1.3714885571184908e+26
1164,SgrII,Burkert,mu,50000,0.95,2.0079053474282184e+26
