,name,jfactor,profile,ch,mass,quantile,sigma_v
2500,UMaII,2.037161341367895,Einasto,W,100,0.05,1.0420558153211447e-23
2501,UMaII,2.037161341367895,Einasto,W,100,0.32,1.6159911316028146e-23
2502,UMaII,2.037161341367895,Einasto,W,100,0.5,1.962551010435119e-23
2503,UMaII,2.037161341367895,Einasto,W,100,0.68,2.3552680999764005e-23
2504,UMaII,2.037161341367895,Einasto,W,100,0.95,3.5008983712136057e-23
2505,UMaII,2.037161341367895,Einasto,W,200,0.05,3.1931383389865167e-24
2506,UMaII,2.037161341367895,Einasto,W,200,0.32,4.794420949513704e-24
2507,UMaII,2.037161341367895,Einasto,W,200,0.5,5.8053314465755044e-24
2508,UMaII,2.037161341367895,Einasto,W,200,0.68,6.960499186120531e-24
2509,UMaII,2.037161341367895,Einasto,W,200,0.95,1.0230043169228013e-23
2510,UMaII,2.037161341367895,Einasto,W,500,0.05,2.376246329636232e-24
2511,UMaII,2.037161341367895,Einasto,W,500,0.32,3.74159219264489e-24
2512,UMaII,2.037161341367895,Einasto,W,500,0.5,4.5435003593664504e-24
2513,UMaII,2.037161341367895,Einasto,W,500,0.68,5.598605384438952e-24
2514,UMaII,2.037161341367895,Einasto,W,500,0.95,8.022599585762719e-24
2515,UMaII,2.037161341367895,Einasto,W,1000,0.05,2.650457922526005e-24
2516,UMaII,2.037161341367895,Einasto,W,1000,0.32,4.0935086184334335e-24
2517,UMaII,2.037161341367895,Einasto,W,1000,0.5,4.874358261356375e-24
2518,UMaII,2.037161341367895,Einasto,W,1000,0.68,5.860113460426991e-24
2519,UMaII,2.037161341367895,Einasto,W,1000,0.95,8.752888558814512e-24
2520,UMaII,2.037161341367895,Einasto,W,5000,0.05,5.007556253947372e-24
2521,UMaII,2.037161341367895,Einasto,W,5000,0.32,7.716089401806663e-24
2522,UMaII,2.037161341367895,Einasto,W,5000,0.5,9.317487452376828e-24
2523,UMaII,2.037161341367895,Einasto,W,5000,0.68,1.1218255981306344e-23
2524,UMaII,2.037161341367895,Einasto,W,5000,0.95,1.679954348155294e-23
2525,UMaII,2.037161341367895,Einasto,W,7000,0.05,6.0612481178707016e-24
2526,UMaII,2.037161341367895,Einasto,W,7000,0.32,9.909457012891952e-24
2527,UMaII,2.037161341367895,Einasto,W,7000,0.5,1.1861392097486353e-23
2528,UMaII,2.037161341367895,Einasto,W,7000,0.68,1.4071651084168908e-23
2529,UMaII,2.037161341367895,Einasto,W,7000,0.95,2.0425868691697844e-23
2530,UMaII,2.037161341367895,Einasto,W,10000,0.05,8.144316376704959e-24
2531,UMaII,2.037161341367895,Einasto,W,10000,0.32,1.2416601988983142e-23
2532,UMaII,2.037161341367895,Einasto,W,10000,0.5,1.5122007753344546e-23
2533,UMaII,2.037161341367895,Einasto,W,10000,0.68,1.7936170863306973e-23
2534,UMaII,2.037161341367895,Einasto,W,10000,0.95,2.5984540659879128e-23
2535,UMaII,2.037161341367895,Einasto,W,50000,0.05,3.0525407002954824e-23
2536,UMaII,2.037161341367895,Einasto,W,50000,0.32,4.667396877568861e-23
2537,UMaII,2.037161341367895,Einasto,W,50000,0.5,5.760708591506198e-23
2538,UMaII,2.037161341367895,Einasto,W,50000,0.68,6.998082102601537e-23
2539,UMaII,2.037161341367895,Einasto,W,50000,0.95,1.0867072684393726e-22
2540,UMaII,2.037161341367895,Einasto,W,100000,0.05,5.734069258463664e-23
2541,UMaII,2.037161341367895,Einasto,W,100000,0.32,9.034547349130705e-23
2542,UMaII,2.037161341367895,Einasto,W,100000,0.5,1.1213575326356813e-22
2543,UMaII,2.037161341367895,Einasto,W,100000,0.68,1.3539634928699182e-22
