,name,profile,ch,mass,quantile,tau
1350,UMaII,Burkert,b,70,0.05,3.722299199386342e+23
1351,UMaII,Burkert,b,70,0.32,4.3620578552400527e+23
1352,UMaII,Burkert,b,70,0.5,4.712806498912851e+23
1353,UMaII,Burkert,b,70,0.68,5.217139038279853e+23
1354,UMaII,Burkert,b,70,0.95,6.809012626609196e+23
1355,UMaII,Burkert,b,100,0.05,1.1726218567065692e+24
1356,UMaII,Burkert,b,100,0.32,1.4248150607355988e+24
1357,UMaII,Burkert,b,100,0.5,1.5423135746749505e+24
1358,UMaII,Burkert,b,100,0.68,1.6869235047112925e+24
1359,UMaII,Burkert,b,100,0.95,2.1392409966610727e+24
1360,UMaII,Burkert,b,200,0.05,6.518610267863367e+24
1361,UMaII,Burkert,b,200,0.32,7.684846765570482e+24
1362,UMaII,Burkert,b,200,0.5,8.217447969570067e+24
1363,UMaII,Burkert,b,200,0.68,8.745033711572717e+24
1364,UMaII,Burkert,b,200,0.95,1.1018414787791192e+25
1365,UMaII,Burkert,b,500,0.05,2.736135805805004e+25
1366,UMaII,Burkert,b,500,0.32,3.103329673428748e+25
1367,UMaII,Burkert,b,500,0.5,3.2909396270934094e+25
1368,UMaII,Burkert,b,500,0.68,3.574572496492102e+25
1369,UMaII,Burkert,b,500,0.95,4.396473364922354e+25
1370,UMaII,Burkert,b,1000,0.05,5.125651435450011e+25
1371,UMaII,Burkert,b,1000,0.32,6.005087790111989e+25
1372,UMaII,Burkert,b,1000,0.5,6.465542690516603e+25
1373,UMaII,Burkert,b,1000,0.68,6.992807942905482e+25
1374,UMaII,Burkert,b,1000,0.95,8.634578826380785e+25
1375,UMaII,Burkert,b,5000,0.05,1.2831284484446707e+26
1376,UMaII,Burkert,b,5000,0.32,1.528555080329836e+26
1377,UMaII,Burkert,b,5000,0.5,1.6727922275411343e+26
1378,UMaII,Burkert,b,5000,0.68,1.8437387904921254e+26
1379,UMaII,Burkert,b,5000,0.95,2.3697758737994415e+26
1380,UMaII,Burkert,b,10000,0.05,1.6898915202227613e+26
1381,UMaII,Burkert,b,10000,0.32,2.0673461093047714e+26
1382,UMaII,Burkert,b,10000,0.5,2.2695136229699018e+26
1383,UMaII,Burkert,b,10000,0.68,2.5395303152062895e+26
1384,UMaII,Burkert,b,10000,0.95,3.426177858843741e+26
1385,UMaII,Burkert,b,50000,0.05,2.7598228106177553e+26
1386,UMaII,Burkert,b,50000,0.32,3.365114602050186e+26
1387,UMaII,Burkert,b,50000,0.5,3.856678005500124e+26
1388,UMaII,Burkert,b,50000,0.68,4.402565870021919e+26
1389,UMaII,Burkert,b,50000,0.95,6.309038615920182e+26
1390,UMaII,Burkert,b,100000,0.05,3.0002086397085925e+26
