,name,profile,ch,mass,quantile,tau
1620,UMi,Burkert,b,70,0.05,2.968611142522013e+24
1621,UMi,Burkert,b,70,0.32,3.327337331918731e+24
1622,UMi,Burkert,b,70,0.5,3.607388036202107e+24
1623,UMi,Burkert,b,70,0.68,3.857752703329408e+24
1624,UMi,Burkert,b,70,0.95,4.8149623236150047e+24
1625,UMi,Burkert,b,100,0.05,9.595301359095861e+24
1626,UMi,Burkert,b,100,0.32,1.095655644665348e+25
1627,UMi,Burkert,b,100,0.5,1.1607039096816136e+25
1628,UMi,Burkert,b,100,0.68,1.2402981210079447e+25
1629,UMi,Burkert,b,100,0.95,1.5098771695218298e+25
1630,UMi,Burkert,b,200,0.05,5.1233079416256585e+25
1631,UMi,Burkert,b,200,0.32,5.937367690328584e+25
1632,UMi,Burkert,b,200,0.5,6.199933539284802e+25
1633,UMi,Burkert,b,200,0.68,6.55471008078269e+25
1634,UMi,Burkert,b,200,0.95,7.522511624999493e+25
1635,UMi,Burkert,b,500,0.05,2.1051247390188567e+26
1636,UMi,Burkert,b,500,0.32,2.3520153954219616e+26
1637,UMi,Burkert,b,500,0.5,2.4617211677924872e+26
1638,UMi,Burkert,b,500,0.68,2.6166502544619254e+26
1639,UMi,Burkert,b,500,0.95,3.0632217753127105e+26
1640,UMi,Burkert,b,1000,0.05,4.192373501350421e+26
1641,UMi,Burkert,b,1000,0.32,4.727560207959712e+26
1642,UMi,Burkert,b,1000,0.5,4.9376965576051305e+26
1643,UMi,Burkert,b,1000,0.68,5.239351589849431e+26
1644,UMi,Burkert,b,1000,0.95,6.240554370996367e+26
1645,UMi,Burkert,b,5000,0.05,1.0423032857566925e+27
1646,UMi,Burkert,b,5000,0.32,1.2072461396193433e+27
1647,UMi,Burkert,b,5000,0.5,1.2899994160215572e+27
1648,UMi,Burkert,b,5000,0.68,1.3670593488712607e+27
1649,UMi,Burkert,b,5000,0.95,1.6598256786659938e+27
1650,UMi,Burkert,b,10000,0.05,1.337867066664597e+27
1651,UMi,Burkert,b,10000,0.32,1.6154899591846082e+27
1652,UMi,Burkert,b,10000,0.5,1.7540637145049179e+27
1653,UMi,Burkert,b,10000,0.68,1.9448662173090245e+27
1654,UMi,Burkert,b,10000,0.95,2.4192806696619142e+27
1655,UMi,Burkert,b,50000,0.05,2.1410137966120093e+27
1656,UMi,Burkert,b,50000,0.32,2.696170166904911e+27
1657,UMi,Burkert,b,50000,0.5,3.00802406310007e+27
1658,UMi,Burkert,b,50000,0.68,3.475844823361003e+27
1659,UMi,Burkert,b,50000,0.95,4.935816428812729e+27
