,name,profile,ch,mass,quantile,tau
1890,Wil1,Burkert,b,70,0.05,1.90783057127038e+23
1891,Wil1,Burkert,b,70,0.32,2.4402205739760325e+23
1892,Wil1,Burkert,b,70,0.5,2.7848816267954157e+23
1893,Wil1,Burkert,b,70,0.68,3.178047936215436e+23
1894,Wil1,Burkert,b,70,0.95,4.440109309719492e+23
1895,Wil1,Burkert,b,100,0.05,6.36979356013297e+23
1896,Wil1,Burkert,b,100,0.32,7.9602220986798e+23
1897,Wil1,Burkert,b,100,0.5,9.086712664538471e+23
1898,Wil1,Burkert,b,100,0.68,1.0399472752927746e+24
1899,Wil1,Burkert,b,100,0.95,1.45965997675949e+24
1900,Wil1,Burkert,b,200,0.05,3.533620904013124e+24
1901,Wil1,Burkert,b,200,0.32,4.4223357970438606e+24
1902,Wil1,Burkert,b,200,0.5,4.954776779800688e+24
1903,Wil1,Burkert,b,200,0.68,5.786333118022737e+24
1904,Wil1,Burkert,b,200,0.95,8.431213003332476e+24
1905,Wil1,Burkert,b,500,0.05,1.4131786703589215e+25
1906,Wil1,Burkert,b,500,0.32,1.7361317918328583e+25
1907,Wil1,Burkert,b,500,0.5,2.026166360590619e+25
1908,Wil1,Burkert,b,500,0.68,2.2864792290091527e+25
1909,Wil1,Burkert,b,500,0.95,3.309599809779264e+25
1910,Wil1,Burkert,b,1000,0.05,2.6573683609484965e+25
1911,Wil1,Burkert,b,1000,0.32,3.3258032885965643e+25
1912,Wil1,Burkert,b,1000,0.5,3.77459379360278e+25
1913,Wil1,Burkert,b,1000,0.68,4.377577915315922e+25
1914,Wil1,Burkert,b,1000,0.95,6.623520095908755e+25
1915,Wil1,Burkert,b,5000,0.05,6.773370274529937e+25
1916,Wil1,Burkert,b,5000,0.32,8.51731089861002e+25
1917,Wil1,Burkert,b,5000,0.5,9.54958293231977e+25
1918,Wil1,Burkert,b,5000,0.68,1.0960187443277995e+26
1919,Wil1,Burkert,b,5000,0.95,1.614465357962824e+26
1920,Wil1,Burkert,b,10000,0.05,8.48292224435138e+25
1921,Wil1,Burkert,b,10000,0.32,1.1092485576119635e+26
1922,Wil1,Burkert,b,10000,0.5,1.2720161921033068e+26
1923,Wil1,Burkert,b,10000,0.68,1.4570962007364885e+26
1924,Wil1,Burkert,b,10000,0.95,2.1654607343756917e+26
1925,Wil1,Burkert,b,50000,0.05,1.3644396268870627e+26
1926,Wil1,Burkert,b,50000,0.32,1.7850624948717748e+26
1927,Wil1,Burkert,b,50000,0.5,2.0403008612964562e+26
1928,Wil1,Burkert,b,50000,0.68,2.3680292304528122e+26
1929,Wil1,Burkert,b,50000,0.95,3.3297778024513005e+26
1930,Wil1,Burkert,b,100000,0.05,1.3948771425107526e+26
1931,Wil1,Burkert,b,100000,0.32,1.9188699145889523e+26
1932,Wil1,Burkert,b,100000,0.5,2.1916604765643135e+26
1933,Wil1,Burkert,b,100000,0.68,2.54128394124699e+26
1934,Wil1,Burkert,b,100000,0.95,3.686838981006764e+26
1935,Wil1,Burkert,mu,70,0.05,1.7680449597654792e+24
1936,Wil1,Burkert,mu,70,0.32,2.184740510216219e+24
1937,Wil1,Burkert,mu,70,0.5,2.4881003839632246e+24
1938,Wil1,Burkert,mu,70,0.68,2.899273357949494e+24
1939,Wil1,Burkert,mu,70,0.95,4.1950814467141543e+24
1940,Wil1,Burkert,mu,100,0.05,2.990536272917709e+24
1941,Wil1,Burkert,mu,100,0.32,3.702558862297077e+24
1942,Wil1,Burkert,mu,100,0.5,4.13037878178467e+24
1943,Wil1,Burkert,mu,100,0.68,4.874729167551343e+24
1944,Wil1,Burkert,mu,100,0.95,7.099481468721929e+24
1945,Wil1,Burkert,mu,200,0.05,5.56789787814095e+24
1946,Wil1,Burkert,mu,200,0.32,7.071692284826707e+24
1947,Wil1,Burkert,mu,200,0.5,7.953959741655562e+24
1948,Wil1,Burkert,mu,200,0.68,9.269130761103047e+24
1949,Wil1,Burkert,mu,200,0.95,1.3639844202254398e+25
1950,Wil1,Burkert,mu,500,0.05,9.555038518085558e+24
1951,Wil1,Burkert,mu,500,0.32,1.2245332929587605e+25
1952,Wil1,Burkert,mu,500,0.5,1.4094634444193416e+25
1953,Wil1,Burkert,mu,500,0.68,1.6508947990848513e+25
1954,Wil1,Burkert,mu,500,0.95,2.484096135971275e+25
1955,Wil1,Burkert,mu,1000,0.05,1.394328711483719e+25
1956,Wil1,Burkert,mu,1000,0.32,1.7819071851801593e+25
1957,Wil1,Burkert,mu,1000,0.5,2.0899243448809393e+25
1958,Wil1,Burkert,mu,1000,0.68,2.489020394567456e+25
1959,Wil1,Burkert,mu,1000,0.95,3.7159521337873944e+25
1960,Wil1,Burkert,mu,5000,0.05,2.715036913407511e+25
1961,Wil1,Burkert,mu,5000,0.32,3.6793507756756673e+25
1962,Wil1,Burkert,mu,5000,0.5,4.252523205406648e+25
1963,Wil1,Burkert,mu,5000,0.68,5.0362355242115616e+25
1964,Wil1,Burkert,mu,5000,0.95,7.499668084981616e+25
1965,Wil1,Burkert,mu,10000,0.05,2.9111094611975986e+25
1966,Wil1,Burkert,mu,10000,0.32,3.7457018497877585e+25
1967,Wil1,Burkert,mu,10000,0.5,4.345736927003944e+25
1968,Wil1,Burkert,mu,10000,0.68,5.0771578161095475e+25
1969,Wil1,Burkert,mu,10000,0.95,7.29279783977502e+25
1970,Wil1,Burkert,mu,50000,0.05,1.7964845820966413e+25
1971,Wil1,Burkert,mu,50000,0.32,2.3656029947014257e+25
1972,Wil1,Burkert,mu,50000,0.5,2.718298889833647e+25
1973,Wil1,Burkert,mu,50000,0.68,3.202703276975245e+25
1974,Wil1,Burkert,mu,50000,0.95,4.854988759529879e+25
1975,Wil1,Burkert,mu,100000,0.05,1.2220041582530936e+25
1976,Wil1,Burkert,mu,100000,0.32,1.5982931540112471e+25
1977,Wil1,Burkert,mu,100000,0.5,1.8309742730788612e+25
1978,Wil1,Burkert,mu,100000,0.68,2.1244803738047054e+25
1979,Wil1,Burkert,mu,100000,0.95,3.320372626127758e+25
1980,Wil1,Burkert,tau,70,0.05,5.12785146664987e+24
1981,Wil1,Burkert,tau,70,0.32,6.52092525952822e+24
1982,Wil1,Burkert,tau,70,0.5,7.284277323370695e+24
1983,Wil1,Burkert,tau,70,0.68,8.430512472977233e+24
1984,Wil1,Burkert,tau,70,0.95,1.1897292729481895e+25
1985,Wil1,Burkert,tau,100,0.05,1.0481005538296462e+25
1986,Wil1,Burkert,tau,100,0.32,1.3308508152969776e+25
1987,Wil1,Burkert,tau,100,0.5,1.5070473638829467e+25
1988,Wil1,Burkert,tau,100,0.68,1.7599670798544549e+25
1989,Wil1,Burkert,tau,100,0.95,2.513862260357258e+25
1990,Wil1,Burkert,tau,200,0.05,2.3969778044476723e+25
1991,Wil1,Burkert,tau,200,0.32,3.0499834629216557e+25
1992,Wil1,Burkert,tau,200,0.5,3.5084756173699265e+25
1993,Wil1,Burkert,tau,200,0.68,4.0586020782846885e+25
1994,Wil1,Burkert,tau,200,0.95,6.278388950884955e+25
1995,Wil1,Burkert,tau,500,0.05,4.538185394728676e+25
1996,Wil1,Burkert,tau,500,0.32,5.650888213408579e+25
1997,Wil1,Burkert,tau,500,0.5,6.492998747647364e+25
1998,Wil1,Burkert,tau,500,0.68,7.690132319395189e+25
1999,Wil1,Burkert,tau,500,0.95,1.098302464364984e+26
2000,Wil1,Burkert,tau,1000,0.05,6.096159546445615e+25
2001,Wil1,Burkert,tau,1000,0.32,8.024431250590563e+25
2002,Wil1,Burkert,tau,1000,0.5,9.097285287524254e+25
2003,Wil1,Burkert,tau,1000,0.68,1.0608790480653144e+26
2004,Wil1,Burkert,tau,1000,0.95,1.4574105941298836e+26
2005,Wil1,Burkert,tau,5000,0.05,1.1051575247947231e+26
2006,Wil1,Burkert,tau,5000,0.32,1.46977267640526e+26
2007,Wil1,Burkert,tau,5000,0.5,1.7214245928154803e+26
