,name,profile,ch,mass,quantile,sigma_v
0,CBe,Einasto,W,100,0.05,2.6770769173847025e-23
1,CBe,Einasto,W,100,0.32,5.019572298977715e-23
2,CBe,Einasto,W,100,0.5,7.557066754940492e-23
3,CBe,Einasto,W,100,0.68,1.2303892364427115e-22
4,CBe,Einasto,W,100,0.95,5.65958362619377e-22
5,CBe,Einasto,W,200,0.05,8.263475946741346e-24
6,CBe,Einasto,W,200,0.32,1.6793392058837652e-23
7,CBe,Einasto,W,200,0.5,2.3355330177530866e-23
8,CBe,Einasto,W,200,0.68,3.642865428295616e-23
9,CBe,Einasto,W,200,0.95,1.6287545794323404e-22
10,CBe,Einasto,W,500,0.05,6.206795753404508e-24
11,CBe,Einasto,W,500,0.32,1.2056472546866971e-23
12,CBe,Einasto,W,500,0.5,1.8737772641493334e-23
13,CBe,Einasto,W,500,0.68,2.837058479177688e-23
14,CBe,Einasto,W,500,0.95,1.1925914000367088e-22
15,CBe,Einasto,W,1000,0.05,7.380132411117061e-24
16,CBe,Einasto,W,1000,0.32,1.4729018478884608e-23
17,CBe,Einasto,W,1000,0.5,2.1022676899137604e-23
18,CBe,Einasto,W,1000,0.68,3.4877795181934444e-23
19,CBe,Einasto,W,1000,0.95,1.690319288855461e-22
20,CBe,Einasto,W,5000,0.05,1.2538300451535253e-23
21,CBe,Einasto,W,5000,0.32,2.344757894594852e-23
22,CBe,Einasto,W,5000,0.5,3.5529629489961245e-23
23,CBe,Einasto,W,5000,0.68,5.539111351062862e-23
24,CBe,Einasto,W,5000,0.95,2.676430398504902e-22
25,CBe,Einasto,W,10000,0.05,1.8969692127947867e-23
26,CBe,Einasto,W,10000,0.32,3.6921290460949597e-23
27,CBe,Einasto,W,10000,0.5,5.550737177261467e-23
28,CBe,Einasto,W,10000,0.68,8.792405255501796e-23
29,CBe,Einasto,W,10000,0.95,4.269309050052445e-22
30,CBe,Einasto,W,50000,0.05,5.964622444915364e-23
31,CBe,Einasto,W,50000,0.32,1.2623433419782373e-22
32,CBe,Einasto,W,50000,0.5,1.896615073003544e-22
33,CBe,Einasto,W,50000,0.68,2.926485988070939e-22
34,CBe,Einasto,W,50000,0.95,1.2818153371615874e-21
35,CBe,Einasto,W,100000,0.05,1.173829777076303e-22
36,CBe,Einasto,W,100000,0.32,2.4194904698832807e-22
37,CBe,Einasto,W,100000,0.5,3.674902340466545e-22
38,CBe,Einasto,W,100000,0.68,5.587745305164803e-22
39,CBe,Einasto,W,100000,0.95,2.323133254120811e-21
40,CBe,Einasto,b,70,0.05,7.166326715209309e-23
41,CBe,Einasto,b,70,0.32,1.3236150100173145e-22
42,CBe,Einasto,b,70,0.5,2.04217788629283e-22
43,CBe,Einasto,b,70,0.68,3.477702482806489e-22
44,CBe,Einasto,b,70,0.95,1.5476433059920544e-21
45,CBe,Einasto,b,100,0.05,3.2866035073963545e-23
46,CBe,Einasto,b,100,0.32,6.131677488850019e-23
47,CBe,Einasto,b,100,0.5,9.355548450040289e-23
48,CBe,Einasto,b,100,0.68,1.5089551474269358e-22
49,CBe,Einasto,b,100,0.95,6.967992064417159e-22
50,CBe,Einasto,b,200,0.05,1.2628505155440483e-23
51,CBe,Einasto,b,200,0.32,2.4046131356809723e-23
52,CBe,Einasto,b,200,0.5,3.672218291600958e-23
53,CBe,Einasto,b,200,0.68,5.451238798854713e-23
54,CBe,Einasto,b,200,0.95,2.8325350298446573e-22
55,CBe,Einasto,b,500,0.05,7.580928251687565e-24
56,CBe,Einasto,b,500,0.32,1.5227024151729234e-23
57,CBe,Einasto,b,500,0.5,2.1322706224130273e-23
58,CBe,Einasto,b,500,0.68,3.325254230707248e-23
