,name,profile,ch,mass,quantile,tau
0,CBe,Einasto,W,100,0.05,9.183934598282678e+22
1,CBe,Einasto,W,100,0.32,3.5185242409533064e+23
2,CBe,Einasto,W,100,0.5,5.156251621225813e+23
3,CBe,Einasto,W,100,0.68,7.599048782154216e+23
4,CBe,Einasto,W,100,0.95,1.5143859390937057e+24
5,CBe,Einasto,W,200,0.05,7.086133875854154e+23
6,CBe,Einasto,W,200,0.32,1.9969770235014075e+24
7,CBe,Einasto,W,200,0.5,3.0004910051643747e+24
8,CBe,Einasto,W,200,0.68,4.4058306503959367e+24
9,CBe,Einasto,W,200,0.95,9.011562607908838e+24
10,CBe,Einasto,W,500,0.05,2.2679932184575958e+24
11,CBe,Einasto,W,500,0.32,7.249687397827658e+24
12,CBe,Einasto,W,500,0.5,1.1167318068048216e+25
13,CBe,Einasto,W,500,0.68,1.5629114337454483e+25
14,CBe,Einasto,W,500,0.95,3.046029545937689e+25
15,CBe,Einasto,W,1000,0.05,3.665970296456916e+24
16,CBe,Einasto,W,1000,0.32,1.1343394084688694e+25
17,CBe,Einasto,W,1000,0.5,1.722372453710866e+25
18,CBe,Einasto,W,1000,0.68,2.491501891110273e+25
19,CBe,Einasto,W,1000,0.95,4.914623131863456e+25
20,CBe,Einasto,W,5000,0.05,8.640223473200115e+24
21,CBe,Einasto,W,5000,0.32,4.670224818955913e+25
22,CBe,Einasto,W,5000,0.5,7.3501365786067795e+25
23,CBe,Einasto,W,5000,0.68,1.0839426117697391e+26
24,CBe,Einasto,W,5000,0.95,2.110112282341956e+26
25,CBe,Einasto,W,10000,0.05,1.2010310070823085e+25
26,CBe,Einasto,W,10000,0.32,6.29242462273463e+25
27,CBe,Einasto,W,10000,0.5,9.730398124758498e+25
28,CBe,Einasto,W,10000,0.68,1.4193254753139219e+26
29,CBe,Einasto,W,10000,0.95,2.822610162141122e+26
30,CBe,Einasto,W,50000,0.05,1.9425560593983048e+25
31,CBe,Einasto,W,50000,0.32,1.0751064466036211e+26
32,CBe,Einasto,W,50000,0.5,1.6596135729707257e+26
33,CBe,Einasto,W,50000,0.68,2.3966003394415763e+26
34,CBe,Einasto,W,50000,0.95,4.602104987027389e+26
35,CBe,Einasto,W,100000,0.05,2.2700363671446166e+25
36,CBe,Einasto,W,100000,0.32,1.216308815599509e+26
37,CBe,Einasto,W,100000,0.5,1.8038156888004417e+26
38,CBe,Einasto,W,100000,0.68,2.6244794374681537e+26
39,CBe,Einasto,W,100000,0.95,4.9434633768909076e+26
40,CBe,Einasto,b,70,0.05,1.971580596395217e+22
41,CBe,Einasto,b,70,0.32,8.717518800074626e+22
42,CBe,Einasto,b,70,0.5,1.3465398414010123e+23
43,CBe,Einasto,b,70,0.68,1.988276694239526e+23
44,CBe,Einasto,b,70,0.95,4.0187599694037974e+23
45,CBe,Einasto,b,100,0.05,6.135253854124469e+22
46,CBe,Einasto,b,100,0.32,2.6521416037978236e+23
47,CBe,Einasto,b,100,0.5,3.87143822914834e+23
48,CBe,Einasto,b,100,0.68,5.891566553671882e+23
49,CBe,Einasto,b,100,0.95,1.172064351521211e+24
50,CBe,Einasto,b,200,0.05,4.214658187971635e+23
51,CBe,Einasto,b,200,0.32,1.2908468258344815e+24
52,CBe,Einasto,b,200,0.5,1.9420031224086264e+24
53,CBe,Einasto,b,200,0.68,2.741801547171591e+24
54,CBe,Einasto,b,200,0.95,5.547992329407115e+24
55,CBe,Einasto,b,500,0.05,1.8566557616239046e+24
56,CBe,Einasto,b,500,0.32,5.710592292349191e+24
57,CBe,Einasto,b,500,0.5,8.467888869820329e+24
