,name,name2,profile,ch,mass,quantile,sigma_v
0,DraI,UMi,Einasto,W,100,0.05,3.1678522989192517e-24
1,DraI,UMi,Einasto,W,100,0.32,4.4770695660468986e-24
2,DraI,UMi,Einasto,W,100,0.5,5.39455780909786e-24
3,DraI,UMi,Einasto,W,100,0.68,7.764674077425493e-24
4,DraI,UMi,Einasto,W,100,0.95,1.549421562372991e-23
5,DraI,UMi,Einasto,W,200,0.05,9.726453637597188e-25
6,DraI,UMi,Einasto,W,200,0.32,1.4086803114570105e-24
7,DraI,UMi,Einasto,W,200,0.5,1.6813572744670882e-24
8,DraI,UMi,Einasto,W,200,0.68,2.62816168259534e-24
9,DraI,UMi,Einasto,W,200,0.95,5.084635666295195e-24
10,DraI,UMi,Einasto,W,500,0.05,7.413625468168754e-25
11,DraI,UMi,Einasto,W,500,0.32,1.033673921368747e-24
12,DraI,UMi,Einasto,W,500,0.5,1.2635313440701906e-24
13,DraI,UMi,Einasto,W,500,0.68,1.9022101065503305e-24
14,DraI,UMi,Einasto,W,500,0.95,3.977144025829992e-24
15,DraI,UMi,Einasto,W,1000,0.05,7.445233374635841e-25
16,DraI,UMi,Einasto,W,1000,0.32,1.1717731959189194e-24
17,DraI,UMi,Einasto,W,1000,0.5,1.4764398292852364e-24
18,DraI,UMi,Einasto,W,1000,0.68,1.9162704556083802e-24
19,DraI,UMi,Einasto,W,1000,0.95,4.4819475379246e-24
20,DraI,UMi,Einasto,W,5000,0.05,1.3492904753307726e-24
21,DraI,UMi,Einasto,W,5000,0.32,1.9619807556978708e-24
22,DraI,UMi,Einasto,W,5000,0.5,2.483054217887405e-24
23,DraI,UMi,Einasto,W,5000,0.68,3.5048088069888435e-24
24,DraI,UMi,Einasto,W,5000,0.95,6.715239979161144e-24
25,DraI,UMi,Einasto,W,10000,0.05,2.114737107487596e-24
26,DraI,UMi,Einasto,W,10000,0.32,3.1855348919570733e-24
27,DraI,UMi,Einasto,W,10000,0.5,3.998620174367166e-24
28,DraI,UMi,Einasto,W,10000,0.68,5.6208563862748875e-24
29,DraI,UMi,Einasto,W,10000,0.95,1.0197493852599021e-23
30,DraI,UMi,Einasto,W,50000,0.05,8.066379176825402e-24
31,DraI,UMi,Einasto,W,50000,0.32,1.2473459409155701e-23
32,DraI,UMi,Einasto,W,50000,0.5,1.5273966859477889e-23
33,DraI,UMi,Einasto,W,50000,0.68,1.9822493625178239e-23
34,DraI,UMi,Einasto,W,50000,0.95,3.876541234605247e-23
35,DraI,UMi,Einasto,W,100000,0.05,1.6150909943190185e-23
36,DraI,UMi,Einasto,W,100000,0.32,2.3710175537693315e-23
37,DraI,UMi,Einasto,W,100000,0.5,2.9404946182121186e-23
38,DraI,UMi,Einasto,W,100000,0.68,3.643549923444593e-23
39,DraI,UMi,Einasto,W,100000,0.95,7.514229310598274e-23
40,DraI,UMi,Einasto,b,70,0.05,8.371741017759643e-24
41,DraI,UMi,Einasto,b,70,0.32,1.3023648104022422e-23
42,DraI,UMi,Einasto,b,70,0.5,1.5527560834284193e-23
43,DraI,UMi,Einasto,b,70,0.68,2.4689172105237054e-23
44,DraI,UMi,Einasto,b,70,0.95,4.6193327622086376e-23
45,DraI,UMi,Einasto,b,100,0.05,3.79513712659301e-24
46,DraI,UMi,Einasto,b,100,0.32,5.77673018123745e-24
47,DraI,UMi,Einasto,b,100,0.5,6.77569869654714e-24
48,DraI,UMi,Einasto,b,100,0.68,1.0611117359688036e-23
49,DraI,UMi,Einasto,b,100,0.95,1.950918664382277e-23
50,DraI,UMi,Einasto,b,200,0.05,1.4448217113095136e-24
51,DraI,UMi,Einasto,b,200,0.32,2.144354272855749e-24
52,DraI,UMi,Einasto,b,200,0.5,2.6302983647979156e-24
53,DraI,UMi,Einasto,b,200,0.68,4.049378947085526e-24
54,DraI,UMi,Einasto,b,200,0.95,8.117150600492628e-24
55,DraI,UMi,Einasto,b,500,0.05,7.896850897789925e-25
56,DraI,UMi,Einasto,b,500,0.32,1.3170959460808548e-24
57,DraI,UMi,Einasto,b,500,0.5,1.5497092542284747e-24
58,DraI,UMi,Einasto,b,500,0.68,2.2329229820732515e-24
59,DraI,UMi,Einasto,b,500,0.95,5.1838554213292635e-24
60,DraI,UMi,Einasto,b,1000,0.05,8.4308093838242e-25
61,DraI,UMi,Einasto,b,1000,0.32,1.3163484452455515e-24
62,DraI,UMi,Einasto,b,1000,0.5,1.5455735641145536e-24
63,DraI,UMi,Einasto,b,1000,0.68,2.2822740012648763e-24
64,DraI,UMi,Einasto,b,1000,0.95,4.850581803074161e-24
65,DraI,UMi,Einasto,b,5000,0.05,1.5371477193285759e-24
66,DraI,UMi,Einasto,b,5000,0.32,2.391834389339567e-24
67,DraI,UMi,Einasto,b,5000,0.5,2.8377328837649385e-24
68,DraI,UMi,Einasto,b,5000,0.68,4.07991643066837e-24
69,DraI,UMi,Einasto,b,5000,0.95,8.565965290171143e-24
70,DraI,UMi,Einasto,b,10000,0.05,2.3889316106696005e-24
71,DraI,UMi,Einasto,b,10000,0.32,3.34909559888301e-24
72,DraI,UMi,Einasto,b,10000,0.5,4.1739882053455525e-24
73,DraI,UMi,Einasto,b,10000,0.68,6.136132054636691e-24
74,DraI,UMi,Einasto,b,10000,0.95,1.0152273019947029e-23
75,DraI,UMi,Einasto,b,50000,0.05,7.07851646053696e-24
76,DraI,UMi,Einasto,b,50000,0.32,1.084181493545704e-23
77,DraI,UMi,Einasto,b,50000,0.5,1.3035305010358229e-23
78,DraI,UMi,Einasto,b,50000,0.68,1.6942928959493452e-23
79,DraI,UMi,Einasto,b,50000,0.95,3.36994649734836e-23
80,DraI,UMi,Einasto,b,100000,0.05,1.293202621685199e-23
81,DraI,UMi,Einasto,b,100000,0.32,1.9391129841746441e-23
82,DraI,UMi,Einasto,b,100000,0.5,2.3646764267928898e-23
83,DraI,UMi,Einasto,b,100000,0.68,3.055949354734659e-23
84,DraI,UMi,Einasto,b,100000,0.95,6.299878285776196e-23
85,DraI,UMi,Einasto,mu,70,0.05,1.004015759597332e-24
86,DraI,UMi,Einasto,mu,70,0.32,1.4752954894891193e-24
87,DraI,UMi,Einasto,mu,70,0.5,1.909917787323507e-24
88,DraI,UMi,Einasto,mu,70,0.68,2.7296570130108152e-24
89,DraI,UMi,Einasto,mu,70,0.95,5.484665967780824e-24
90,DraI,UMi,Einasto,mu,100,0.05,8.753478156838082e-25
91,DraI,UMi,Einasto,mu,100,0.32,1.3280281680313353e-24
92,DraI,UMi,Einasto,mu,100,0.5,1.6170614883589852e-24
93,DraI,UMi,Einasto,mu,100,0.68,2.2229480065582573e-24
94,DraI,UMi,Einasto,mu,100,0.95,4.702291952060853e-24
95,DraI,UMi,Einasto,mu,200,0.05,8.065041958027903e-25
96,DraI,UMi,Einasto,mu,200,0.32,1.3397454789573372e-24
97,DraI,UMi,Einasto,mu,200,0.5,1.6219453882797698e-24
98,DraI,UMi,Einasto,mu,200,0.68,2.24384914077769e-24
99,DraI,UMi,Einasto,mu,200,0.95,3.85607511034548e-24
100,DraI,UMi,Einasto,mu,500,0.05,1.0681674263207812e-24
101,DraI,UMi,Einasto,mu,500,0.32,1.6190170584858711e-24
102,DraI,UMi,Einasto,mu,500,0.5,1.9628693045742742e-24
103,DraI,UMi,Einasto,mu,500,0.68,2.7584516554611032e-24
104,DraI,UMi,Einasto,mu,500,0.95,5.178096812136875e-24
105,DraI,UMi,Einasto,mu,1000,0.05,1.2977221555833445e-24
106,DraI,UMi,Einasto,mu,1000,0.32,2.0193550351541237e-24
107,DraI,UMi,Einasto,mu,1000,0.5,2.553455151281981e-24
108,DraI,UMi,Einasto,mu,1000,0.68,3.3328327509322504e-24
109,DraI,UMi,Einasto,mu,1000,0.95,6.537430951613333e-24
110,DraI,UMi,Einasto,mu,5000,0.05,3.03688613160308e-24
111,DraI,UMi,Einasto,mu,5000,0.32,4.9114602892173784e-24
112,DraI,UMi,Einasto,mu,5000,0.5,6.455181003608346e-24
