,name,name2,name3,name4,name5,name6,name7,name8,profile,ch,mass,quantile,sigma_v
0,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100,0.05,3.828799890640786e-24
1,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100,0.32,6.5440185917595516e-24
2,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100,0.5,8.560337344090969e-24
3,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100,0.68,9.993942393728737e-24
4,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100,0.95,1.7408753429196523e-23
5,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,200,0.05,1.1050490539647352e-24
6,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,200,0.32,1.5638319577997391e-24
7,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,200,0.5,1.870575880639483e-24
8,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,200,0.68,2.284162204194418e-24
9,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,200,0.95,4.08833124762367e-24
10,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,500,0.05,7.384973709819696e-25
11,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,500,0.32,1.1663299412253312e-24
12,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,500,0.5,1.3255934504975482e-24
13,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,500,0.68,1.5833173556989646e-24
14,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,500,0.95,4.1106598349036716e-24
15,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,1000,0.05,8.609690948816716e-25
16,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,1000,0.32,1.2223539611590758e-24
17,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,1000,0.5,1.5355209325501987e-24
18,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,1000,0.68,1.6919113453914058e-24
19,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,1000,0.95,3.5426856217145404e-24
20,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,5000,0.05,1.5603791331355454e-24
21,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,5000,0.32,2.2768242934130943e-24
22,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,5000,0.5,2.744794651829248e-24
23,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,5000,0.68,3.595148876081714e-24
24,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,5000,0.95,6.414596506345283e-24
25,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,10000,0.05,2.2467464433104283e-24
26,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,10000,0.32,3.2887924952793807e-24
27,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,10000,0.5,4.222203522062839e-24
28,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,10000,0.68,5.1278644772763904e-24
29,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,10000,0.95,1.0605355598767556e-23
30,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,50000,0.05,8.12404791207734e-24
31,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,50000,0.32,1.3106111697624333e-23
32,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,50000,0.5,1.6151741267109475e-23
33,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,50000,0.68,2.0489707225645373e-23
34,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,50000,0.95,3.881591306397294e-23
35,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100000,0.05,1.6093206374794444e-23
36,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100000,0.32,2.4951109832709498e-23
37,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100000,0.5,3.296480691487214e-23
38,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100000,0.68,4.272278888850519e-23
39,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,W,100000,0.95,7.315780574172366e-23
40,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.05,1.0800472422103408e-23
41,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.32,1.822953406577837e-23
42,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.5,2.414882453011238e-23
43,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.68,2.874691477666641e-23
