,name,name2,profile,ch,mass,quantile,tau
0,CBe,Wil1,Einasto,W,100,0.05,3.1178462326989545e+23
1,CBe,Wil1,Einasto,W,100,0.32,7.196220799956338e+23
2,CBe,Wil1,Einasto,W,100,0.5,1.1048316605663488e+24
3,CBe,Wil1,Einasto,W,100,0.68,1.6861067461111184e+24
4,CBe,Wil1,Einasto,W,100,0.95,3.0664852371908165e+24
5,CBe,Wil1,Einasto,W,200,0.05,1.98962436438961e+24
6,CBe,Wil1,Einasto,W,200,0.32,5.617534287909452e+24
7,CBe,Wil1,Einasto,W,200,0.5,7.384758848332868e+24
8,CBe,Wil1,Einasto,W,200,0.68,9.942978974437435e+24
9,CBe,Wil1,Einasto,W,200,0.95,2.086888947441684e+25
10,CBe,Wil1,Einasto,W,500,0.05,6.387651945612615e+24
11,CBe,Wil1,Einasto,W,500,0.32,1.6447769161197084e+25
12,CBe,Wil1,Einasto,W,500,0.5,2.46573398878258e+25
13,CBe,Wil1,Einasto,W,500,0.68,3.5549610778957344e+25
14,CBe,Wil1,Einasto,W,500,0.95,7.179276336035518e+25
15,CBe,Wil1,Einasto,W,1000,0.05,1.038024310200751e+25
16,CBe,Wil1,Einasto,W,1000,0.32,2.900286006388112e+25
17,CBe,Wil1,Einasto,W,1000,0.5,4.411774072766531e+25
18,CBe,Wil1,Einasto,W,1000,0.68,6.247292064093148e+25
19,CBe,Wil1,Einasto,W,1000,0.95,1.1321299017668158e+26
20,CBe,Wil1,Einasto,W,5000,0.05,2.716149422273325e+25
21,CBe,Wil1,Einasto,W,5000,0.32,9.423023891050508e+25
22,CBe,Wil1,Einasto,W,5000,0.5,1.6678868757634693e+26
23,CBe,Wil1,Einasto,W,5000,0.68,2.2516039015133098e+26
24,CBe,Wil1,Einasto,W,5000,0.95,4.68626489840835e+26
25,CBe,Wil1,Einasto,W,10000,0.05,4.00322681468561e+25
26,CBe,Wil1,Einasto,W,10000,0.32,1.220768792368064e+26
27,CBe,Wil1,Einasto,W,10000,0.5,2.071520395441178e+26
28,CBe,Wil1,Einasto,W,10000,0.68,3.0365126115794852e+26
29,CBe,Wil1,Einasto,W,10000,0.95,6.139012478150988e+26
30,CBe,Wil1,Einasto,W,50000,0.05,5.437097410113632e+25
31,CBe,Wil1,Einasto,W,50000,0.32,2.239112434542238e+26
32,CBe,Wil1,Einasto,W,50000,0.5,3.270114355058669e+26
33,CBe,Wil1,Einasto,W,50000,0.68,4.733759477415207e+26
34,CBe,Wil1,Einasto,W,50000,0.95,1.0503456143906642e+27
35,CBe,Wil1,Einasto,W,100000,0.05,5.863566335658092e+25
36,CBe,Wil1,Einasto,W,100000,0.32,2.4801037531630125e+26
37,CBe,Wil1,Einasto,W,100000,0.5,3.737428637551905e+26
38,CBe,Wil1,Einasto,W,100000,0.68,5.0355967388213246e+26
39,CBe,Wil1,Einasto,W,100000,0.95,1.129693683008875e+27
40,CBe,Wil1,Einasto,b,70,0.05,7.972425417454056e+22
41,CBe,Wil1,Einasto,b,70,0.32,2.0086415066317223e+23
42,CBe,Wil1,Einasto,b,70,0.5,2.939786613404997e+23
43,CBe,Wil1,Einasto,b,70,0.68,4.362949476548871e+23
44,CBe,Wil1,Einasto,b,70,0.95,8.493668934906888e+23
45,CBe,Wil1,Einasto,b,100,0.05,2.5370558389875243e+23
46,CBe,Wil1,Einasto,b,100,0.32,5.776577829203011e+23
47,CBe,Wil1,Einasto,b,100,0.5,9.015521535453376e+23
48,CBe,Wil1,Einasto,b,100,0.68,1.2520491338617952e+24
49,CBe,Wil1,Einasto,b,100,0.95,2.4466845376545627e+24
50,CBe,Wil1,Einasto,b,200,0.05,1.331293939307969e+24
51,CBe,Wil1,Einasto,b,200,0.32,3.422926637537196e+24
52,CBe,Wil1,Einasto,b,200,0.5,4.554262898914989e+24
53,CBe,Wil1,Einasto,b,200,0.68,6.321950536966597e+24
54,CBe,Wil1,Einasto,b,200,0.95,1.326027026346691e+25
55,CBe,Wil1,Einasto,b,500,0.05,5.545730351142949e+24
56,CBe,Wil1,Einasto,b,500,0.32,1.3757458879217627e+25
57,CBe,Wil1,Einasto,b,500,0.5,2.0438967210543477e+25
58,CBe,Wil1,Einasto,b,500,0.68,2.7767252939275874e+25
59,CBe,Wil1,Einasto,b,500,0.95,5.976868194048865e+25
60,CBe,Wil1,Einasto,b,1000,0.05,1.0690113667508277e+25
61,CBe,Wil1,Einasto,b,1000,0.32,2.7649688382276484e+25
62,CBe,Wil1,Einasto,b,1000,0.5,4.2451994278964544e+25
63,CBe,Wil1,Einasto,b,1000,0.68,5.957302977884847e+25
64,CBe,Wil1,Einasto,b,1000,0.95,1.229108914640806e+26
65,CBe,Wil1,Einasto,b,5000,0.05,2.3264553406189748e+25
66,CBe,Wil1,Einasto,b,5000,0.32,5.859024269477981e+25
67,CBe,Wil1,Einasto,b,5000,0.5,9.366288289472589e+25
68,CBe,Wil1,Einasto,b,5000,0.68,1.4760535880678974e+26
69,CBe,Wil1,Einasto,b,5000,0.95,3.021945783800043e+26
70,CBe,Wil1,Einasto,b,10000,0.05,3.140777556641835e+25
71,CBe,Wil1,Einasto,b,10000,0.32,9.551852153610317e+25
72,CBe,Wil1,Einasto,b,10000,0.5,1.523425752755875e+26
73,CBe,Wil1,Einasto,b,10000,0.68,2.3328304203517277e+26
74,CBe,Wil1,Einasto,b,10000,0.95,4.652022055843462e+26
75,CBe,Wil1,Einasto,b,50000,0.05,7.235020543876014e+25
76,CBe,Wil1,Einasto,b,50000,0.32,2.369321791176145e+26
77,CBe,Wil1,Einasto,b,50000,0.5,3.733245726172755e+26
78,CBe,Wil1,Einasto,b,50000,0.68,5.954640055595749e+26
79,CBe,Wil1,Einasto,b,50000,0.95,1.0794090049259662e+27
80,CBe,Wil1,Einasto,b,100000,0.05,7.604962525432035e+25
81,CBe,Wil1,Einasto,b,100000,0.32,3.057254128257845e+26
82,CBe,Wil1,Einasto,b,100000,0.5,4.38479000148109e+26
