,name,name2,profile,ch,mass,quantile,tau
0,DraI,UMi,Einasto,W,100,0.05,2.592910491799165e+24
1,DraI,UMi,Einasto,W,100,0.32,5.065477715261212e+24
2,DraI,UMi,Einasto,W,100,0.5,6.552117343692768e+24
3,DraI,UMi,Einasto,W,100,0.68,8.425040209660835e+24
4,DraI,UMi,Einasto,W,100,0.95,1.4700459084047387e+25
5,DraI,UMi,Einasto,W,200,0.05,1.36911149975194e+25
6,DraI,UMi,Einasto,W,200,0.32,2.4942608333010002e+25
7,DraI,UMi,Einasto,W,200,0.5,3.1789058625909628e+25
8,DraI,UMi,Einasto,W,200,0.68,4.142779618765049e+25
9,DraI,UMi,Einasto,W,200,0.95,7.2851119259164146e+25
10,DraI,UMi,Einasto,W,500,0.05,5.479765400539138e+25
11,DraI,UMi,Einasto,W,500,0.32,9.982729705977792e+25
12,DraI,UMi,Einasto,W,500,0.5,1.285491837834904e+26
13,DraI,UMi,Einasto,W,500,0.68,1.6264455661967216e+26
14,DraI,UMi,Einasto,W,500,0.95,2.805352278354715e+26
15,DraI,UMi,Einasto,W,1000,0.05,1.0336387826040298e+26
16,DraI,UMi,Einasto,W,1000,0.32,1.8670307486816272e+26
17,DraI,UMi,Einasto,W,1000,0.5,2.363097760512974e+26
18,DraI,UMi,Einasto,W,1000,0.68,3.027183642753377e+26
19,DraI,UMi,Einasto,W,1000,0.95,4.943094999755002e+26
20,DraI,UMi,Einasto,W,5000,0.05,3.724794061496252e+26
21,DraI,UMi,Einasto,W,5000,0.32,7.117412865604399e+26
22,DraI,UMi,Einasto,W,5000,0.5,9.309648805088994e+26
23,DraI,UMi,Einasto,W,5000,0.68,1.204737883598046e+27
24,DraI,UMi,Einasto,W,5000,0.95,2.1119599429665083e+27
25,DraI,UMi,Einasto,W,10000,0.05,5.186783584780808e+26
26,DraI,UMi,Einasto,W,10000,0.32,9.74251241796899e+26
27,DraI,UMi,Einasto,W,10000,0.5,1.294302527609313e+27
28,DraI,UMi,Einasto,W,10000,0.68,1.668500281208001e+27
29,DraI,UMi,Einasto,W,10000,0.95,2.8688425062387786e+27
30,DraI,UMi,Einasto,W,50000,0.05,7.915804785121421e+26
31,DraI,UMi,Einasto,W,50000,0.32,1.6289206816174234e+27
32,DraI,UMi,Einasto,W,50000,0.5,2.0967532668449738e+27
33,DraI,UMi,Einasto,W,50000,0.68,2.641281944266184e+27
34,DraI,UMi,Einasto,W,50000,0.95,4.676369302388931e+27
35,DraI,UMi,Einasto,W,100000,0.05,8.633356086356332e+26
36,DraI,UMi,Einasto,W,100000,0.32,1.7285435783981892e+27
37,DraI,UMi,Einasto,W,100000,0.5,2.261270120243509e+27
38,DraI,UMi,Einasto,W,100000,0.68,2.9336056928966404e+27
39,DraI,UMi,Einasto,W,100000,0.95,5.128321921948073e+27
40,DraI,UMi,Einasto,b,70,0.05,6.866480473193284e+23
41,DraI,UMi,Einasto,b,70,0.32,1.3610598840278042e+24
42,DraI,UMi,Einasto,b,70,0.5,1.762839253704539e+24
43,DraI,UMi,Einasto,b,70,0.68,2.2555328968454333e+24
44,DraI,UMi,Einasto,b,70,0.95,3.941499416248892e+24
45,DraI,UMi,Einasto,b,100,0.05,2.0000386096934704e+24
46,DraI,UMi,Einasto,b,100,0.32,3.923305681624536e+24
47,DraI,UMi,Einasto,b,100,0.5,5.048909947611976e+24
48,DraI,UMi,Einasto,b,100,0.68,6.530764181827938e+24
49,DraI,UMi,Einasto,b,100,0.95,1.136003085436362e+25
50,DraI,UMi,Einasto,b,200,0.05,9.035506095330846e+24
51,DraI,UMi,Einasto,b,200,0.32,1.6596049070762748e+25
52,DraI,UMi,Einasto,b,200,0.5,2.182095050635021e+25
53,DraI,UMi,Einasto,b,200,0.68,2.8139796087012657e+25
54,DraI,UMi,Einasto,b,200,0.95,5.044050646167958e+25
55,DraI,UMi,Einasto,b,500,0.05,3.7131952475792982e+25
56,DraI,UMi,Einasto,b,500,0.32,7.024156090858944e+25
57,DraI,UMi,Einasto,b,500,0.5,8.980413075336579e+25
58,DraI,UMi,Einasto,b,500,0.68,1.1538333837925916e+26
59,DraI,UMi,Einasto,b,500,0.95,2.0455880438492166e+26
60,DraI,UMi,Einasto,b,1000,0.05,9.272399323744733e+25
61,DraI,UMi,Einasto,b,1000,0.32,1.6749348067415685e+26
62,DraI,UMi,Einasto,b,1000,0.5,2.1144094397044796e+26
63,DraI,UMi,Einasto,b,1000,0.68,2.7114556727065654e+26
64,DraI,UMi,Einasto,b,1000,0.95,4.6430097180698346e+26
65,DraI,UMi,Einasto,b,5000,0.05,2.8502403146861202e+26
66,DraI,UMi,Einasto,b,5000,0.32,4.980992915495856e+26
67,DraI,UMi,Einasto,b,5000,0.5,6.45863521040886e+26
68,DraI,UMi,Einasto,b,5000,0.68,8.188214271554708e+26
69,DraI,UMi,Einasto,b,5000,0.95,1.3792172040937618e+27
70,DraI,UMi,Einasto,b,10000,0.05,4.2494329108871694e+26
71,DraI,UMi,Einasto,b,10000,0.32,7.782346722170233e+26
72,DraI,UMi,Einasto,b,10000,0.5,1.0067979824826834e+27
73,DraI,UMi,Einasto,b,10000,0.68,1.3162818028583298e+27
74,DraI,UMi,Einasto,b,10000,0.95,2.2967967988669987e+27
75,DraI,UMi,Einasto,b,50000,0.05,9.376865858060585e+26
76,DraI,UMi,Einasto,b,50000,0.32,1.8438580920505413e+27
77,DraI,UMi,Einasto,b,50000,0.5,2.4224504585840634e+27
78,DraI,UMi,Einasto,b,50000,0.68,3.044095697978032e+27
79,DraI,UMi,Einasto,b,50000,0.95,5.452901990059259e+27
80,DraI,UMi,Einasto,b,100000,0.05,1.08787422432833e+27
81,DraI,UMi,Einasto,b,100000,0.32,2.184556991303464e+27
82,DraI,UMi,Einasto,b,100000,0.5,2.81853441923982e+27
83,DraI,UMi,Einasto,b,100000,0.68,3.6636926657071095e+27
84,DraI,UMi,Einasto,b,100000,0.95,6.397656167922636e+27
85,DraI,UMi,Einasto,mu,70,0.05,5.999658492032594e+24
86,DraI,UMi,Einasto,mu,70,0.32,1.1564426976797515e+25
87,DraI,UMi,Einasto,mu,70,0.5,1.5059675457782587e+25
88,DraI,UMi,Einasto,mu,70,0.68,1.9377296896324373e+25
89,DraI,UMi,Einasto,mu,70,0.95,3.4689015100669707e+25
90,DraI,UMi,Einasto,mu,100,0.05,1.0954779994054688e+25
91,DraI,UMi,Einasto,mu,100,0.32,2.1705904776962713e+25
92,DraI,UMi,Einasto,mu,100,0.5,2.8013410755415543e+25
93,DraI,UMi,Einasto,mu,100,0.68,3.617593274705908e+25
94,DraI,UMi,Einasto,mu,100,0.95,6.354581706839884e+25
95,DraI,UMi,Einasto,mu,200,0.05,2.7768853260999134e+25
96,DraI,UMi,Einasto,mu,200,0.32,5.421836328988376e+25
97,DraI,UMi,Einasto,mu,200,0.5,7.20616922213362e+25
98,DraI,UMi,Einasto,mu,200,0.68,9.207618788872548e+25
99,DraI,UMi,Einasto,mu,200,0.95,1.6232834493158216e+26
100,DraI,UMi,Einasto,mu,500,0.05,5.18187774050934e+25
