,name,profile,ch,mass,quantile,sigma_v
175,DraI,Einasto,W,100,0.05,1.3429877931772432e-23
176,DraI,Einasto,W,100,0.32,2.2660998843577823e-23
177,DraI,Einasto,W,100,0.5,2.827422912223939e-23
178,DraI,Einasto,W,100,0.68,3.530725937319735e-23
179,DraI,Einasto,W,100,0.95,6.487483457716625e-23
180,DraI,Einasto,W,200,0.05,3.641178485471124e-24
181,DraI,Einasto,W,200,0.32,6.2194951614438285e-24
182,DraI,Einasto,W,200,0.5,8.019571835859228e-24
183,DraI,Einasto,W,200,0.68,1.0383692205995325e-23
184,DraI,Einasto,W,200,0.95,1.794302718515715e-23
185,DraI,Einasto,W,500,0.05,2.570435350951673e-24
186,DraI,Einasto,W,500,0.32,4.214484707553093e-24
187,DraI,Einasto,W,500,0.5,5.735062953995556e-24
188,DraI,Einasto,W,500,0.68,7.551746227541744e-24
189,DraI,Einasto,W,500,0.95,1.2958505602991381e-23
190,DraI,Einasto,W,1000,0.05,2.8090868541104334e-24
191,DraI,Einasto,W,1000,0.32,4.677504008152826e-24
192,DraI,Einasto,W,1000,0.5,6.031476321132735e-24
193,DraI,Einasto,W,1000,0.68,7.776182717198817e-24
194,DraI,Einasto,W,1000,0.95,1.414109779487013e-23
195,DraI,Einasto,W,5000,0.05,4.8512241257986635e-24
196,DraI,Einasto,W,5000,0.32,8.395877840933298e-24
197,DraI,Einasto,W,5000,0.5,1.0572097727829405e-23
198,DraI,Einasto,W,5000,0.68,1.3738540209078815e-23
199,DraI,Einasto,W,5000,0.95,2.5464793088415227e-23
200,DraI,Einasto,W,10000,0.05,7.732011960547914e-24
201,DraI,Einasto,W,10000,0.32,1.3094694916185537e-23
202,DraI,Einasto,W,10000,0.5,1.705683439854583e-23
203,DraI,Einasto,W,10000,0.68,2.158977496344701e-23
204,DraI,Einasto,W,10000,0.95,3.707568349065201e-23
205,DraI,Einasto,W,50000,0.05,2.939839723459275e-23
206,DraI,Einasto,W,50000,0.32,4.9911120778354607e-23
207,DraI,Einasto,W,50000,0.5,6.301659436015547e-23
208,DraI,Einasto,W,50000,0.68,7.947674483447002e-23
209,DraI,Einasto,W,50000,0.95,1.4584407322269957e-22
210,DraI,Einasto,W,100000,0.05,5.7386604213723e-23
211,DraI,Einasto,W,100000,0.32,9.755258590286548e-23
212,DraI,Einasto,W,100000,0.5,1.2663598906699798e-22
213,DraI,Einasto,W,100000,0.68,1.63517117941395e-22
214,DraI,Einasto,W,100000,0.95,2.8890819393741905e-22
215,DraI,Einasto,b,70,0.05,3.787023345174606e-23
216,DraI,Einasto,b,70,0.32,6.273506201950138e-23
217,DraI,Einasto,b,70,0.5,7.834897633440536e-23
218,DraI,Einasto,b,70,0.68,9.79734362715456e-23
219,DraI,Einasto,b,70,0.95,1.802317200313344e-22
220,DraI,Einasto,b,100,0.05,1.6079780609959e-23
221,DraI,Einasto,b,100,0.32,2.738861302048199e-23
222,DraI,Einasto,b,100,0.5,3.457723634697444e-23
223,DraI,Einasto,b,100,0.68,4.283543162350692e-23
224,DraI,Einasto,b,100,0.95,7.790256830279203e-23
225,DraI,Einasto,b,200,0.05,5.654108035222154e-24
226,DraI,Einasto,b,200,0.32,9.900198713729477e-24
227,DraI,Einasto,b,200,0.5,1.234837719119105e-23
228,DraI,Einasto,b,200,0.68,1.5834896035714505e-23
229,DraI,Einasto,b,200,0.95,2.772559557527459e-23
