,name,profile,ch,mass,quantile,tau
175,DraI,Einasto,W,100,0.05,3.551256429366717e+23
176,DraI,Einasto,W,100,0.32,6.553104612000804e+23
177,DraI,Einasto,W,100,0.5,8.431853421345783e+23
178,DraI,Einasto,W,100,0.68,1.0686637685630563e+24
179,DraI,Einasto,W,100,0.95,1.742005146453807e+24
180,DraI,Einasto,W,200,0.05,2.3089317668585553e+24
181,DraI,Einasto,W,200,0.32,4.160323891338385e+24
182,DraI,Einasto,W,200,0.5,5.265998587665394e+24
183,DraI,Einasto,W,200,0.68,6.753776368314991e+24
184,DraI,Einasto,W,200,0.95,1.135818410336955e+25
185,DraI,Einasto,W,500,0.05,7.409257783610974e+24
186,DraI,Einasto,W,500,0.32,1.4025005974590634e+25
187,DraI,Einasto,W,500,0.5,1.804530983639969e+25
188,DraI,Einasto,W,500,0.68,2.268473974354453e+25
189,DraI,Einasto,W,500,0.95,3.7459121846370784e+25
190,DraI,Einasto,W,1000,0.05,1.254400515787378e+25
191,DraI,Einasto,W,1000,0.32,2.3677084128364018e+25
192,DraI,Einasto,W,1000,0.5,3.0140345310836614e+25
193,DraI,Einasto,W,1000,0.68,3.913204764098354e+25
194,DraI,Einasto,W,1000,0.95,6.4561763483385955e+25
195,DraI,Einasto,W,5000,0.05,3.817712021070815e+25
196,DraI,Einasto,W,5000,0.32,6.904158106913868e+25
197,DraI,Einasto,W,5000,0.5,8.691820043536612e+25
198,DraI,Einasto,W,5000,0.68,1.1185673779103635e+26
199,DraI,Einasto,W,5000,0.95,1.939438155348683e+26
200,DraI,Einasto,W,10000,0.05,4.921676422660845e+25
201,DraI,Einasto,W,10000,0.32,8.686591844442303e+25
202,DraI,Einasto,W,10000,0.5,1.1180539002033992e+26
203,DraI,Einasto,W,10000,0.68,1.4287610354797644e+26
204,DraI,Einasto,W,10000,0.95,2.4834488367061694e+26
205,DraI,Einasto,W,50000,0.05,7.290554889746298e+25
206,DraI,Einasto,W,50000,0.32,1.2642063853148636e+26
207,DraI,Einasto,W,50000,0.5,1.612908914408147e+26
208,DraI,Einasto,W,50000,0.68,2.0652460535614024e+26
209,DraI,Einasto,W,50000,0.95,3.653563458798098e+26
210,DraI,Einasto,W,100000,0.05,7.380406769151679e+25
211,DraI,Einasto,W,100000,0.32,1.3143396567088356e+26
212,DraI,Einasto,W,100000,0.5,1.698495348957295e+26
213,DraI,Einasto,W,100000,0.68,2.194248574272898e+26
214,DraI,Einasto,W,100000,0.95,3.7938548011465476e+26
215,DraI,Einasto,b,70,0.05,9.119641079670326e+22
216,DraI,Einasto,b,70,0.32,1.677328006060064e+23
217,DraI,Einasto,b,70,0.5,2.134981915464628e+23
218,DraI,Einasto,b,70,0.68,2.7512005951927942e+23
219,DraI,Einasto,b,70,0.95,4.46146663588954e+23
220,DraI,Einasto,b,100,0.05,2.9098389695252203e+23
221,DraI,Einasto,b,100,0.32,5.3126898434655934e+23
222,DraI,Einasto,b,100,0.5,6.769329155530982e+23
223,DraI,Einasto,b,100,0.68,8.678075511398274e+23
224,DraI,Einasto,b,100,0.95,1.416042813580069e+24
225,DraI,Einasto,b,200,0.05,1.5235597459263746e+24
226,DraI,Einasto,b,200,0.32,2.735798704269329e+24
227,DraI,Einasto,b,200,0.5,3.580930062714053e+24
228,DraI,Einasto,b,200,0.68,4.518890599363235e+24
229,DraI,Einasto,b,200,0.95,7.57699355083624e+24
230,DraI,Einasto,b,500,0.05,6.420269212137587e+24
231,DraI,Einasto,b,500,0.32,1.13755143158179e+25
232,DraI,Einasto,b,500,0.5,1.4595041100355596e+25
233,DraI,Einasto,b,500,0.68,1.85890903462318e+25
234,DraI,Einasto,b,500,0.95,3.0993770335725572e+25
235,DraI,Einasto,b,1000,0.05,1.2267861516067148e+25
236,DraI,Einasto,b,1000,0.32,2.236260145529564e+25
237,DraI,Einasto,b,1000,0.5,2.932499862152231e+25
238,DraI,Einasto,b,1000,0.68,3.6742447231344362e+25
239,DraI,Einasto,b,1000,0.95,6.073042169323679e+25
240,DraI,Einasto,b,5000,0.05,3.00620540595887e+25
241,DraI,Einasto,b,5000,0.32,5.445269072033424e+25
242,DraI,Einasto,b,5000,0.5,7.138659205353807e+25
243,DraI,Einasto,b,5000,0.68,9.02614916537578e+25
244,DraI,Einasto,b,5000,0.95,1.534672880150132e+26
245,DraI,Einasto,b,10000,0.05,4.385929322306445e+25
246,DraI,Einasto,b,10000,0.32,7.667977700422547e+25
247,DraI,Einasto,b,10000,0.5,9.99452735590921e+25
248,DraI,Einasto,b,10000,0.68,1.2613375526188671e+26
249,DraI,Einasto,b,10000,0.95,2.166335374700236e+26
250,DraI,Einasto,b,50000,0.05,8.899642723871484e+25
251,DraI,Einasto,b,50000,0.32,1.5325426245822686e+26
252,DraI,Einasto,b,50000,0.5,1.9537162539846274e+26
253,DraI,Einasto,b,50000,0.68,2.4632554027490044e+26
254,DraI,Einasto,b,50000,0.95,4.280429687409697e+26
255,DraI,Einasto,b,100000,0.05,9.760849150510854e+25
256,DraI,Einasto,b,100000,0.32,1.7128143279836385e+26
257,DraI,Einasto,b,100000,0.5,2.192625909398393e+26
258,DraI,Einasto,b,100000,0.68,2.8157059715702388e+26
