,name,profile,ch,mass,quantile,tau
350,RetII,Einasto,W,100,0.05,1.1426894753289789e+22
351,RetII,Einasto,W,100,0.32,4.870087179083621e+22
352,RetII,Einasto,W,100,0.5,7.944242032629243e+22
353,RetII,Einasto,W,100,0.68,1.15730568614253e+23
354,RetII,Einasto,W,100,0.95,2.349870283132369e+23
355,RetII,Einasto,W,200,0.05,2.2221615669565602e+23
356,RetII,Einasto,W,200,0.32,6.574069317101989e+23
357,RetII,Einasto,W,200,0.5,9.041084662981802e+23
358,RetII,Einasto,W,200,0.68,1.353695456438831e+24
359,RetII,Einasto,W,200,0.95,2.769445461905248e+24
360,RetII,Einasto,W,500,0.05,9.355439374394817e+23
361,RetII,Einasto,W,500,0.32,2.6003392733716766e+24
362,RetII,Einasto,W,500,0.5,4.0761466316007877e+24
363,RetII,Einasto,W,500,0.68,5.844609381338738e+24
364,RetII,Einasto,W,500,0.95,1.1252853587754554e+25
365,RetII,Einasto,W,1000,0.05,1.7535954503070382e+24
366,RetII,Einasto,W,1000,0.32,5.001829792428593e+24
367,RetII,Einasto,W,1000,0.5,7.342094620725949e+24
368,RetII,Einasto,W,1000,0.68,1.0784627509341965e+25
369,RetII,Einasto,W,1000,0.95,2.089774319556358e+25
370,RetII,Einasto,W,5000,0.05,5.331916888170859e+24
371,RetII,Einasto,W,5000,0.32,1.8615147679516514e+25
372,RetII,Einasto,W,5000,0.5,2.757445644175669e+25
373,RetII,Einasto,W,5000,0.68,4.030653557604703e+25
374,RetII,Einasto,W,5000,0.95,7.545560591724529e+25
375,RetII,Einasto,W,10000,0.05,6.828371079170019e+24
376,RetII,Einasto,W,10000,0.32,2.8372679445703866e+25
377,RetII,Einasto,W,10000,0.5,4.180301401088307e+25
378,RetII,Einasto,W,10000,0.68,6.039303662152426e+25
379,RetII,Einasto,W,10000,0.95,9.954273156771863e+25
380,RetII,Einasto,W,50000,0.05,8.730340848909227e+24
381,RetII,Einasto,W,50000,0.32,4.016794699531796e+25
382,RetII,Einasto,W,50000,0.5,6.105555980659885e+25
383,RetII,Einasto,W,50000,0.68,8.85929774426272e+25
384,RetII,Einasto,W,50000,0.95,1.9956457010770887e+26
385,RetII,Einasto,W,100000,0.05,9.024182341110464e+24
386,RetII,Einasto,W,100000,0.32,4.365239795046388e+25
387,RetII,Einasto,W,100000,0.5,6.469296996213895e+25
388,RetII,Einasto,W,100000,0.68,9.622236144082078e+25
389,RetII,Einasto,W,100000,0.95,2.2021918039616426e+26
390,RetII,Einasto,b,70,0.05,2.622373422326236e+21
391,RetII,Einasto,b,70,0.32,1.1104135826673997e+22
392,RetII,Einasto,b,70,0.5,1.803231734715113e+22
393,RetII,Einasto,b,70,0.68,2.7909272754252283e+22
394,RetII,Einasto,b,70,0.95,5.472352294574556e+22
395,RetII,Einasto,b,100,0.05,9.792495161393845e+21
396,RetII,Einasto,b,100,0.32,4.138362549439747e+22
397,RetII,Einasto,b,100,0.5,6.731147081987229e+22
398,RetII,Einasto,b,100,0.68,9.306751690605398e+22
399,RetII,Einasto,b,100,0.95,2.0275569190284326e+23
400,RetII,Einasto,b,200,0.05,9.12115951183623e+22
401,RetII,Einasto,b,200,0.32,3.2115584734853316e+23
402,RetII,Einasto,b,200,0.5,4.979967562450408e+23
403,RetII,Einasto,b,200,0.68,6.864651788693429e+23
404,RetII,Einasto,b,200,0.95,1.4516016083999534e+24
405,RetII,Einasto,b,500,0.05,5.851828595979814e+23
406,RetII,Einasto,b,500,0.32,1.831989206031387e+24
407,RetII,Einasto,b,500,0.5,2.7760887353821293e+24
408,RetII,Einasto,b,500,0.68,4.15663464199078e+24
409,RetII,Einasto,b,500,0.95,8.330267323365321e+24
410,RetII,Einasto,b,1000,0.05,1.5262035683359867e+24
