,name,profile,ch,mass,quantile,tau
525,Scl,Einasto,W,100,0.05,9.87025635246369e+22
526,Scl,Einasto,W,100,0.32,1.73781193921263e+23
527,Scl,Einasto,W,100,0.5,2.2472739652802845e+23
528,Scl,Einasto,W,100,0.68,2.8088554170860083e+23
529,Scl,Einasto,W,100,0.95,4.689436538661981e+23
530,Scl,Einasto,W,200,0.05,1.5698705357131174e+24
531,Scl,Einasto,W,200,0.32,2.5604835655459613e+24
532,Scl,Einasto,W,200,0.5,3.108068260245865e+24
533,Scl,Einasto,W,200,0.68,3.8146437494598635e+24
534,Scl,Einasto,W,200,0.95,6.248507100007127e+24
535,Scl,Einasto,W,500,0.05,6.40591703122962e+24
536,Scl,Einasto,W,500,0.32,1.2104715455410986e+25
537,Scl,Einasto,W,500,0.5,1.4064797943792314e+25
538,Scl,Einasto,W,500,0.68,1.6839276341592263e+25
539,Scl,Einasto,W,500,0.95,2.59541408108219e+25
540,Scl,Einasto,W,1000,0.05,1.217190504894959e+25
541,Scl,Einasto,W,1000,0.32,2.355557853361487e+25
542,Scl,Einasto,W,1000,0.5,2.7750681249300507e+25
543,Scl,Einasto,W,1000,0.68,3.243726162745722e+25
544,Scl,Einasto,W,1000,0.95,4.937430206557817e+25
545,Scl,Einasto,W,5000,0.05,6.516436135632401e+25
546,Scl,Einasto,W,5000,0.32,7.963481232734237e+25
547,Scl,Einasto,W,5000,0.5,9.163906944557694e+25
548,Scl,Einasto,W,5000,0.68,1.1006519207968555e+26
549,Scl,Einasto,W,5000,0.95,1.6486709333855664e+26
550,Scl,Einasto,W,10000,0.05,9.402976390961972e+25
551,Scl,Einasto,W,10000,0.32,1.1625209256239152e+26
552,Scl,Einasto,W,10000,0.5,1.3341071053855888e+26
553,Scl,Einasto,W,10000,0.68,1.5972986573627807e+26
554,Scl,Einasto,W,10000,0.95,2.656694527113431e+26
555,Scl,Einasto,W,50000,0.05,1.249032339903652e+26
556,Scl,Einasto,W,50000,0.32,1.5754524453361276e+26
557,Scl,Einasto,W,50000,0.5,1.826412070007789e+26
558,Scl,Einasto,W,50000,0.68,2.118999049922987e+26
559,Scl,Einasto,W,50000,0.95,3.451215572619904e+26
560,Scl,Einasto,W,100000,0.05,1.3376773602225798e+26
561,Scl,Einasto,W,100000,0.32,1.658410777463182e+26
562,Scl,Einasto,W,100000,0.5,1.901554554784057e+26
563,Scl,Einasto,W,100000,0.68,2.2572168554804016e+26
564,Scl,Einasto,W,100000,0.95,3.843029311109426e+26
565,Scl,Einasto,b,70,0.05,2.1375390592034373e+22
566,Scl,Einasto,b,70,0.32,3.9051950456092855e+22
567,Scl,Einasto,b,70,0.5,4.984076656354812e+22
568,Scl,Einasto,b,70,0.68,6.160531220913597e+22
569,Scl,Einasto,b,70,0.95,1.0377356334198197e+23
570,Scl,Einasto,b,100,0.05,8.567355073448393e+22
571,Scl,Einasto,b,100,0.32,1.5335454475083964e+23
572,Scl,Einasto,b,100,0.5,1.964612730686185e+23
