,name,profile,ch,mass,quantile,sigma_v
700,SgrII,Einasto,W,100,0.05,4.542866764902935e-22
701,SgrII,Einasto,W,100,0.32,9.310442687337574e-22
702,SgrII,Einasto,W,100,0.5,1.3463496835259562e-21
703,SgrII,Einasto,W,100,0.68,2.023330590285778e-21
704,SgrII,Einasto,W,100,0.95,9.326365243712957e-21
705,SgrII,Einasto,W,200,0.05,6.609607844075527e-23
706,SgrII,Einasto,W,200,0.32,1.4547874105958965e-22
707,SgrII,Einasto,W,200,0.5,2.1555146759294437e-22
708,SgrII,Einasto,W,200,0.68,3.482731353962879e-22
709,SgrII,Einasto,W,200,0.95,1.3195767538456194e-21
710,SgrII,Einasto,W,500,0.05,3.778345305336537e-23
711,SgrII,Einasto,W,500,0.32,8.013439329984455e-23
712,SgrII,Einasto,W,500,0.5,1.219529077669775e-22
713,SgrII,Einasto,W,500,0.68,1.9366481243962311e-22
714,SgrII,Einasto,W,500,0.95,7.486084574310763e-22
715,SgrII,Einasto,W,1000,0.05,3.8327874868856e-23
716,SgrII,Einasto,W,1000,0.32,7.869732868409328e-23
717,SgrII,Einasto,W,1000,0.5,1.1879267937386624e-22
718,SgrII,Einasto,W,1000,0.68,1.9504981609039033e-22
719,SgrII,Einasto,W,1000,0.95,7.957936712560992e-22
720,SgrII,Einasto,W,5000,0.05,5.761024422522894e-23
721,SgrII,Einasto,W,5000,0.32,1.0986852893986933e-22
722,SgrII,Einasto,W,5000,0.5,1.7162169045236597e-22
723,SgrII,Einasto,W,5000,0.68,2.673931617844655e-22
724,SgrII,Einasto,W,5000,0.95,1.3278118629895712e-21
725,SgrII,Einasto,W,10000,0.05,8.168747032059147e-23
726,SgrII,Einasto,W,10000,0.32,1.6319764481713466e-22
727,SgrII,Einasto,W,10000,0.5,2.401193089722251e-22
728,SgrII,Einasto,W,10000,0.68,3.882323846646227e-22
729,SgrII,Einasto,W,10000,0.95,2.249834116970816e-21
730,SgrII,Einasto,W,50000,0.05,3.1239540573171084e-22
731,SgrII,Einasto,W,50000,0.32,5.978541662671302e-22
732,SgrII,Einasto,W,50000,0.5,8.893058455887107e-22
733,SgrII,Einasto,W,50000,0.68,1.3485911806132724e-21
734,SgrII,Einasto,W,50000,0.95,9.871793275473838e-21
735,SgrII,Einasto,W,100000,0.05,5.629422551509883e-22
736,SgrII,Einasto,W,100000,0.32,1.1091636460992968e-21
737,SgrII,Einasto,W,100000,0.5,1.6885191305512272e-21
738,SgrII,Einasto,W,100000,0.68,3.0089023687052358e-21
739,SgrII,Einasto,W,100000,0.95,1.5666000639447654e-20
740,SgrII,Einasto,b,70,0.05,1.4452397474129885e-21
741,SgrII,Einasto,b,70,0.32,3.04002874033965e-21
742,SgrII,Einasto,b,70,0.5,4.3718690340419076e-21
743,SgrII,Einasto,b,70,0.68,6.796933682867535e-21
744,SgrII,Einasto,b,70,0.95,3.243390565761915e-20
745,SgrII,Einasto,b,100,0.05,5.136806220972172e-22
746,SgrII,Einasto,b,100,0.32,1.0287884648720934e-21
747,SgrII,Einasto,b,100,0.5,1.531312979577653e-21
748,SgrII,Einasto,b,100,0.68,2.2346010361972226e-21
749,SgrII,Einasto,b,100,0.95,1.0436915813434145e-20
750,SgrII,Einasto,b,200,0.05,1.3060431065817802e-22
751,SgrII,Einasto,b,200,0.32,2.834649752868746e-22
752,SgrII,Einasto,b,200,0.5,4.1249844288670864e-22
753,SgrII,Einasto,b,200,0.68,6.129462919786704e-22
