,name,profile,ch,mass,quantile,tau
700,SgrII,Einasto,W,100,0.05,8.446879946396234e+20
701,SgrII,Einasto,W,100,0.32,7.226633562678236e+21
702,SgrII,Einasto,W,100,0.5,1.3746300748331712e+22
703,SgrII,Einasto,W,100,0.68,2.258419530949922e+22
704,SgrII,Einasto,W,100,0.95,5.4213728464408985e+22
705,SgrII,Einasto,W,200,0.05,9.2287096581458e+21
706,SgrII,Einasto,W,200,0.32,8.893935117966778e+22
707,SgrII,Einasto,W,200,0.5,1.629428246985727e+23
708,SgrII,Einasto,W,200,0.68,2.7681238630325826e+23
709,SgrII,Einasto,W,200,0.95,6.528572691289531e+23
710,SgrII,Einasto,W,500,0.05,4.42191409304091e+22
711,SgrII,Einasto,W,500,0.32,3.601198514271191e+23
712,SgrII,Einasto,W,500,0.5,6.826940873629041e+23
713,SgrII,Einasto,W,500,0.68,1.1860340443136666e+24
714,SgrII,Einasto,W,500,0.95,2.7210847952503235e+24
715,SgrII,Einasto,W,1000,0.05,1.0771444067212302e+23
716,SgrII,Einasto,W,1000,0.32,7.290444221562475e+23
717,SgrII,Einasto,W,1000,0.5,1.3570725614341774e+24
718,SgrII,Einasto,W,1000,0.68,2.2431211157173987e+24
719,SgrII,Einasto,W,1000,0.95,5.06428001986897e+24
720,SgrII,Einasto,W,5000,0.05,2.520107424378193e+23
721,SgrII,Einasto,W,5000,0.32,2.475690889862635e+24
722,SgrII,Einasto,W,5000,0.5,4.554908957257578e+24
723,SgrII,Einasto,W,5000,0.68,7.213895726629907e+24
724,SgrII,Einasto,W,5000,0.95,1.5433327037020972e+25
725,SgrII,Einasto,W,10000,0.05,3.767908900745706e+23
726,SgrII,Einasto,W,10000,0.32,3.5996780618037054e+24
727,SgrII,Einasto,W,10000,0.5,6.613967005823102e+24
728,SgrII,Einasto,W,10000,0.68,1.0357796096899942e+25
729,SgrII,Einasto,W,10000,0.95,2.2690611750843183e+25
730,SgrII,Einasto,W,50000,0.05,5.1699073493895514e+23
731,SgrII,Einasto,W,50000,0.32,4.983846866477553e+24
732,SgrII,Einasto,W,50000,0.5,9.263267769870724e+24
733,SgrII,Einasto,W,50000,0.68,1.4899571621160058e+25
734,SgrII,Einasto,W,50000,0.95,3.100625210604352e+25
735,SgrII,Einasto,W,100000,0.05,5.726617351770106e+23
736,SgrII,Einasto,W,100000,0.32,6.006537754595696e+24
737,SgrII,Einasto,W,100000,0.5,1.04512175108643e+25
738,SgrII,Einasto,W,100000,0.68,1.641343826156775e+25
739,SgrII,Einasto,W,100000,0.95,3.452109327740448e+25
740,SgrII,Einasto,b,70,0.05,1.7218678277378966e+20
741,SgrII,Einasto,b,70,0.32,1.5989084704537932e+21
742,SgrII,Einasto,b,70,0.5,3.116665257466169e+21
743,SgrII,Einasto,b,70,0.68,5.056067945718886e+21
744,SgrII,Einasto,b,70,0.95,1.2282319155504655e+22
745,SgrII,Einasto,b,100,0.05,7.084989807518387e+20
746,SgrII,Einasto,b,100,0.32,6.325383191495008e+21
747,SgrII,Einasto,b,100,0.5,1.1788911869140157e+22
748,SgrII,Einasto,b,100,0.68,1.9755244177788066e+22
749,SgrII,Einasto,b,100,0.95,4.662977116065842e+22
750,SgrII,Einasto,b,200,0.05,5.66137489347607e+21
751,SgrII,Einasto,b,200,0.32,4.6595885878183945e+22
752,SgrII,Einasto,b,200,0.5,8.536928131877386e+22
753,SgrII,Einasto,b,200,0.68,1.4614775430889577e+23
754,SgrII,Einasto,b,200,0.95,3.462371076417826e+23
755,SgrII,Einasto,b,500,0.05,3.145054327829342e+22
756,SgrII,Einasto,b,500,0.32,2.6613062208319537e+23
