,name,profile,ch,mass,quantile,sigma_v
875,UMaII,Einasto,W,100,0.05,2.0606590699982634e-23
876,UMaII,Einasto,W,100,0.32,3.59935243609788e-23
877,UMaII,Einasto,W,100,0.5,4.68259982666305e-23
878,UMaII,Einasto,W,100,0.68,6.337188331496146e-23
879,UMaII,Einasto,W,100,0.95,1.2880867276354147e-22
880,UMaII,Einasto,W,200,0.05,6.294423588041943e-24
881,UMaII,Einasto,W,200,0.32,1.157581517717428e-23
882,UMaII,Einasto,W,200,0.5,1.567911377902859e-23
883,UMaII,Einasto,W,200,0.68,2.0699628837384696e-23
884,UMaII,Einasto,W,200,0.95,5.2183588621321335e-23
885,UMaII,Einasto,W,500,0.05,4.599162935610211e-24
886,UMaII,Einasto,W,500,0.32,8.576332289222738e-24
887,UMaII,Einasto,W,500,0.5,1.1412197604426123e-23
888,UMaII,Einasto,W,500,0.68,1.536044703720069e-23
889,UMaII,Einasto,W,500,0.95,3.844062616589721e-23
890,UMaII,Einasto,W,1000,0.05,4.973357591689625e-24
891,UMaII,Einasto,W,1000,0.32,9.606806343983984e-24
892,UMaII,Einasto,W,1000,0.5,1.2996763019638818e-23
893,UMaII,Einasto,W,1000,0.68,1.751188623475602e-23
894,UMaII,Einasto,W,1000,0.95,3.891797948562814e-23
895,UMaII,Einasto,W,5000,0.05,9.457584338076941e-24
896,UMaII,Einasto,W,5000,0.32,1.757051611421857e-23
897,UMaII,Einasto,W,5000,0.5,2.28925552618106e-23
898,UMaII,Einasto,W,5000,0.68,3.15717492271071e-23
899,UMaII,Einasto,W,5000,0.95,6.46929250690297e-23
900,UMaII,Einasto,W,10000,0.05,1.423770344374162e-23
901,UMaII,Einasto,W,10000,0.32,2.4788920392525412e-23
902,UMaII,Einasto,W,10000,0.5,3.369304675185045e-23
903,UMaII,Einasto,W,10000,0.68,4.5028847420219244e-23
904,UMaII,Einasto,W,10000,0.95,9.960696128903944e-23
905,UMaII,Einasto,W,50000,0.05,5.2007646700686435e-23
906,UMaII,Einasto,W,50000,0.32,8.993501896020182e-23
907,UMaII,Einasto,W,50000,0.5,1.2001250278077617e-22
908,UMaII,Einasto,W,50000,0.68,1.614939832506165e-22
909,UMaII,Einasto,W,50000,0.95,3.7313492479767615e-22
910,UMaII,Einasto,W,100000,0.05,9.743861638170288e-23
911,UMaII,Einasto,W,100000,0.32,1.6692765532099933e-22
912,UMaII,Einasto,W,100000,0.5,2.2965471997538902e-22
913,UMaII,Einasto,W,100000,0.68,3.0551115584379766e-22
914,UMaII,Einasto,W,100000,0.95,7.640888946539663e-22
915,UMaII,Einasto,b,70,0.05,5.551245356837481e-23
916,UMaII,Einasto,b,70,0.32,9.76234117364359e-23
917,UMaII,Einasto,b,70,0.5,1.2903807828647811e-22
918,UMaII,Einasto,b,70,0.68,1.7731416677473614e-22
919,UMaII,Einasto,b,70,0.95,4.2584786072563e-22
920,UMaII,Einasto,b,100,0.05,2.509019737322165e-23
921,UMaII,Einasto,b,100,0.32,4.4704634587347887e-23
922,UMaII,Einasto,b,100,0.5,5.731362551057878e-23
923,UMaII,Einasto,b,100,0.68,7.46469624486036e-23
924,UMaII,Einasto,b,100,0.95,1.4379925805922077e-22
925,UMaII,Einasto,b,200,0.05,9.519355781177772e-24
926,UMaII,Einasto,b,200,0.32,1.755896036759695e-23
927,UMaII,Einasto,b,200,0.5,2.2589788875013105e-23
928,UMaII,Einasto,b,200,0.68,3.093981151842482e-23
929,UMaII,Einasto,b,200,0.95,7.330976478698575e-23
930,UMaII,Einasto,b,500,0.05,5.471059024470651e-24
931,UMaII,Einasto,b,500,0.32,1.05967318633302e-23
932,UMaII,Einasto,b,500,0.5,1.39867398782818e-23
933,UMaII,Einasto,b,500,0.68,1.8377415821130367e-23
934,UMaII,Einasto,b,500,0.95,4.206319245329314e-23
935,UMaII,Einasto,b,1000,0.05,5.6339787598358175e-24
936,UMaII,Einasto,b,1000,0.32,1.0856287547095444e-23
937,UMaII,Einasto,b,1000,0.5,1.4490689684312658e-23
938,UMaII,Einasto,b,1000,0.68,1.962470809947155e-23
939,UMaII,Einasto,b,1000,0.95,4.8888104374881836e-23
940,UMaII,Einasto,b,5000,0.05,1.063457914149968e-23
941,UMaII,Einasto,b,5000,0.32,2.0320735011737953e-23
942,UMaII,Einasto,b,5000,0.5,2.6625588621508613e-23
943,UMaII,Einasto,b,5000,0.68,3.673288145594985e-23
944,UMaII,Einasto,b,5000,0.95,7.297997711173567e-23
945,UMaII,Einasto,b,10000,0.05,1.5914932431194382e-23
946,UMaII,Einasto,b,10000,0.32,2.896658173189278e-23
947,UMaII,Einasto,b,10000,0.5,3.9341202055696203e-23
948,UMaII,Einasto,b,10000,0.68,5.288642553841162e-23
949,UMaII,Einasto,b,10000,0.95,1.2415404777022095e-22
950,UMaII,Einasto,b,50000,0.05,4.5043356619876836e-23
951,UMaII,Einasto,b,50000,0.32,7.640230134699253e-23
952,UMaII,Einasto,b,50000,0.5,1.0053972880680656e-22
953,UMaII,Einasto,b,50000,0.68,1.3239786083919413e-22
954,UMaII,Einasto,b,50000,0.95,3.0467799392205617e-22
955,UMaII,Einasto,b,100000,0.05,7.796279175779859e-23
956,UMaII,Einasto,b,100000,0.32,1.3785554788877097e-22
957,UMaII,Einasto,b,100000,0.5,1.7822755235790996e-22
958,UMaII,Einasto,b,100000,0.68,2.422782168171061e-22
959,UMaII,Einasto,b,100000,0.95,5.910226697478709e-22
960,UMaII,Einasto,mu,70,0.05,6.272986772169424e-24
961,UMaII,Einasto,mu,70,0.32,1.1470648396550896e-23
962,UMaII,Einasto,mu,70,0.5,1.493004663810442e-23
963,UMaII,Einasto,mu,70,0.68,2.0885478244360196e-23
964,UMaII,Einasto,mu,70,0.95,4.907346544859743e-23
965,UMaII,Einasto,mu,100,0.05,5.6395671579994736e-24
966,UMaII,Einasto,mu,100,0.32,1.0047054408957998e-23
967,UMaII,Einasto,mu,100,0.5,1.339002744697903e-23
968,UMaII,Einasto,mu,100,0.68,1.8212670582314854e-23
969,UMaII,Einasto,mu,100,0.95,4.548227627548394e-23
