,name,profile,ch,mass,quantile,tau
875,UMaII,Einasto,W,100,0.05,1.0178178224557867e+23
876,UMaII,Einasto,W,100,0.32,2.7564077196912206e+23
877,UMaII,Einasto,W,100,0.5,3.899494520878124e+23
878,UMaII,Einasto,W,100,0.68,5.17832939259961e+23
879,UMaII,Einasto,W,100,0.95,9.1632741118497e+23
880,UMaII,Einasto,W,200,0.05,6.239446423109522e+23
881,UMaII,Einasto,W,200,0.32,1.5022144290213748e+24
882,UMaII,Einasto,W,200,0.5,2.0916384436554793e+24
883,UMaII,Einasto,W,200,0.68,2.843400708792199e+24
884,UMaII,Einasto,W,200,0.95,5.0887252968572e+24
885,UMaII,Einasto,W,500,0.05,1.9203047048903404e+24
886,UMaII,Einasto,W,500,0.32,5.845140661181314e+24
887,UMaII,Einasto,W,500,0.5,8.16106778716616e+24
888,UMaII,Einasto,W,500,0.68,1.0862989353044694e+25
889,UMaII,Einasto,W,500,0.95,1.9707740664699096e+25
890,UMaII,Einasto,W,1000,0.05,3.546260290045987e+24
891,UMaII,Einasto,W,1000,0.32,1.1073408276104723e+25
892,UMaII,Einasto,W,1000,0.5,1.4487893063023385e+25
893,UMaII,Einasto,W,1000,0.68,1.931019249867341e+25
894,UMaII,Einasto,W,1000,0.95,3.431157697452546e+25
895,UMaII,Einasto,W,5000,0.05,1.476929444976501e+25
896,UMaII,Einasto,W,5000,0.32,4.038319824528662e+25
897,UMaII,Einasto,W,5000,0.5,5.44861318726662e+25
898,UMaII,Einasto,W,5000,0.68,6.926308002463929e+25
899,UMaII,Einasto,W,5000,0.95,1.2068569594061392e+26
900,UMaII,Einasto,W,10000,0.05,2.0207523891159055e+25
901,UMaII,Einasto,W,10000,0.32,5.111590805573641e+25
902,UMaII,Einasto,W,10000,0.5,6.957547132230701e+25
903,UMaII,Einasto,W,10000,0.68,9.276447010649538e+25
904,UMaII,Einasto,W,10000,0.95,1.6313602829369906e+26
905,UMaII,Einasto,W,50000,0.05,3.579791796099958e+25
906,UMaII,Einasto,W,50000,0.32,8.333969739581668e+25
907,UMaII,Einasto,W,50000,0.5,1.0955006031369882e+26
908,UMaII,Einasto,W,50000,0.68,1.4422353928608634e+26
909,UMaII,Einasto,W,50000,0.95,2.5996384541482183e+26
910,UMaII,Einasto,W,100000,0.05,3.900932996639369e+25
911,UMaII,Einasto,W,100000,0.32,8.689570590208367e+25
912,UMaII,Einasto,W,100000,0.5,1.1765382257701151e+26
913,UMaII,Einasto,W,100000,0.68,1.579165843533824e+26
914,UMaII,Einasto,W,100000,0.95,2.7729988471717938e+26
915,UMaII,Einasto,b,70,0.05,2.556358115782556e+22
916,UMaII,Einasto,b,70,0.32,7.27603478418832e+22
917,UMaII,Einasto,b,70,0.5,1.0365432724573943e+23
918,UMaII,Einasto,b,70,0.68,1.3745481806713921e+23
919,UMaII,Einasto,b,70,0.95,2.421736752194624e+23
