,name,profile,ch,mass,quantile,sigma_v
1050,UMi,Einasto,W,100,0.05,7.946274678718071e-24
1051,UMi,Einasto,W,100,0.32,1.3962524619512373e-23
1052,UMi,Einasto,W,100,0.5,1.845958955173312e-23
1053,UMi,Einasto,W,100,0.68,2.3404243505793788e-23
1054,UMi,Einasto,W,100,0.95,4.483932961872193e-23
1055,UMi,Einasto,W,200,0.05,2.7569501100505113e-24
1056,UMi,Einasto,W,200,0.32,4.5547090237286716e-24
1057,UMi,Einasto,W,200,0.5,5.720210465681787e-24
1058,UMi,Einasto,W,200,0.68,7.76553368315216e-24
1059,UMi,Einasto,W,200,0.95,1.5535870571084636e-23
1060,UMi,Einasto,W,500,0.05,1.9626636283254484e-24
1061,UMi,Einasto,W,500,0.32,3.358343844842695e-24
1062,UMi,Einasto,W,500,0.5,4.324026954030979e-24
1063,UMi,Einasto,W,500,0.68,5.404961686724017e-24
1064,UMi,Einasto,W,500,0.95,1.059466728067609e-23
1065,UMi,Einasto,W,1000,0.05,2.211505577938765e-24
1066,UMi,Einasto,W,1000,0.32,3.747567013596349e-24
1067,UMi,Einasto,W,1000,0.5,4.968795032933957e-24
1068,UMi,Einasto,W,1000,0.68,6.395604484445408e-24
1069,UMi,Einasto,W,1000,0.95,1.1601953047051503e-23
1070,UMi,Einasto,W,5000,0.05,3.0865713627169137e-24
1071,UMi,Einasto,W,5000,0.32,5.6736113580183525e-24
1072,UMi,Einasto,W,5000,0.5,7.603189410576394e-24
1073,UMi,Einasto,W,5000,0.68,9.77536790531297e-24
1074,UMi,Einasto,W,5000,0.95,1.8007479546792523e-23
1075,UMi,Einasto,W,10000,0.05,4.553144681692269e-24
1076,UMi,Einasto,W,10000,0.32,8.304818697963594e-24
1077,UMi,Einasto,W,10000,0.5,1.0863066064354177e-23
1078,UMi,Einasto,W,10000,0.68,1.442112311470349e-23
1079,UMi,Einasto,W,10000,0.95,2.8857225186946735e-23
1080,UMi,Einasto,W,50000,0.05,1.6443354020791212e-23
1081,UMi,Einasto,W,50000,0.32,2.6976024855642396e-23
1082,UMi,Einasto,W,50000,0.5,3.640654379979498e-23
1083,UMi,Einasto,W,50000,0.68,4.6802238881681556e-23
1084,UMi,Einasto,W,50000,0.95,9.59267677077599e-23
1085,UMi,Einasto,W,100000,0.05,3.1693840665630746e-23
1086,UMi,Einasto,W,100000,0.32,5.0469128969386124e-23
1087,UMi,Einasto,W,100000,0.5,6.418134758173494e-23
1088,UMi,Einasto,W,100000,0.68,8.53115729362084e-23
1089,UMi,Einasto,W,100000,0.95,1.7845751497607636e-22
1090,UMi,Einasto,b,70,0.05,2.1271991573472896e-23
1091,UMi,Einasto,b,70,0.32,3.750562629884894e-23
1092,UMi,Einasto,b,70,0.5,4.9545255209794194e-23
1093,UMi,Einasto,b,70,0.68,6.283250892651507e-23
1094,UMi,Einasto,b,70,0.95,1.2408667962659203e-22
1095,UMi,Einasto,b,100,0.05,9.67951863772604e-24
1096,UMi,Einasto,b,100,0.32,1.7344275932944962e-23
1097,UMi,Einasto,b,100,0.5,2.2419191389579407e-23
1098,UMi,Einasto,b,100,0.68,2.879403345190521e-23
1099,UMi,Einasto,b,100,0.95,5.619804131862222e-23
1100,UMi,Einasto,b,200,0.05,4.024497791044155e-24
1101,UMi,Einasto,b,200,0.32,6.676865077779098e-24
1102,UMi,Einasto,b,200,0.5,8.804693844596244e-24
1103,UMi,Einasto,b,200,0.68,1.1471248492357407e-23
1104,UMi,Einasto,b,200,0.95,2.2167319122957165e-23
1105,UMi,Einasto,b,500,0.05,2.4821157200855092e-24
1106,UMi,Einasto,b,500,0.32,4.217351318058315e-24
1107,UMi,Einasto,b,500,0.5,5.2650272618219016e-24
1108,UMi,Einasto,b,500,0.68,7.060875431416094e-24
1109,UMi,Einasto,b,500,0.95,1.3538421657221346e-23
1110,UMi,Einasto,b,1000,0.05,2.443188774879623e-24
1111,UMi,Einasto,b,1000,0.32,4.196331312293565e-24
1112,UMi,Einasto,b,1000,0.5,5.23006459697117e-24
1113,UMi,Einasto,b,1000,0.68,6.787493870422853e-24
1114,UMi,Einasto,b,1000,0.95,1.3095794958073529e-23
1115,UMi,Einasto,b,5000,0.05,4.103282104229471e-24
1116,UMi,Einasto,b,5000,0.32,7.636454952254422e-24
1117,UMi,Einasto,b,5000,0.5,9.921237034127845e-24
1118,UMi,Einasto,b,5000,0.68,1.2850825239796226e-23
1119,UMi,Einasto,b,5000,0.95,2.73370876610741e-23
1120,UMi,Einasto,b,10000,0.05,5.361227702430325e-24
1121,UMi,Einasto,b,10000,0.32,1.0242221792504918e-23
