,name,profile,ch,mass,quantile,sigma_v
1225,Wil1,Einasto,W,100,0.05,1.9357433847289382e-23
1226,Wil1,Einasto,W,100,0.32,3.8803879933994465e-23
1227,Wil1,Einasto,W,100,0.5,5.630926546970557e-23
1228,Wil1,Einasto,W,100,0.68,8.617991286351224e-23
1229,Wil1,Einasto,W,100,0.95,5.2072586539194185e-22
1230,Wil1,Einasto,W,200,0.05,5.472138601876727e-24
1231,Wil1,Einasto,W,200,0.32,1.0044467131545369e-23
1232,Wil1,Einasto,W,200,0.5,1.5427049729659446e-23
1233,Wil1,Einasto,W,200,0.68,2.3544185961318112e-23
1234,Wil1,Einasto,W,200,0.95,1.2717314052173683e-22
1235,Wil1,Einasto,W,500,0.05,3.471342278687529e-24
1236,Wil1,Einasto,W,500,0.32,7.065147596660314e-24
1237,Wil1,Einasto,W,500,0.5,1.0392373242488765e-23
1238,Wil1,Einasto,W,500,0.68,1.5792210230944883e-23
1239,Wil1,Einasto,W,500,0.95,7.080159706286627e-23
1240,Wil1,Einasto,W,1000,0.05,3.647682713655751e-24
1241,Wil1,Einasto,W,1000,0.32,7.178776602105936e-24
1242,Wil1,Einasto,W,1000,0.5,1.0717636250306347e-23
1243,Wil1,Einasto,W,1000,0.68,1.5970985539559332e-23
1244,Wil1,Einasto,W,1000,0.95,6.542414347485826e-23
1245,Wil1,Einasto,W,5000,0.05,5.866561735989928e-24
1246,Wil1,Einasto,W,5000,0.32,1.172887969786566e-23
1247,Wil1,Einasto,W,5000,0.5,1.6914333764935822e-23
1248,Wil1,Einasto,W,5000,0.68,2.737724014572452e-23
1249,Wil1,Einasto,W,5000,0.95,1.6821931180180137e-22
1250,Wil1,Einasto,W,10000,0.05,8.907514504313782e-24
1251,Wil1,Einasto,W,10000,0.32,1.7983082870198203e-23
1252,Wil1,Einasto,W,10000,0.5,2.6208919700482378e-23
1253,Wil1,Einasto,W,10000,0.68,4.21600763845492e-23
1254,Wil1,Einasto,W,10000,0.95,2.5686393175443346e-22
1255,Wil1,Einasto,W,50000,0.05,3.4076220716247775e-23
1256,Wil1,Einasto,W,50000,0.32,6.800854932954477e-23
1257,Wil1,Einasto,W,50000,0.5,9.771803449671092e-23
1258,Wil1,Einasto,W,50000,0.68,1.6038132932045091e-22
1259,Wil1,Einasto,W,50000,0.95,6.552343397584141e-22
1260,Wil1,Einasto,W,100000,0.05,6.555237967712235e-23
